date,Outflows_cmd
9/9/2008,16443434.24
9/10/2008,10921513.24
9/11/2008,3523068.787
9/12/2008,2698572.828
9/13/2008,1285186.134
9/14/2008,959057.6141
9/15/2008,512068.2618
9/16/2008,1986619.344
9/17/2008,5101110.014
9/18/2008,10510488.55
9/19/2008,12572951.73
9/20/2008,15809771.18
9/21/2008,15819557.48
9/22/2008,16837332.91
9/23/2008,16215902.72
9/24/2008,13003549.03
9/25/2008,10322102.23
9/26/2008,11415721.5
9/27/2008,11667718.78
9/28/2008,10679302.26
9/29/2008,6351310.118
9/30/2008,1213501.471
10/1/2008,1685690.551
10/2/2008,518674.0158
10/3/2008,1591742.05
10/4/2008,2395197.46
10/5/2008,4227682.544
10/6/2008,7222291.013
10/7/2008,6052827.902
10/8/2008,5798384.045
10/9/2008,3699222.226
10/10/2008,3634387.974
10/11/2008,2950570.109
10/12/2008,1026583.099
10/13/2008,327841.1232
10/14/2008,322947.9721
10/15/2008,606750.7354
10/16/2008,513780.8647
10/17/2008,1173866.947
10/18/2008,631216.4909
10/19/2008,776298.4208
10/20/2008,1259986.406
10/21/2008,1794318.506
10/22/2008,1284452.162
10/23/2008,1648502.603
10/24/2008,1600060.407
10/25/2008,1482624.781
10/26/2008,1308917.917
10/27/2008,1813646.452
10/28/2008,1585380.954
10/29/2008,1977175.562
10/30/2008,2124508.341
10/31/2008,1849953.634
11/1/2008,2527752.923
11/2/2008,1759038.886
11/3/2008,2502797.852
11/4/2008,3120240.123
11/5/2008,3196499.883
11/6/2008,2193648.566
11/7/2008,1938079.285
11/8/2008,2559949.857
11/9/2008,2765902.587
11/10/2008,2994559.537
11/11/2008,3523631.499
11/12/2008,4204537.939
11/13/2008,3794883.33
11/14/2008,3808021.44
11/15/2008,2594055.12
11/16/2008,2052676.883
11/17/2008,4483667.743
11/18/2008,4544220.488
11/19/2008,4880820.351
11/20/2008,5440058.59
11/21/2008,4267684.054
11/22/2008,4096717.355
11/23/2008,2570152.077
11/24/2008,3958167.782
11/25/2008,7156160.076
11/26/2008,7034540.805
11/27/2008,6591539.371
11/28/2008,5734870.944
11/29/2008,5176709.198
11/30/2008,2705545.568
12/1/2008,393898.6629
12/2/2008,2888035.638
12/3/2008,6249018.794
12/4/2008,7940507.73
12/5/2008,6679444.83
12/6/2008,5816048.32
12/7/2008,3355429.43
12/8/2008,5014011.924
12/9/2008,5064949.627
12/10/2008,3179129.196
12/11/2008,2590923.504
12/12/2008,692380.8796
12/13/2008,271569.8856
12/14/2008,1132764.478
12/15/2008,415917.8429
12/16/2008,2025079.511
12/17/2008,2929700.819
12/18/2008,2451077.245
12/19/2008,2315292.302
12/20/2008,2538371.061
12/21/2008,1681115.455
12/22/2008,3068495.05
12/23/2008,4503044.622
12/24/2008,4735028.915
12/25/2008,2392848.747
12/26/2008,2546542.623
12/27/2008,2549478.514
12/28/2008,1909209.693
12/29/2008,3347967.375
12/30/2008,4992359.731
12/31/2008,4928308.384
1/1/2009,5647210.142
1/2/2009,4863376.268
1/3/2009,3967513.701
1/4/2009,3162786.071
1/5/2009,3199729.363
1/6/2009,4156585.058
1/7/2009,4717438.037
1/8/2009,3741743.708
1/9/2009,7659983.378
1/10/2009,6465711.991
1/11/2009,5600260.357
1/12/2009,4969606.579
1/13/2009,4618743.18
1/14/2009,5128927.578
1/15/2009,9648584.447
1/16/2009,9296497.76
1/17/2009,5877383.969
1/18/2009,3234837.722
1/19/2009,4614950.987
1/20/2009,11143246.38
1/21/2009,11952279.98
1/22/2009,11213781.15
1/23/2009,3663551.154
1/24/2009,2823005.66
1/25/2009,2722891.788
1/26/2009,3698219.13
1/27/2009,5336421.65
1/28/2009,7070040.617
1/29/2009,9231051.864
1/30/2009,6090236.041
1/31/2009,2160399.605
2/1/2009,3545552.816
2/2/2009,2801353.466
2/3/2009,7955652.032
2/4/2009,10950064.78
2/5/2009,9687949.848
2/6/2009,6097771.494
2/7/2009,1154783.658
2/8/2009,1636759.04
2/9/2009,3898618.133
2/10/2009,7403166.343
2/11/2009,4724802.23
2/12/2009,5134872.757
2/13/2009,5846287.994
2/14/2009,4638315.783
2/15/2009,3829942.757
2/16/2009,6333596.911
2/17/2009,7833934.899
2/18/2009,7443290.182
2/19/2009,7824417.72
2/20/2009,7960985.567
2/21/2009,6670025.515
2/22/2009,3882935.584
2/23/2009,5353156.227
2/24/2009,5169614.129
2/25/2009,5862973.639
2/26/2009,6461136.895
2/27/2009,6922071.727
2/28/2009,6342037.596
3/1/2009,3308944.495
3/2/2009,4471190.208
3/3/2009,7166435.692
3/4/2009,7316459.705
3/5/2009,6700387.517
3/6/2009,5813601.745
3/7/2009,5251843.533
3/8/2009,3706806.61
3/9/2009,4804438.263
3/10/2009,5800928.484
3/11/2009,6809235.663
3/12/2009,6716216.861
3/13/2009,6831426.103
3/14/2009,5010195.267
3/15/2009,3927071.807
3/16/2009,5262853.123
3/17/2009,6127546.319
3/18/2009,3168168.538
3/19/2009,1007989.125
3/20/2009,606750.7355
3/21/2009,384846.3335
3/22/2009,452616.4761
3/23/2009,768958.6942
3/24/2009,2486161.139
3/25/2009,6109099.139
3/26/2009,5204918.214
3/27/2009,3185832.813
3/28/2009,1952367.286
3/29/2009,4149514.455
3/30/2009,7976447.924
3/31/2009,6281753.975
4/1/2009,3120240.123
4/2/2009,4232893.75
4/3/2009,6397501.464
4/4/2009,4799618.509
4/5/2009,3221430.487
4/6/2009,6924077.919
4/7/2009,9927176.005
4/8/2009,9637036.611
4/9/2009,9142069.912
4/10/2009,9295347.87
4/11/2009,8747853.194
4/12/2009,8672767.791
4/13/2009,10878453.51
4/14/2009,10660243.44
4/15/2009,6415434.864
4/16/2009,9635764.392
4/17/2009,8126814.458
4/18/2009,5642047.868
4/19/2009,4137134.783
4/20/2009,6395226.149
4/21/2009,4867559.912
4/22/2009,6545837.34
4/23/2009,8488075.802
4/24/2009,9570489.756
4/25/2009,7818594.87
4/26/2009,5109061.384
4/27/2009,9178156.901
4/28/2009,12351707.91
4/29/2009,12916157.35
4/30/2009,13802037.89
5/1/2009,12764347.34
5/2/2009,10179320.08
5/3/2009,8200162.792
5/4/2009,11217181.89
5/5/2009,11892901.59
5/6/2009,12470513.61
5/7/2009,12448127.45
5/8/2009,12540241.02
5/9/2009,11399623.03
5/10/2009,10609305.73
5/11/2009,9967079.652
5/12/2009,9523637.834
5/13/2009,7781309.059
5/14/2009,6277227.81
5/15/2009,5655063.649
5/16/2009,4055272.365
5/17/2009,2184253.716
5/18/2009,1564903.117
5/19/2009,0
5/20/2009,0
5/21/2009,0
5/22/2009,0
5/23/2009,0
5/24/2009,0
5/25/2009,0
5/26/2009,0
5/27/2009,0
5/28/2009,0
5/29/2009,0
