,0
0,0.0
1,0.0
2,0.0
3,0.0
4,14.111784064456911
5,10.491458232941369
6,0.0
7,0.0
8,0.0
9,1.2299783675087912
10,4.5544821414142636
11,0.0
12,11.909642805474832
13,0.7095999437711771
14,6.449710921881019
15,0.3958871847037948
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,5.370013909091299
29,10.503613114096328
30,0.0
31,0.0
32,4.397054308883992
33,20.700145013138627
34,5.706511041356338
35,7.784166318361927
36,0.0
37,0.0
38,3.9682272321000496
39,13.510154540986521
40,0.9662583303086887
41,15.31675043848205
42,12.41979925398508
43,0.0
44,0.0
45,0.0
46,5.959044005741226
47,11.592308531838974
48,18.55449279880893
49,21.24368715681112
50,26.79290014576717
51,16.104626475683624
52,20.795627037855056
53,12.782138336651137
54,0.0
55,0.0
56,0.0
57,5.4525565815804615
58,28.75909843900257
59,72.14740257607089
60,0.12192212622422341
61,13.486820911066314
62,21.3403185842961
63,23.009475693835963
64,20.415948658238978
65,1.368706965077814
