,0
0,0.0
1,0.0
2,0.0
3,0.0
4,23.0741413871712
5,14.038769916999067
6,0.0
7,0.0
8,0.0
9,1.9002177867925805
10,8.66505767194148
11,0.0
12,14.226675321267237
13,0.9895957433934961
14,9.080006311173697
15,0.6677684922039984
16,0.0
17,0.6889141814478044
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,2.8702289272655443
25,2.3684961509536677
26,0.0
27,0.0
28,11.544144358050527
29,19.330774031922566
30,0.0
31,0.0
32,18.335350559767065
33,64.05881216413945
34,31.794761390429386
35,22.247430503223654
36,3.588355592376629
37,0.884720974726723
38,6.605199569351501
39,17.4299693371845
40,1.1273013853601372
41,20.088700256325883
42,15.275977204141856
43,0.0
44,0.0
45,0.0
46,14.659059770333581
47,17.187160630874516
48,24.21307994141764
49,28.36547914431685
50,32.502212962512054
51,20.4832158612342
52,27.138932517539146
53,29.70606311001505
54,4.447674511423546
55,0.5770033767131425
56,0.0
57,9.096367466587397
58,49.011919523466865
59,116.41384813983483
60,11.508156781232602
61,24.537938776056613
62,29.341709613634222
63,29.45410316268539
64,28.038959858804965
65,3.950684727110544
