Date,P_Lake,TP_Lake_S
2008-01-31,18.967728240281307,11.837151325563852
2008-02-29,21.72231683619219,7.029441081993958
2008-03-31,23.7800179455287,11.48727515971925
2008-04-30,25.78706184978801,16.17934247777474
2008-05-31,24.753491270990214,17.75754897932458
2008-06-30,24.2391690195515,18.02332563857266
2008-07-31,30.431626054607385,21.766531255648076
2008-08-31,35.76633707542004,29.376305383866438
2008-09-30,42.97653911949296,40.38866680012609
2008-10-31,46.38366931745005,38.190306025613005
2008-11-30,66.93779017314428,36.04879521228024
2008-12-31,123.99598428961018,38.26930602840005
2009-01-31,117.99012414863097,40.71980109127419
2009-02-28,108.19646071461487,44.58531211976433
2009-03-31,96.77486735817064,45.68493532216279
2009-04-30,85.10392585700225,45.96468663471261
2009-05-31,74.41493435725535,45.45752083249136
2009-06-30,74.80589793261225,54.88053313362459
2009-07-31,74.5504630026405,61.87607291472025
2009-08-31,70.97914350868182,63.529951784869944
2009-09-30,78.35701626510074,62.89822775426069
2009-10-31,90.24658613873206,60.128491560838356
2009-11-30,90.09288449084633,55.82976356455483
2009-12-31,88.04932252419046,53.64462574441423
2010-01-31,82.93165481340917,52.47255388610241
2010-02-28,76.7927104804636,52.4366336208937
2010-03-31,73.2989359313505,55.115781026208
2010-04-30,73.72959587298989,60.700100094282185
2010-05-31,70.10509631684539,60.52849045831552
2010-06-30,68.16358041714822,57.7365959571671
2010-07-31,76.18196202065091,56.260822697028296
2010-08-31,76.27705807933235,54.67730407023702
2010-09-30,72.00462086142267,54.16809138703604
2010-10-31,69.23722652017882,50.61978949605736
2010-11-30,63.6753490642456,46.31610615284449
2010-12-31,62.55479765490294,43.52015211131302
2011-01-31,60.165115378745234,42.61092542567084
2011-02-28,55.75074182970186,41.77731025809398
2011-03-31,50.21925429739931,39.44041198834835
2011-04-30,45.45713037389967,37.66300926197232
2011-05-31,41.0794460228954,35.60874049313997
2011-06-30,37.70041232477889,33.369737612621094
2011-07-31,37.55933509956147,33.174287712414056
2011-08-31,37.84994698504246,33.59576834305393
2011-09-30,37.20755525725128,34.331198819924225
2011-10-31,42.237196391172446,38.10770734831483
2011-11-30,53.542372443685835,45.46202791839625
2011-12-31,54.86117652881164,43.519138358940445
2012-01-31,68.6556929403129,41.59569992032637
2012-02-29,88.67488251230586,42.44054059868963
2012-03-31,84.46663546975972,58.40003801269692
2012-04-30,1.6836932286087773,1.584488399718615
2012-05-31,5.243121536755627,3.6261707318846015
2012-06-30,8.643418175747323,6.241597658030295
2012-07-31,11.001167540751377,8.691684066152577
2012-08-31,13.325995283489657,10.817870811642605
2012-09-30,19.062887250383035,15.99990555834146
2012-10-31,24.250980820480436,18.93432697307643
2012-11-30,29.2080831056906,19.87461174839393
2012-12-31,72.34999651017152,22.238518347820573
2013-01-31,96.66718049727848,27.33563309577337
2013-02-28,95.59215013157356,31.92471615064138
2013-03-31,88.38418767296882,36.19459342323903
2013-04-30,80.57996876866807,37.5160595492111
2013-05-31,73.50534505251592,39.28512443647409
2013-06-30,70.20850336165721,43.43959730448264
2013-07-31,70.91978040536003,53.26510235934133
2013-08-31,75.43695263602943,63.975877671733045
2013-09-30,76.54576469953548,64.92327894186107
2013-10-31,103.5661523542901,65.42168562763825
2013-11-30,128.52040024948442,63.59695559068811
2013-12-31,128.91124599224585,63.03623283852298
2014-01-31,126.5977595697967,63.59297385583632
2014-02-28,117.71465170243403,66.52403251310058
2014-03-31,105.04078327047797,64.9122895641529
2014-04-30,93.13930947430477,62.9168871709683
2014-05-31,84.55150813615624,60.6468401072513
2014-06-30,77.05522111590611,58.46954018743175
2014-07-31,74.0477976408343,60.62760561639695
2014-08-31,72.46822160820456,63.357489408037566
2014-09-30,70.97457958151985,62.06463707149581
2014-10-31,83.65876251451787,65.4822539588926
2014-11-30,93.83466827714437,64.39564563492269
2014-12-31,93.55711867133589,63.41540303947009
2015-01-31,100.12422233258906,63.09543541330109
2015-02-28,97.15783228672385,65.93168396274078
2015-03-31,93.9942621814923,69.37740976344239
2015-04-30,85.67224587361734,66.34906760382434
2015-05-31,80.00370494525221,64.66511170155711
2015-06-30,74.42063856032203,59.44778822384008
2015-07-31,69.05102356870252,55.88228804407007
2015-08-31,69.5130294318087,55.46651914260402
2015-09-30,72.01347031598279,62.80026422438411
2015-10-31,73.12339595214159,65.88670959073394
2015-11-30,70.19008670476902,61.95295889613585
2015-12-31,83.0253521095357,60.49025864406826
2016-01-31,91.21662907224643,61.19401778473908
2016-02-29,97.85193643480183,73.22715066255213
2016-03-31,97.97104987198671,73.44017656723891
2016-04-30,95.65330230623184,72.32321608307734
2016-05-31,113.92030172806078,72.71274190413166
2016-06-30,126.72267817705347,88.65157090993593
2016-07-31,127.16595848502725,94.83307614475994
2016-08-31,120.19691557248368,91.89893130528277
2016-09-30,131.35762194591217,95.1289285210446
2016-10-31,145.56420866748473,107.5993656077736
2016-11-30,133.62742549173888,102.58741807585211
2016-12-31,132.5543507074614,95.12181180877715
2017-01-31,141.5525499026153,89.66814488822942
2017-02-28,131.50969970480506,85.33815495575907
2017-03-31,115.46609671318825,79.95133432782897
2017-04-30,102.02858028194983,74.65567799340997
2017-05-31,91.80695574378889,70.02089817989163
2017-06-30,89.76928935016183,71.55576063699498
2017-07-31,85.99746007565327,73.75698447541606
2017-08-31,81.74277880643454,72.93084882580966
2017-09-30,88.98773445262609,80.55499290005423
2017-10-31,110.6557523317823,100.34226542348479
2017-11-30,107.52148728727425,98.4664366034127
2017-12-31,139.86065414569435,91.7355406387027
