,date,Outflows_acft
268,2008-06-25,0.0
269,2008-06-26,0.0
270,2008-06-27,0.0
271,2008-06-28,0.0
272,2008-06-29,0.0
273,2008-06-30,0.0
274,2008-07-01,0.0
275,2008-07-02,0.0
276,2008-07-03,0.0
277,2008-07-04,0.0
278,2008-07-05,0.0
279,2008-07-06,0.0
280,2008-07-07,0.0
281,2008-07-08,0.0
282,2008-07-09,0.0
283,2008-07-10,0.0
284,2008-07-11,0.0
285,2008-07-12,0.0
286,2008-07-13,0.0
287,2008-07-14,0.0
288,2008-07-15,0.0
289,2008-07-16,0.0
290,2008-07-17,0.0
291,2008-07-18,0.0
292,2008-07-19,0.0
293,2008-07-20,0.0
294,2008-07-21,0.0
295,2008-07-22,0.0
296,2008-07-23,0.0
297,2008-07-24,0.0
298,2008-07-25,0.0
299,2008-07-26,0.0
300,2008-07-27,0.0
301,2008-07-28,0.0
302,2008-07-29,0.0
303,2008-07-30,0.0
304,2008-07-31,0.0
305,2008-08-01,0.0
306,2008-08-02,0.0
307,2008-08-03,0.0
308,2008-08-04,0.0
309,2008-08-05,0.0
310,2008-08-06,4.958685074423582
311,2008-08-07,0.0
312,2008-08-08,0.0
313,2008-08-09,0.0
314,2008-08-10,0.0
315,2008-08-11,0.0
316,2008-08-12,0.0
317,2008-08-13,0.0
318,2008-08-14,0.0
319,2008-08-15,0.0
320,2008-08-16,0.0
321,2008-08-17,0.0
322,2008-08-18,0.0
323,2008-08-19,0.0
324,2008-08-20,0.0
325,2008-08-21,0.0
326,2008-08-22,0.0
327,2008-08-23,0.0
328,2008-08-24,59.50422089308298
329,2008-08-25,0.0
330,2008-08-26,0.0
331,2008-08-27,0.0
332,2008-08-28,39.669480595388656
333,2008-08-29,0.0
334,2008-08-30,0.0
335,2008-08-31,351.0749032691896
336,2008-09-01,73.38853910146901
337,2008-09-02,8.925633133962448
338,2008-09-03,0.0
339,2008-09-04,1549.0932171295524
340,2008-09-05,5525.958647151149
341,2008-09-06,10159.353980490969
342,2008-09-07,12517.704602223303
343,2008-09-08,13368.614959883258
344,2008-09-09,13330.928951469989
345,2008-09-10,8854.228069028764
346,2008-09-11,2856.2026028679834
