date,C43RO_cmd,C43RO
7/22/2008,3256392.052,1331
7/23/2008,5370233.324,2195
7/24/2008,3890055.118,1590
7/25/2008,5602658.001,2290
7/26/2008,2561564.597,1047
7/27/2008,4802627.797,1963
7/28/2008,4523718.185,1849
7/29/2008,4499252.43,1839
7/30/2008,3195227.663,1306
7/31/2008,4193430.486,1714
8/1/2008,2894298.871,1183
8/2/2008,2784202.972,1138
8/3/2008,2806222.152,1147
8/4/2008,3351808.498,1370
8/5/2008,3209907.117,1312
8/6/2008,2823348.18,1154
8/7/2008,3028860.526,1238
8/8/2008,2321800.193,949
8/9/2008,3028860.526,1238
8/10/2008,2754844.065,1126
8/11/2008,1810465.904,740
8/12/2008,2478381.028,1013
8/13/2008,2334033.071,954
8/14/2008,2187238.538,894
8/15/2008,2294887.862,938
8/16/2008,1896096.048,775
8/17/2008,2214150.869,905
8/18/2008,7317707.459,2991
8/19/2008,23756248.55,9710
8/20/2008,43793702.28,17900
8/21/2008,34496715.2,14100
8/22/2008,31560824.55,12900
8/23/2008,37921920.97,15500
8/24/2008,31316166.99,12800
8/25/2008,32050139.66,13100
8/26/2008,32050139.66,13100
8/27/2008,27890961.23,11400
8/28/2008,27401646.12,11200
8/29/2008,22630823.8,9250
8/30/2008,19425809.84,7940
8/31/2008,29358906.55,12000
9/1/2008,16465453.43,6730
9/2/2008,13358302.48,5460
9/3/2008,12526466.8,5120
9/4/2008,10441984.43,4268
9/5/2008,8364841.792,3419
9/6/2008,11053628.32,4518
9/7/2008,9734924.098,3979
9/8/2008,9199124.055,3760
9/9/2008,10713554.32,4379.000001
9/10/2008,0,0
9/11/2008,5504794.979,2250
9/12/2008,6091973.11,2490
9/13/2008,3669863.319,1500
9/14/2008,4085781.162,1670
9/15/2008,1695476.854,693
9/16/2008,3175655.059,1298
9/17/2008,2488167.331,1017
9/18/2008,3153635.879,1289
9/19/2008,3572000.298,1460
9/20/2008,763331.57,311.9999998
9/21/2008,2992161.893,1223
9/22/2008,5296836.056,2164.999999
9/23/2008,4858899.035,1986
9/24/2008,4834433.279,1976
9/25/2008,4702318.2,1922
9/26/2008,2463701.575,1007
9/27/2008,3383613.981,1383
9/28/2008,3623378.384,1481
9/29/2008,4193430.486,1714
9/30/2008,13456165.5,5500
10/1/2008,11205316,4580
10/2/2008,6850411.529,2800
10/3/2008,6874877.285,2810
10/4/2008,5700521.023,2330
10/5/2008,5739666.232,2346
10/6/2008,6405134.78,2618
10/7/2008,7794789.69,3186
10/8/2008,6043041.599,2470
10/9/2008,6581288.22,2690
10/10/2008,4841773.006,1979
10/11/2008,3378720.83,1381
10/12/2008,4939636.028,2019
10/13/2008,5605104.576,2291
10/14/2008,5115789.467,2091
10/15/2008,2351159.1,961
10/16/2008,1088726.118,445
10/17/2008,1556022.047,636
10/18/2008,1201268.593,491
10/19/2008,1923008.379,786
10/20/2008,1335830.248,546
10/21/2008,900339.801,368
10/22/2008,927252.132,379
10/23/2008,1091172.694,446
10/24/2008,1171909.687,479
10/25/2008,2691233.101,1100
10/26/2008,4575096.271,1870
10/27/2008,2691233.101,1100
10/28/2008,1837378.235,751
10/29/2008,1595167.256,652
10/30/2008,1025115.154,419
10/31/2008,1022668.578,418
11/1/2008,1025115.154,419
11/2/2008,878320.6211,359
11/3/2008,1169463.111,478
11/4/2008,973737.0674,398
11/5/2008,401238.3896,164
11/6/2008,413471.2673,169
11/7/2008,340074.0009,139
11/8/2008,719293.2106,294
11/9/2008,626323.3398,256
11/10/2008,420810.9939,172
11/11/2008,141901.3816,57.99999998
11/12/2008,0,0
11/13/2008,274016.4612,112
11/14/2008,707060.3328,289
11/15/2008,313161.6699,128
11/16/2008,0,0
11/17/2008,0,0
11/18/2008,31805.48252,13.00000017
11/19/2008,0,0
11/20/2008,0,0
11/21/2008,0,0
11/22/2008,0,0
11/23/2008,276463.0367,113
11/24/2008,491761.6848,201
11/25/2008,0,0
11/26/2008,0,0
11/27/2008,0,0
11/28/2008,0,0
11/29/2008,0,0
11/30/2008,24465.75521,9.999999898
12/1/2008,1044687.758,427
12/2/2008,824495.9591,337
12/3/2008,934591.8587,382
12/4/2008,631216.491,258
12/5/2008,0,0
12/6/2008,0,0
12/7/2008,738865.8149,302
12/8/2008,878320.6211,359
12/9/2008,369432.9075,151
12/10/2008,0,0
12/11/2008,75843.84189,30.99999998
12/12/2008,663021.973,271
12/13/2008,971290.4919,397
12/14/2008,902786.3766,369
12/15/2008,1619633.012,662
12/16/2008,1482624.781,606
12/17/2008,809816.5058,331
12/18/2008,834282.2613,341
12/19/2008,604304.1599,247
12/20/2008,132115.0794,53.99999997
12/21/2008,264230.1593,108.0000001
12/22/2008,677701.4263,277
12/23/2008,447723.3246,182.9999998
12/24/2008,0,0
12/25/2008,0,0
12/26/2008,325394.5476,133
12/27/2008,582284.98,238
12/28/2008,570052.1022,233
12/29/2008,499101.4114,204
12/30/2008,0,0
12/31/2008,0,0
1/1/2009,0,0
1/2/2009,0,0
1/3/2009,0,0
1/4/2009,369432.9079,151.0000002
1/5/2009,310715.094,126.9999999
1/6/2009,0,0
1/7/2009,0,0
1/8/2009,0,0
1/9/2009,0,0
1/10/2009,0,0
1/11/2009,0,0
1/12/2009,0,0
1/13/2009,0,0
1/14/2009,44038.36006,18.00000009
1/15/2009,0,0
1/16/2009,0,0
1/17/2009,0,0
1/18/2009,474635.6559,194
1/19/2009,347413.7276,142
1/20/2009,0,0
1/21/2009,0,0
1/22/2009,0,0
1/23/2009,0,0
1/24/2009,618983.6132,253
1/25/2009,780457.5993,319
1/26/2009,347413.7276,142
1/27/2009,0,0
1/28/2009,29358.90609,11.99999981
1/29/2009,0,0
1/30/2009,0,0
1/31/2009,0,0
2/1/2009,0,0
2/2/2009,7339.72659,2.99999998
2/3/2009,185939.7416,76.00000002
2/4/2009,0,0
2/5/2009,0,0
2/6/2009,0,0
2/7/2009,1786000.149,730
2/8/2009,1962153.588,802
2/9/2009,0,0
2/10/2009,0,0
2/11/2009,0,0
2/12/2009,0,0
2/13/2009,0,0
2/14/2009,0,0
2/15/2009,655682.2464,268
2/16/2009,34252.05795,14.00000012
2/17/2009,0,0
2/18/2009,0,0
2/19/2009,0,0
2/20/2009,0,0
2/21/2009,0,0
2/22/2009,0,0
2/23/2009,0,0
2/24/2009,0,0
2/25/2009,0,0
2/26/2009,0,0
2/27/2009,0,0
2/28/2009,0,0
3/1/2009,0,0
3/2/2009,0,0
3/3/2009,0,0
3/4/2009,0,0
3/5/2009,0,0
3/6/2009,0,0
3/7/2009,0,0
3/8/2009,0,0
3/9/2009,0,0
3/10/2009,0,0
3/11/2009,0,0
3/12/2009,0,0
3/13/2009,0,0
3/14/2009,0,0
3/15/2009,0,0
3/16/2009,0,0
3/17/2009,0,0
3/18/2009,0,0
3/19/2009,0,0
3/20/2009,0,0
3/21/2009,0,0
3/22/2009,0,0
3/23/2009,0,0
3/24/2009,0,0
3/25/2009,0,0
3/26/2009,0,0
3/27/2009,0,0
3/28/2009,36698.63326,15.00000003
3/29/2009,954164.4633,390.0000001
3/30/2009,0.0002512,1.03E-07
3/31/2009,0,0
4/1/2009,0,0
4/2/2009,0,0
4/3/2009,0,0
4/4/2009,0,0
4/5/2009,0,0
4/6/2009,0,0
4/7/2009,0,0
4/8/2009,0,0
4/9/2009,0,0
4/10/2009,0,0
4/11/2009,0,0
4/12/2009,176153.439,71.99999986
4/13/2009,0,0
4/14/2009,0,0
4/15/2009,0,0
4/16/2009,0,0
4/17/2009,0,0
4/18/2009,0,0
4/19/2009,0,0
4/20/2009,0,0
4/21/2009,0,0
4/22/2009,0,0
4/23/2009,0,0
4/24/2009,0,0
4/25/2009,0,0
4/26/2009,0,0
4/27/2009,0,0
4/28/2009,0,0
4/29/2009,0,0
4/30/2009,0,0
5/1/2009,0,0
5/2/2009,0,0
5/3/2009,0,0
5/4/2009,0,0
5/5/2009,0,0
5/6/2009,0,0
5/7/2009,0,0
5/8/2009,0,0
5/9/2009,0,0
5/10/2009,0,0
5/11/2009,0,0
5/12/2009,0,0
5/13/2009,0,0
5/14/2009,418364.4184,171
5/15/2009,1399441.212,572
5/16/2009,1037348.032,424
5/17/2009,264230.159,108
5/18/2009,0,0
5/19/2009,1820252.206,744
5/20/2009,1590274.105,650
5/21/2009,1790893.3,732
5/22/2009,3625824.96,1482
5/23/2009,3156082.455,1290
5/24/2009,1548682.321,633
5/25/2009,1749301.516,715
5/26/2009,3156082.455,1290
5/27/2009,7168466.35,2930
5/28/2009,9517178.875,3890
5/29/2009,8538548.656,3490
5/30/2009,4805074.373,1964
5/31/2009,4800181.222,1962
6/1/2009,9174658.298,3750
6/2/2009,11719096.87,4790
6/3/2009,7853507.503,3210
6/4/2009,6067507.355,2480
6/5/2009,5382466.202,2200
6/6/2009,4403835.983,1800
6/7/2009,4085781.162,1670
6/8/2009,6189836.132,2530
6/9/2009,8171562.324,3340
6/10/2009,6018575.844,2460
6/11/2009,5211205.913,2130
6/12/2009,3498603.031,1430
6/13/2009,4208109.94,1720
6/14/2009,2258189.229,923
6/15/2009,2258189.229,923
6/16/2009,2165219.358,885
6/17/2009,2324246.769,950
6/18/2009,4257041.45,1740
6/19/2009,4604455.178,1882
6/20/2009,0,0
6/21/2009,530906.8935,217
6/22/2009,1169463.111,478
6/23/2009,3594019.477,1469
6/24/2009,5744559.383,2348
6/25/2009,3283304.383,1342
6/26/2009,4247255.148,1736
6/27/2009,3072898.886,1256
6/28/2009,3090024.915,1263
6/29/2009,2197024.841,898
6/30/2009,3376274.254,1380
7/1/2009,5886460.764,2406
7/2/2009,13556475.1,5541
7/3/2009,25026021.26,10229
7/4/2009,23107906.03,9445
7/5/2009,18363996.05,7506
7/6/2009,14481280.66,5919
7/7/2009,10757592.68,4397
7/8/2009,8470044.541,3462
7/9/2009,7032926.065,2874.6
7/10/2009,6610647.126,2702
7/11/2009,641002.7931,262
7/12/2009,0,0
7/13/2009,6583734.795,2691
7/14/2009,6561715.615,2682
7/15/2009,6796586.867,2778
7/16/2009,7283455.401,2977
7/17/2009,3405633.16,1392
7/18/2009,4489466.127,1835
7/19/2009,2970142.713,1214
7/20/2009,6576395.068,2688
7/21/2009,5909947.889,2415.6
7/22/2009,4572649.696,1869
7/23/2009,4291293.508,1754
7/24/2009,2143200.179,876
7/25/2009,2649641.317,1083
7/26/2009,2701019.403,1104
7/27/2009,5453416.893,2229
7/28/2009,4592222.3,1877
7/29/2009,5526814.159,2259
7/30/2009,5622230.606,2298
7/31/2009,10791844.73,4411
8/1/2009,7559918.438,3090
8/2/2009,9659080.257,3948
8/3/2009,9360598.04,3826
8/4/2009,9179551.45,3752
8/5/2009,9003398.01,3680
8/6/2009,7633315.704,3120
8/7/2009,8611945.923,3520
8/8/2009,9615041.897,3930
8/9/2009,10104357.01,4130
8/10/2009,9492713.119,3880
8/11/2009,6997206.062,2860
8/12/2009,7241863.617,2960
8/13/2009,4257041.45,1740
8/14/2009,8122630.814,3320
8/15/2009,11131918.74,4550
8/16/2009,8391754.124,3430
8/17/2009,7951370.525,3250
8/18/2009,6972740.307,2850
8/19/2009,4354904.472,1780
8/20/2009,5724986.778,2340
8/21/2009,5798384.045,2370
8/22/2009,4110246.918,1680
8/23/2009,3229479.721,1320
8/24/2009,5431397.713,2220
8/25/2009,3253945.476,1330
8/26/2009,6067507.355,2480
8/27/2009,4795288.071,1960
8/28/2009,3180548.21,1300
8/29/2009,2390304.309,977
8/30/2009,2280208.409,932
8/31/2009,2789096.123,1140
9/1/2009,6997206.062,2860
9/2/2009,11841425.64,4840
9/3/2009,13407233.99,5480
9/4/2009,10030959.74,4100
9/5/2009,9639507.652,3940
9/6/2009,9468247.364,3870
9/7/2009,8440685.635,3450
9/8/2009,7364192.394,3010
9/9/2009,4354904.472,1780
9/10/2009,5406931.957,2210
9/11/2009,5064411.381,2070
9/12/2009,6116438.866,2500
9/13/2009,8954466.499,3660
9/14/2009,10936192.69,4470
9/15/2009,8709808.945,3560
9/16/2009,8636411.678,3530
9/17/2009,6923808.796,2830
9/18/2009,6116438.866,2500
9/19/2009,4746356.56,1940
9/20/2009,3890055.119,1590
9/21/2009,3156082.455,1290
9/22/2009,3033753.677,1240
9/23/2009,2568904.324,1050
9/24/2009,2544438.568,1040
9/25/2009,1827591.933,747
9/26/2009,3229479.721,1320
9/27/2009,3596466.053,1470
9/28/2009,5284603.18,2160
9/29/2009,3987918.14,1630
9/30/2009,2519972.813,1030
10/1/2009,2960356.411,1210
10/2/2009,1967046.739,804
10/3/2009,1296685.04,530
10/4/2009,1930348.106,789
10/5/2009,1047134.334,428
10/6/2009,122328.7773,50
10/7/2009,807369.9303,330
10/8/2009,2255742.654,922
10/9/2009,655682.2464,268
10/10/2009,80736.99303,33
10/11/2009,144347.9572,59
10/12/2009,633663.0665,259
10/13/2009,0,0
10/14/2009,0,0
10/15/2009,0,0
10/16/2009,0,0
10/17/2009,335180.8498,137
10/18/2009,190832.8926,78
10/19/2009,0,0
10/20/2009,229978.1013,93.99999998
10/21/2009,0,0
10/22/2009,0,0
10/23/2009,0,0
10/24/2009,0,0
10/25/2009,0,0
10/26/2009,0,0
10/27/2009,0,0
10/28/2009,0,0
10/29/2009,0,0
10/30/2009,0,0
10/31/2009,0,0
11/1/2009,0,0
11/2/2009,0,0
11/3/2009,0,0
11/4/2009,0,0
11/5/2009,0,0
11/6/2009,0,0
11/7/2009,0,0
11/8/2009,0,0
11/9/2009,0,0
11/10/2009,0,0
11/11/2009,0,0
11/12/2009,0,0
11/13/2009,0,0
11/14/2009,0,0
11/15/2009,0,0
11/16/2009,0,0
11/17/2009,0,0
11/18/2009,0,0
11/19/2009,0,0
11/20/2009,0,0
11/21/2009,0,0
11/22/2009,0,0
11/23/2009,0,0
11/24/2009,0,0
11/25/2009,526013.7422,214.9999999
11/26/2009,2184791.963,893
11/27/2009,1012882.276,414
11/28/2009,34252.05766,14
11/29/2009,0,0
11/30/2009,173706.8638,71
12/1/2009,435490.4472,178
12/2/2009,0,0
12/3/2009,0,0
12/4/2009,0,0
12/5/2009,3669863.319,1500
12/6/2009,5896247.066,2410
12/7/2009,3572000.298,1460
12/8/2009,2446575.546,1000
12/9/2009,2128520.725,870
12/10/2009,1318704.219,539
12/11/2009,1445926.148,591
12/12/2009,741312.3905,303
12/13/2009,1492411.083,610
12/14/2009,462402.7782,189
12/15/2009,0,0
12/16/2009,0,0
12/17/2009,467295.9293,191
12/18/2009,2113841.272,864
12/19/2009,4819753.826,1970
12/20/2009,3351808.498,1370
12/21/2009,1651438.494,675
12/22/2009,379219.2097,155
12/23/2009,1382315.184,565
12/24/2009,1233074.075,504
12/25/2009,826942.5346,338
12/26/2009,641002.7931,262
12/27/2009,782904.1748,320
12/28/2009,151687.6839,62
12/29/2009,0,0
12/30/2009,0,0
12/31/2009,0,0
1/1/2010,0,0
1/2/2010,415917.8429,170
1/3/2010,0,0
1/4/2010,0,0
1/5/2010,0,0
1/6/2010,0,0
1/7/2010,0,0
1/8/2010,0,0
1/9/2010,166367.1371,68
1/10/2010,0,0
1/11/2010,0,0
1/12/2010,753545.2682,308
1/13/2010,2255742.654,922
1/14/2010,1683243.976,688
1/15/2010,1206161.745,493.0000001
1/16/2010,1039794.607,425.0000001
1/17/2010,1458159.026,596
1/18/2010,1416567.241,579
1/19/2010,824495.959,337
1/20/2010,496654.8359,203
1/21/2010,0,0
1/22/2010,0,0
1/23/2010,0,0
1/24/2010,748652.1171,306
1/25/2010,1465498.752,599
1/26/2010,386558.9363,158
1/27/2010,2419663.215,989
1/28/2010,2945676.958,1204
1/29/2010,905232.9524,370.0000001
1/30/2010,890553.4991,364.0000001
1/31/2010,1233074.075,504
2/1/2010,846515.139,346
2/2/2010,731526.0883,299
2/3/2010,1164569.96,476
2/4/2010,795137.0525,325
2/5/2010,2813561.878,1150
2/6/2010,2072249.488,847
2/7/2010,596964.4333,244
2/8/2010,1218394.622,498
2/9/2010,433043.8717,177
2/10/2010,692380.8796,283
2/11/2010,763331.5704,312
2/12/2010,337627.4254,138
2/13/2010,1362742.579,557
2/14/2010,1805572.753,738
2/15/2010,782904.1748,320
2/16/2010,0,0
2/17/2010,0,0
2/18/2010,0,0
2/19/2010,0,0
2/20/2010,724186.3617,296
2/21/2010,861194.5925,352.0000001
2/22/2010,342520.5763,139.9999999
2/23/2010,0,0
2/24/2010,0,0
2/25/2010,0,0
2/26/2010,0,0
2/27/2010,0,0
2/28/2010,594517.8577,243
3/1/2010,232424.6769,95
3/2/2010,1629419.314,666
3/3/2010,2231276.899,912.0000001
3/4/2010,0,0
3/5/2010,0,0
3/6/2010,0,0
3/7/2010,785350.7504,321
3/8/2010,0,0
3/9/2010,0,0
3/10/2010,200619.195,82.0000001
3/11/2010,0,0
3/12/2010,16607354.81,6788
3/13/2010,22092577.18,9030
3/14/2010,14654987.52,5990
3/15/2010,9292093.925,3798
3/16/2010,8563014.412,3500
3/17/2010,5749452.534,2350
3/18/2010,3767726.341,1540
3/19/2010,2984822.166,1220
3/20/2010,2544438.568,1040
3/21/2010,2429449.517,993
3/22/2010,4281507.206,1750
3/23/2010,4281507.206,1750
3/24/2010,3253945.476,1330
3/25/2010,1864290.566,762
3/26/2010,2764630.367,1130
3/27/2010,2759737.216,1128
3/28/2010,1766427.544,721.9999999
3/29/2010,6094419.685,2491
3/30/2010,7589277.344,3102
3/31/2010,6346416.967,2594
4/1/2010,3317556.441,1356
4/2/2010,2798882.425,1144
4/3/2010,2250849.502,919.9999999
4/4/2010,1888756.322,772
4/5/2010,1830038.509,748.0000001
4/6/2010,1027561.729,419.9999999
4/7/2010,528460.3178,215.9999999
4/8/2010,0,0
4/9/2010,264230.1587,107.9999999
4/10/2010,2172559.085,887.9999999
4/11/2010,1526663.141,623.9999999
4/12/2010,3290644.11,1345
4/13/2010,3408079.736,1393
4/14/2010,1282005.586,524
4/15/2010,259337.0078,106
4/16/2010,0,0
4/17/2010,890553.499,364.0000001
4/18/2010,2686339.949,1098
4/19/2010,7354406.092,3006
4/20/2010,6067507.355,2480
4/21/2010,4266827.753,1744
4/22/2010,4252148.3,1738
4/23/2010,3160975.605,1292
4/24/2010,2253296.078,920.9999998
4/25/2010,3368934.527,1377
4/26/2010,13522223.04,5527
4/27/2010,16710110.98,6830
4/28/2010,14072702.54,5752
4/29/2010,9810767.941,4010
4/30/2010,8460258.239,3458
5/1/2010,6018575.844,2460
5/2/2010,5685841.569,2324
5/3/2010,4257041.451,1740
5/4/2010,3655183.866,1494
5/5/2010,3797085.248,1552
5/6/2010,2916318.051,1192
5/7/2010,3660077.017,1496
5/8/2010,5587978.547,2284
5/9/2010,4217896.242,1724
5/10/2010,3953666.087,1616.000002
5/11/2010,2040444.004,833.9999993
5/12/2010,3185441.357,1301.999998
5/13/2010,2395197.462,979.0000008
5/14/2010,2285101.562,934.0000006
5/15/2010,1986619.344,812.0000002
5/16/2010,4137159.245,1690.999999
5/17/2010,7212504.712,2948.000001
5/18/2010,7875526.684,3219
5/19/2010,6564162.191,2683
5/20/2010,4721890.804,1930
5/21/2010,4075994.86,1666
5/22/2010,3540194.815,1447
5/23/2010,2759737.216,1128
