date,INDUST_cms,INDUST_cmd
8/13/2008,0,0
8/14/2008,0,0
8/15/2008,0,0
8/16/2008,0,0
8/17/2008,0,0
8/18/2008,0,0
8/19/2008,0,0
8/20/2008,0,0
8/21/2008,0,0
8/22/2008,0,0
8/23/2008,0,0
8/24/2008,0,0
8/25/2008,0,0
8/26/2008,0,0
8/27/2008,0,0
8/28/2008,0,0
8/29/2008,0,0
8/30/2008,0,0
8/31/2008,0,0
9/1/2008,0,0
9/2/2008,0,0
9/3/2008,0,0
9/4/2008,0,0
9/5/2008,0,0
9/6/2008,0,0
9/7/2008,0,0
9/8/2008,0,0
9/9/2008,0,0
9/10/2008,0,0
9/11/2008,0,0
9/12/2008,0,0
9/13/2008,0.093445594,8073.699303
9/14/2008,0,0
9/15/2008,0.036811901,3180.54821
9/16/2008,0.962772784,83183.56857
9/17/2008,0.453069546,39145.20874
9/18/2008,0.821188551,70950.69084
9/19/2008,0.906139091,78290.41748
9/20/2008,1.132673864,97863.02185
9/21/2008,0.877822245,75843.84193
9/22/2008,1.359208637,117435.6262
9/23/2008,0,0
9/24/2008,0,0
9/25/2008,0,0
9/26/2008,0.821188551,70950.69084
9/27/2008,0.283168466,24465.75546
9/28/2008,0,0
9/29/2008,0,0
9/30/2008,0,0
10/1/2008,0,0
10/2/2008,0,0
10/3/2008,0.158574341,13700.82306
10/4/2008,0.424752699,36698.63319
10/5/2008,0.396435852,34252.05765
10/6/2008,0,0
10/7/2008,0,0
10/8/2008,0,0
10/9/2008,0.396435852,34252.05765
10/10/2008,0.240693196,20795.89214
10/11/2008,0,0
10/12/2008,0.271841727,23487.12524
10/13/2008,0,0
10/14/2008,0,0
10/15/2008,0,0
10/16/2008,0,0
10/17/2008,0.220871403,19083.28926
10/18/2008,0.368119006,31805.4821
10/19/2008,0.20671298,17860.00149
10/20/2008,0.538020085,46484.93538
10/21/2008,0.067960432,5871.781311
10/22/2008,0.538020085,46484.93538
10/23/2008,0.24918825,21529.86481
10/24/2008,0,0
10/25/2008,0,0
10/26/2008,0.481386392,41591.78429
10/27/2008,0.12176244,10520.27485
10/28/2008,0.481386392,41591.78429
10/29/2008,0.053802009,4648.493538
10/30/2008,0.368119006,31805.4821
10/31/2008,0.311485313,26912.33101
11/1/2008,0.039643585,3425.205765
11/2/2008,0.509703239,44038.35983
11/3/2008,0.167069395,14434.79572
11/4/2008,0.218039719,18838.63171
11/5/2008,0.280336781,24221.09791
11/6/2008,0.203881296,17615.34393
11/7/2008,0,0
11/8/2008,0,0
11/9/2008,0.481386392,41591.78429
11/10/2008,0.203881296,17615.34393
11/11/2008,1.472476023,127221.9284
11/12/2008,1.104357017,95416.4463
11/13/2008,1.104357017,95416.4463
11/14/2008,1.444159177,124775.3529
11/15/2008,1.274258097,110095.8996
11/16/2008,0.651287472,56271.23756
11/17/2008,2.860001507,247104.1302
11/18/2008,3.482972132,300928.7922
11/19/2008,2.83168466,244657.5546
