date,RF_acft
9/12/2008,0
9/13/2008,0
9/14/2008,1402.825
9/15/2008,0
9/16/2008,0
9/17/2008,467.6666667
9/18/2008,748.2133333
9/19/2008,1402.35
9/20/2008,0
9/21/2008,467.2916667
9/22/2008,6821.606667
9/23/2008,12988.16
9/24/2008,2989.173333
9/25/2008,0
9/26/2008,0
9/27/2008,2427.377333
9/28/2008,4386.435583
9/29/2008,16515.32425
9/30/2008,18866.8
10/1/2008,280.26
10/2/2008,0
10/3/2008,0
10/4/2008,280.135
10/5/2008,186.7428333
10/6/2008,5041.863
10/7/2008,186.6998333
10/8/2008,0
10/9/2008,653.4745
10/10/2008,23342.85417
10/11/2008,1681.23
10/12/2008,1681.17
10/13/2008,280.16
10/14/2008,747.0533333
10/15/2008,0
10/16/2008,0
10/17/2008,0
10/18/2008,0
10/19/2008,0
10/20/2008,466.3016667
10/21/2008,93.22091667
10/22/2008,0
10/23/2008,1677.4605
10/24/2008,838.85925
10/25/2008,17064.67375
10/26/2008,1305.694833
10/27/2008,93.22091667
10/28/2008,93.09908333
10/29/2008,558.358
10/30/2008,0
10/31/2008,93.00233333
11/1/2008,278.93175
11/2/2008,557.799
11/3/2008,278.88875
11/4/2008,0
11/5/2008,0
11/6/2008,185.8111667
11/7/2008,0
11/8/2008,0
11/9/2008,0
11/10/2008,0
11/11/2008,185.4671667
11/12/2008,1391.2725
11/13/2008,0
11/14/2008,0
11/15/2008,185.4313333
11/16/2008,92.60816667
11/17/2008,0
11/18/2008,0
11/19/2008,184.616
11/20/2008,0
11/21/2008,0
11/22/2008,0
11/23/2008,0
11/24/2008,276.213
11/25/2008,184.1288333
11/26/2008,91.94591667
11/27/2008,0
11/28/2008,0
11/29/2008,91.81425
11/30/2008,20394.4555
12/1/2008,2022.375667
12/2/2008,642.7458333
12/3/2008,0
12/4/2008,0
12/5/2008,0
12/6/2008,91.61675
12/7/2008,0
12/8/2008,0
12/9/2008,457.2279167
12/10/2008,0
12/11/2008,23787.83333
12/12/2008,91.52458333
12/13/2008,0
12/14/2008,640.4416667
12/15/2008,182.9701667
12/16/2008,91.45216667
12/17/2008,91.42583333
12/18/2008,91.41266667
12/19/2008,0
12/20/2008,0
12/21/2008,182.6673333
12/22/2008,0
12/23/2008,0
12/24/2008,4556.479167
12/25/2008,2370.053833
12/26/2008,91.14275
12/27/2008,0
12/28/2008,91.07691667
12/29/2008,91.03741667
12/30/2008,90.97158333
12/31/2008,90.91891667
1/1/2009,181.6798333
1/2/2009,90.67666667
1/3/2009,0
1/4/2009,271.419
1/5/2009,90.39466667
1/6/2009,0
1/7/2009,1534.845
1/8/2009,180.1626667
1/9/2009,89.87766667
1/10/2009,89.73666667
1/11/2009,89.59566667
1/12/2009,89.486
1/13/2009,2232.841667
1/14/2009,534.378
1/15/2009,0
1/16/2009,441.2416667
1/17/2009,176.2146667
1/18/2009,0
1/19/2009,88.15433333
1/20/2009,263.006
1/21/2009,87.30833333
1/22/2009,87.16733333
1/23/2009,87.02633333
1/24/2009,0
1/25/2009,86.91666667
1/26/2009,0
1/27/2009,0
1/28/2009,86.67616667
1/29/2009,173.0933333
1/30/2009,2930.635667
1/31/2009,85.62166667
2/1/2009,0
2/2/2009,5411.6475
2/3/2009,171.0213333
2/4/2009,0
2/5/2009,0
2/6/2009,0
2/7/2009,0
2/8/2009,0
2/9/2009,0
2/10/2009,84.23416667
2/11/2009,0
2/12/2009,84.06766667
2/13/2009,335.6046667
2/14/2009,0
2/15/2009,0
2/16/2009,0
2/17/2009,0
2/18/2009,0
2/19/2009,0
2/20/2009,0
2/21/2009,0
2/22/2009,0
2/23/2009,0
2/24/2009,0
2/25/2009,0
2/26/2009,0
2/27/2009,0
2/28/2009,0
3/1/2009,0
3/2/2009,0
3/3/2009,0
3/4/2009,0
3/5/2009,0
3/6/2009,160.9543333
3/7/2009,80.38216667
3/8/2009,0
3/9/2009,0
3/10/2009,0
3/11/2009,0
3/12/2009,0
3/13/2009,0
3/14/2009,0
3/15/2009,0
3/16/2009,0
3/17/2009,5480.1985
3/18/2009,79.44416667
3/19/2009,5721.492
3/20/2009,0
3/21/2009,2219.438667
3/22/2009,0
3/23/2009,316.9786667
3/24/2009,79.10816667
3/25/2009,0
3/26/2009,0
3/27/2009,0
3/28/2009,78.70916667
3/29/2009,4240.089
3/30/2009,156.7463333
3/31/2009,3448.881333
4/1/2009,2508.613333
4/2/2009,0
4/3/2009,234.584
4/4/2009,78.01616667
4/5/2009,0
4/6/2009,0
4/7/2009,0
4/8/2009,0
4/9/2009,0
4/10/2009,0
4/11/2009,0
4/12/2009,0
4/13/2009,0
4/14/2009,603.5066667
4/15/2009,0
4/16/2009,0
4/17/2009,0
4/18/2009,0
4/19/2009,0
4/20/2009,0
4/21/2009,1036.723333
4/22/2009,0
4/23/2009,0
4/24/2009,0
4/25/2009,0
4/26/2009,0
4/27/2009,0
4/28/2009,0
4/29/2009,0
4/30/2009,0
5/1/2009,0
5/2/2009,0
5/3/2009,70.95833333
5/4/2009,0
5/5/2009,0
5/6/2009,0
5/7/2009,0
5/8/2009,0
5/9/2009,0
5/10/2009,0
5/11/2009,5805.1
5/12/2009,413.675
5/13/2009,0
5/14/2009,14160.44
5/15/2009,3374.63
5/16/2009,1855.6875
5/17/2009,0
5/18/2009,16062.25
5/19/2009,4185.870833
5/20/2009,12006
5/21/2009,1391.483333
5/22/2009,4722.94
5/23/2009,766.2691667
5/24/2009,0
5/25/2009,23479.35167
5/26/2009,15079.5625
5/27/2009,19591.58667
5/28/2009,8527.8
