date,ETVol_acft
8/5/2008,3297.077787
8/6/2008,4455.077787
8/7/2008,5994.1
8/8/2008,3332.544454
8/9/2008,4008.013333
8/10/2008,4509.388898
8/11/2008,4728.282213
8/12/2008,3581.517768
8/13/2008,4549.495565
8/14/2008,3954.86001
8/15/2008,4451.062213
8/16/2008,4737.864435
8/17/2008,4738.735546
8/18/2008,876.94
8/19/2008,406.1777676
8/20/2008,2515.333333
8/21/2008,4167.028667
8/22/2008,2394.939545
8/23/2008,5242.735122
8/24/2008,6677.204877
8/25/2008,5760.439988
8/26/2008,4060.959988
8/27/2008,3998.984
8/28/2008,4017.812333
8/29/2008,3545.823568
8/30/2008,2701.328654
8/31/2008,1850.515
9/1/2008,3461.117321
9/2/2008,3218.739346
9/3/2008,3223.211346
9/4/2008,2481.01779
9/5/2008,1368.869346
9/6/2008,3613.722235
9/7/2008,3614.560012
9/8/2008,3365.34
9/9/2008,3116.111099
9/10/2008,2493.111124
9/11/2008,3989.333346
9/12/2008,3615.591124
9/13/2008,3990.044457
9/14/2008,4114.953333
9/15/2008,1122.34
9/16/2008,1122.4
9/17/2008,0
9/18/2008,0
9/19/2008,0
9/20/2008,0
9/21/2008,0
9/22/2008,0
9/23/2008,0
9/24/2008,0
9/25/2008,0
9/26/2008,0
9/27/2008,0
9/28/2008,0
9/29/2008,0
9/30/2008,0
10/1/2008,0
10/2/2008,0
10/3/2008,0
10/4/2008,0
10/5/2008,0
10/6/2008,0
10/7/2008,0
10/8/2008,0
10/9/2008,0
10/10/2008,0
10/11/2008,0
10/12/2008,0
10/13/2008,0
10/14/2008,0
10/15/2008,0
10/16/2008,0
10/17/2008,0
10/18/2008,0
10/19/2008,0
10/20/2008,0
10/21/2008,0
10/22/2008,0
10/23/2008,0
10/24/2008,0
10/25/2008,0
10/26/2008,0
10/27/2008,0
10/28/2008,0
10/29/2008,0
10/30/2008,0
10/31/2008,0
11/1/2008,0
11/2/2008,0
11/3/2008,0
11/4/2008,0
11/5/2008,0
11/6/2008,0
11/7/2008,0
11/8/2008,0
11/9/2008,0
11/10/2008,0
11/11/2008,0
11/12/2008,0
11/13/2008,0
11/14/2008,0
11/15/2008,0
11/16/2008,0
11/17/2008,0
11/18/2008,0
11/19/2008,0
11/20/2008,0
11/21/2008,0
11/22/2008,0
11/23/2008,0
11/24/2008,0
11/25/2008,0
11/26/2008,0
11/27/2008,0
11/28/2008,0
11/29/2008,0
11/30/2008,0
12/1/2008,0
12/2/2008,0
12/3/2008,0
12/4/2008,0
12/5/2008,0
12/6/2008,0
12/7/2008,0
12/8/2008,0
12/9/2008,0
12/10/2008,2194.22
12/11/2008,182.9833333
12/12/2008,1922.01625
12/13/2008,1736.96575
12/14/2008,1372.375
12/15/2008,1189.306083
12/16/2008,2560.660667
12/17/2008,2559.923333
12/18/2008,3473.681333
12/19/2008,4295.7765
12/20/2008,3746.299833
12/21/2008,3653.346667
12/22/2008,2552.55
12/23/2008,3373.0125
12/24/2008,3098.405833
12/25/2008,3008.14525
12/26/2008,3736.85275
12/27/2008,4099.9425
12/28/2008,4371.692
12/29/2008,4096.68375
12/30/2008,3365.948583
12/31/2008,3636.756667
1/1/2009,3906.116417
1/2/2009,3808.42
1/3/2009,3803.814
1/4/2009,3799.866
1/5/2009,4158.154667
1/6/2009,3254.772
1/7/2009,2166.84
1/8/2009,3423.090667
1/9/2009,3505.229
1/10/2009,3230.52
1/11/2009,3225.444
1/12/2009,2237.15
1/13/2009,1518.332333
1/14/2009,3473.457
1/15/2009,1242.276
1/16/2009,2647.45
1/17/2009,3524.293333
1/18/2009,4055.099333
1/19/2009,3349.864667
1/20/2009,3769.752667
1/21/2009,4365.416667
1/22/2009,4184.032
1/23/2009,3829.158667
1/24/2009,3739.437667
1/25/2009,4085.083333
1/26/2009,4167.56
1/27/2009,3470.006667
