date,Outflows_acft,LO_Outflows_cmd
6/15/2008,0,0
6/16/2008,0,0
6/17/2008,0,0
6/18/2008,0,0
6/19/2008,0,0
6/20/2008,0,0
6/21/2008,0,0
6/22/2008,0,0
6/23/2008,0,0
6/24/2008,0,0
6/25/2008,0,0
6/26/2008,0,0
6/27/2008,0,0
6/28/2008,0,0
6/29/2008,539.5040483,665467.4534
6/30/2008,0,0
7/1/2008,0,0
7/2/2008,0,0
7/3/2008,0,0
7/4/2008,0,0
7/5/2008,0,0
7/6/2008,0,0
7/7/2008,0,0
7/8/2008,0,0
7/9/2008,0,0
7/10/2008,0,0
7/11/2008,0,0
7/12/2008,0,0
7/13/2008,0,0
7/14/2008,0,0
7/15/2008,0,0
7/16/2008,0,0
7/17/2008,0,0
7/18/2008,0,0
7/19/2008,0,0
7/20/2008,0,0
7/21/2008,0,0
7/22/2008,0,0
7/23/2008,0,0
7/24/2008,0,0
7/25/2008,0,0
7/26/2008,0,0
7/27/2008,0,0
7/28/2008,0,0
7/29/2008,0,0
7/30/2008,0,0
7/31/2008,0,0
8/1/2008,0,0
8/2/2008,0,0
8/3/2008,0,0
8/4/2008,0,0
8/5/2008,0,0
8/6/2008,4.958676914,6116.4288
8/7/2008,0,0
8/8/2008,0,0
8/9/2008,0,0
8/10/2008,0,0
8/11/2008,0,0
8/12/2008,0,0
8/13/2008,0,0
8/14/2008,0,0
8/15/2008,0,0
8/16/2008,0,0
8/17/2008,0,0
8/18/2008,0,0
8/19/2008,0,0
8/20/2008,0,0
8/21/2008,0,0
8/22/2008,0,0
8/23/2008,0,0
8/24/2008,59.50422089,73397.26639
8/25/2008,0,0
8/26/2008,0,0
8/27/2008,0,0
8/28/2008,39.6694806,48931.51092
8/29/2008,0,0
8/30/2008,0,0
8/31/2008,351.0749033,433043.8717
9/1/2008,73.3885391,90523.29521
9/2/2008,8.925633134,11009.58996
9/3/2008,0,0
9/4/2008,255.8681498,315608.2455
9/5/2008,5525.95143,6816150.57
9/6/2008,10159.34346,12531346.98
9/7/2008,12517.69203,15440322.77
9/8/2008,13368.59972,16489900.38
9/9/2008,13330.91217,16443413.55
9/10/2008,8854.218198,10921501.06
9/11/2008,2856.202603,3523068.787
9/12/2008,2187.771855,2698572.828
9/13/2008,1041.918897,1285186.121
9/14/2008,777.5218197,959057.6141
9/15/2008,415.1411102,512068.2566
9/16/2008,1610.579554,1986617.669
9/17/2008,4135.539243,5101104.945
9/18/2008,4036.369556,4978781.12
9/19/2008,10193.06445,12572941.14
9/20/2008,12817.19708,15809756.25
9/21/2008,12825.13081,15819542.35
9/22/2008,13650.25393,16837315.22
9/23/2008,13146.45257,16215886.32
9/24/2008,10542.15169,13003533.27
9/25/2008,8368.264012,10322086.29
9/26/2008,9254.876499,11415705.06
9/27/2008,9459.174373,11667702.41
9/28/2008,8657.851968,10679287.25
9/29/2008,5149.092849,6351303.048
9/30/2008,983.8031188,1213501.471
10/1/2008,1366.612529,1685689.223
10/2/2008,420.4964943,518674.0158
10/3/2008,1290.448185,1591742.028
10/4/2008,1941.821026,2395197.399
10/5/2008,3427.441498,4227680.539
10/6/2008,5855.211902,7222286.777
10/7/2008,4907.1133,6052826.114
10/8/2008,4700.831002,5798381.025
10/9/2008,2007.275672,2475934.396
10/10/2008,901.4889188,1111968.552
10/11/2008,2392.066876,2950566.65
10/12/2008,832.2649175,1026582.13
10/13/2008,265.7851642,327840.6843
10/14/2008,261.8182161,322947.5332
10/15/2008,491.9012036,606750.2966
10/16/2008,416.5292721,513780.5265
10/17/2008,951.670814,1173866.916
10/18/2008,511.7362572,631216.4386
10/19/2008,629.3562858,776298.3914
10/20/2008,1021.489063,1259986.33
10/21/2008,1454.679846,1794318.496
10/22/2008,1041.323804,1284452.085
10/23/2008,1336.464773,1648502.568
10/24/2008,1297.192015,1600060.407
10/25/2008,1201.985262,1482624.781
