date,NH4_Load_mg
7/19/2016,194751176.5
7/20/2016,196098333.3
7/21/2016,171441285.9
7/22/2016,227915640.4
7/23/2016,247983162.5
7/24/2016,189194713.2
7/25/2016,183965585
7/26/2016,268868357.4
7/27/2016,184895793.6
7/28/2016,179207364.4
7/29/2016,99865471.7
7/30/2016,91441401.99
7/31/2016,85916572.51
8/1/2016,77065792.25
8/2/2016,56352767.95
8/3/2016,52717502.7
8/4/2016,86595411.37
8/5/2016,82916353.59
8/6/2016,61657615.96
8/7/2016,77530155.78
8/8/2016,262869599.9
8/9/2016,623879094.3
8/10/2016,905826582.6
8/11/2016,708826954.4
8/12/2016,690232657.2
8/13/2016,326304086.5
8/14/2016,347133531.7
8/15/2016,371447173.1
8/16/2016,294382142.8
8/17/2016,67449805.5
8/18/2016,91703314.42
8/19/2016,85902720.6
8/20/2016,121523259.8
8/21/2016,113058723.5
8/22/2016,154676065.8
8/23/2016,171988791.1
8/24/2016,150733220.6
8/25/2016,275411432.1
8/26/2016,227758595.1
8/27/2016,279842395.4
8/28/2016,264041345.4
8/29/2016,271826727.1
8/30/2016,385848686.7
8/31/2016,475927315
9/1/2016,1296633107
9/2/2016,1376223347
9/3/2016,1222876560
9/4/2016,1229898904
9/5/2016,1322878982
9/6/2016,1402675900
9/7/2016,1063520553
9/8/2016,937924332.2
9/9/2016,790562102.9
9/10/2016,711139843.7
9/11/2016,631395113.6
9/12/2016,581629212.1
9/13/2016,583590754.9
9/14/2016,811444923.1
9/15/2016,886665561.5
9/16/2016,684873244.4
9/17/2016,708755517.8
9/18/2016,744366926
9/19/2016,800233293.8
9/20/2016,1243694617
9/21/2016,993522949.3
9/22/2016,1207001363
9/23/2016,1072718414
9/24/2016,896398186
9/25/2016,877887073.8
9/26/2016,662233686.4
9/27/2016,808899271.5
9/28/2016,893362766.9
9/29/2016,1105179390
9/30/2016,1463433699
10/1/2016,1387499855
10/2/2016,1103452832
10/3/2016,1134199498
10/4/2016,1557479504
10/5/2016,2401665998
10/6/2016,2637764462
10/7/2016,2113604625
10/8/2016,1776738759
10/9/2016,1292095902
10/10/2016,1160207618
10/11/2016,942748762.5
10/12/2016,893307144
10/13/2016,753595750.7
10/14/2016,709592758.7
10/15/2016,640063771.2
10/16/2016,629562078.1
10/17/2016,591493896.5
10/18/2016,385893425.8
10/19/2016,410370713.4
10/20/2016,534642817.9
10/21/2016,339278570.3
10/22/2016,293054363
10/23/2016,307778670.7
10/24/2016,223259389
10/25/2016,185259182.8
10/26/2016,199202036.9
10/27/2016,191227266.6
10/28/2016,152174227.4
10/29/2016,177071434.7
10/30/2016,159527504.5
10/31/2016,271956817.7
11/1/2016,236875329.8
11/2/2016,146319255.8
11/3/2016,256382502.3
11/4/2016,153303204.9
11/5/2016,177018191.9
11/6/2016,200768137.1
11/7/2016,196536374
11/8/2016,165283456.2
11/9/2016,274775962.1
11/10/2016,140397798.5
11/11/2016,152482677.6
11/12/2016,172702273.7
11/13/2016,119467968.6
11/14/2016,172215908.4
11/15/2016,113633934.4
11/16/2016,114241307.3
11/17/2016,98022839.15
11/18/2016,92725260.39
11/19/2016,104118761.7
11/20/2016,84444696.13
11/21/2016,80119868.81
11/22/2016,78944750.61
11/23/2016,93154034.98
11/24/2016,77907638.5
11/25/2016,77640243.52
11/26/2016,93018110.24
11/27/2016,75961214.65
11/28/2016,76437931.64
11/29/2016,76020869.15
11/30/2016,125912732.6
12/1/2016,216214249.3
12/2/2016,105419744.9
12/3/2016,74206034.36
12/4/2016,70411999.47
12/5/2016,164796093.1
12/6/2016,71634678.22
12/7/2016,160651852.8
12/8/2016,83773055.22
12/9/2016,75059929.42
12/10/2016,76276124.75
12/11/2016,74874746.37
12/12/2016,150419187.5
12/13/2016,156129797.1
12/14/2016,126373311
12/15/2016,113290102
12/16/2016,69694977.2
12/17/2016,68333676.36
12/18/2016,67926749.68
12/19/2016,152017881.9
12/20/2016,77434388.66
12/21/2016,84328125.54
12/22/2016,113872543
12/23/2016,87249829.56
12/24/2016,90904457.7
12/25/2016,94959390.17
12/26/2016,95132845.38
12/27/2016,89564199.15
12/28/2016,84956809.81
12/29/2016,227391379.4
12/30/2016,87138242.99
12/31/2016,84053998.99
1/1/2017,85667426.87
1/2/2017,87895532.4
1/3/2017,90632237.72
1/4/2017,193967647.9
1/5/2017,153994817
1/6/2017,94137696.01
1/7/2017,85388247.8
1/8/2017,121040747.9
1/9/2017,82918237.45
1/10/2017,54024167.08
1/11/2017,94545734.53
1/12/2017,140350576.5
1/13/2017,103561075.6
1/14/2017,93170109.79
1/15/2017,91931984.48
1/16/2017,103596423.9
1/17/2017,105867605.4
1/18/2017,102351414.1
1/19/2017,128810075.2
1/20/2017,231386650.1
1/21/2017,212904838.3
1/22/2017,223007374.7
1/23/2017,333625227.8
1/24/2017,292710491.5
1/25/2017,210355909.8
1/26/2017,185041067
1/27/2017,249051483.8
1/28/2017,93540666.93
1/29/2017,647611001.7
1/30/2017,268678457.4
1/31/2017,155773006
2/1/2017,162631657.8
2/2/2017,176816920.7
2/3/2017,155902213.9
2/4/2017,219482463.5
2/5/2017,236222128.4
2/6/2017,225359608.3
2/7/2017,211666025.1
2/8/2017,302291253.2
2/9/2017,352280699.3
2/10/2017,257756157.8
2/11/2017,156790707.5
2/12/2017,182232555.5
2/13/2017,159923566.7
2/14/2017,192206511.1
2/15/2017,272990690.7
2/16/2017,284407414.4
2/17/2017,209058831.9
2/18/2017,298874712
2/19/2017,274550354.6
2/20/2017,279819689.4
2/21/2017,297245911.3
2/22/2017,301525244.6
2/23/2017,882659514.4
2/24/2017,419147580.3
2/25/2017,405241352.4
2/26/2017,408097199.9
2/27/2017,297226413.9
2/28/2017,300340040.1
3/1/2017,315302092.2
3/2/2017,326191095.2
3/3/2017,347145995.3
3/4/2017,357992113.8
3/5/2017,357944575.1
3/6/2017,360019952.7
3/7/2017,209624375.3
3/8/2017,226486970.9
3/9/2017,215438418.6
3/10/2017,217753961.4
3/11/2017,171928133.5
3/12/2017,144402494.9
3/13/2017,111897508.9
3/14/2017,95389446.59
3/15/2017,137135120.7
3/16/2017,84266006.45
3/17/2017,62911427.76
3/18/2017,35876290.22
3/19/2017,22748643.89
3/20/2017,10313196.69
3/21/2017,14419684.62
3/22/2017,18259663.58
3/23/2017,21832646.01
3/24/2017,25138843.35
3/25/2017,28178255.6
3/26/2017,30950882.78
3/27/2017,28563732.8
3/28/2017,28990661.98
3/29/2017,29771535.5
3/30/2017,26853854.36
3/31/2017,26198809.97
4/1/2017,31916486.73
