Date,Data,fd
12/1/2008,10.6929668,0.445540283
12/2/2008,10.68076782,0.445031993
12/3/2008,10.66908855,0.444545356
12/4/2008,10.65793833,0.444080764
12/5/2008,10.64732621,0.443638592
12/6/2008,10.63726092,0.443219205
12/7/2008,10.62775089,0.442822954
12/8/2008,10.61880418,0.442450174
12/9/2008,10.61042849,0.442101187
12/10/2008,10.60263113,0.441776297
12/11/2008,10.59541897,0.44147579
12/12/2008,10.58879848,0.441199937
12/13/2008,10.58277564,0.440948985
12/14/2008,10.57735597,0.440723165
12/15/2008,10.5725445,0.440522688
12/16/2008,10.56834575,0.44034774
12/17/2008,10.56476372,0.440198488
12/18/2008,10.56180187,0.440075078
12/19/2008,10.55946312,0.43997763
12/20/2008,10.55774984,0.439906243
12/21/2008,10.55666382,0.439860993
12/22/2008,10.55620629,0.439841929
12/23/2008,10.55637791,0.43984908
12/24/2008,10.55717877,0.439882449
12/25/2008,10.55860837,0.439942015
12/26/2008,10.56066564,0.440027735
12/27/2008,10.56334894,0.440139539
12/28/2008,10.56665608,0.440277337
12/29/2008,10.57058428,0.440441012
12/30/2008,10.57513025,0.440630427
12/31/2008,10.57967622,0.440819843
1/1/2009,10.58765719,0.441152383
1/2/2009,10.59418742,0.441424476
1/3/2009,10.60131542,0.441721476
1/4/2009,10.60903522,0.442043134
1/5/2009,10.61734035,0.442389181
1/6/2009,10.62622394,0.442759331
1/7/2009,10.63567869,0.443153279
1/8/2009,10.64569689,0.443570704
1/9/2009,10.65627048,0.44401127
1/10/2009,10.66739102,0.444474626
1/11/2009,10.67904977,0.444960407
1/12/2009,10.69123767,0.445468236
1/13/2009,10.70394539,0.445997725
1/14/2009,10.71716332,0.446548472
1/15/2009,10.73088165,0.447120069
1/16/2009,10.74509035,0.447712098
1/17/2009,10.7597792,0.448324133
1/18/2009,10.77493782,0.448955743
1/19/2009,10.7905557,0.449606488
1/20/2009,10.80662223,0.450275926
1/21/2009,10.82312668,0.450963612
1/22/2009,10.84005828,0.451669095
1/23/2009,10.85740618,0.452391924
1/24/2009,10.87515953,0.453131647
1/25/2009,10.89330746,0.453887811
1/26/2009,10.91183912,0.454659963
1/27/2009,10.93074368,0.455447653
1/28/2009,10.95001034,0.456250431
1/29/2009,10.96962839,0.45706785
1/30/2009,10.98958719,0.457899466
1/31/2009,11.00987618,0.458744841
2/1/2009,11.0304849,0.459603538
2/2/2009,11.05140302,0.460475126
2/3/2009,11.07262034,0.461359181
2/4/2009,11.09412676,0.462255282
2/5/2009,11.11591238,0.463163016
2/6/2009,11.1379674,0.464081975
2/7/2009,11.16028224,0.46501176
2/8/2009,11.18284742,0.465951976
2/9/2009,11.2056537,0.466902238
