date,OP
8/7/2008,34.69047619
8/8/2008,34.89285714
8/9/2008,35.0952381
8/10/2008,35.29761905
8/11/2008,35.5
8/12/2008,35.95473422
8/13/2008,36.40946844
8/14/2008,36.86420266
8/15/2008,37.31893688
8/16/2008,37.7736711
8/17/2008,38.22840532
8/18/2008,38.68313953
8/19/2008,39.13787375
8/20/2008,39.59260797
8/21/2008,40.04734219
8/22/2008,40.50207641
8/23/2008,40.95681063
8/24/2008,41.41154485
8/25/2008,41.86627907
8/26/2008,42.32101329
8/27/2008,42.77574751
8/28/2008,43.23048173
8/29/2008,43.68521595
8/30/2008,44.13995017
8/31/2008,44.59468439
9/1/2008,45.0494186
9/2/2008,45.50415282
9/3/2008,45.95888704
9/4/2008,46.41362126
9/5/2008,46.86835548
9/6/2008,47.3230897
9/7/2008,47.77782392
9/8/2008,48.23255814
9/9/2008,48.68729236
9/10/2008,49.14202658
9/11/2008,49.5967608
9/12/2008,50.05149502
9/13/2008,50.50622924
9/14/2008,50.96096346
9/15/2008,51.41569767
9/16/2008,51.87043189
9/17/2008,52.32516611
9/18/2008,52.77990033
9/19/2008,53.23463455
9/20/2008,53.68936877
9/21/2008,54.14410299
9/22/2008,52.27906977
9/23/2008,52.80689655
9/24/2008,52.9100894
9/25/2008,53.01328225
9/26/2008,53.1164751
9/27/2008,53.21966794
9/28/2008,53.32286079
9/29/2008,53.42605364
9/30/2008,53.52924649
10/1/2008,53.63243934
10/2/2008,53.73563218
10/3/2008,53.83882503
10/4/2008,53.94201788
10/5/2008,54.04521073
10/6/2008,54.14840358
10/7/2008,54.25159642
10/8/2008,54.35478927
10/9/2008,54.45798212
10/10/2008,54.56117497
10/11/2008,54.66436782
10/12/2008,54.76756066
10/13/2008,54.87075351
10/14/2008,54.97394636
10/15/2008,55.07713921
10/16/2008,55.18033206
10/17/2008,55.2835249
10/18/2008,55.38671775
10/19/2008,55.4899106
10/20/2008,55.59310345
10/21/2008,55.97931034
10/22/2008,56.33639847
10/23/2008,56.69348659
10/24/2008,57.05057471
10/25/2008,57.40766284
10/26/2008,57.76475096
10/27/2008,58.12183908
10/28/2008,58.4789272
10/29/2008,58.83601533
10/30/2008,59.19310345
10/31/2008,59.55019157
11/1/2008,59.90727969
11/2/2008,60.26436782
11/3/2008,60.62145594
11/4/2008,60.97854406
11/5/2008,61.33563218
11/6/2008,61.69272031
11/7/2008,62.04980843
11/8/2008,62.40689655
11/9/2008,62.76398467
11/10/2008,63.1210728
11/11/2008,63.47816092
11/12/2008,63.83524904
11/13/2008,64.19233716
11/14/2008,64.54942529
11/15/2008,64.90651341
11/16/2008,65.26360153
11/17/2008,65.62068966
11/18/2008,65.95
11/19/2008,66.16428571
11/20/2008,66.37857143
11/21/2008,66.59285714
11/22/2008,66.80714286
11/23/2008,67.02142857
11/24/2008,67.23571429
11/25/2008,67.45
11/26/2008,67.66428571
11/27/2008,67.87857143
11/28/2008,68.09285714
11/29/2008,68.30714286
11/30/2008,68.52142857
12/1/2008,68.73571429
12/2/2008,68.95
12/3/2008,69.16428571
12/4/2008,69.37857143
12/5/2008,69.59285714
12/6/2008,69.80714286
12/7/2008,70.02142857
12/8/2008,70.23571429
12/9/2008,70.45
12/10/2008,70.66428571
12/11/2008,70.87857143
12/12/2008,71.09285714
12/13/2008,71.30714286
12/14/2008,71.52142857
12/15/2008,71.73571429
12/16/2008,71.77857143
12/17/2008,71.8
12/18/2008,71.82142857
12/19/2008,71.84285714
12/20/2008,71.86428571
12/21/2008,71.88571429
12/22/2008,71.90714286
12/23/2008,71.92857143
12/24/2008,71.95
12/25/2008,71.97142857
12/26/2008,71.99285714
12/27/2008,72.01428571
12/28/2008,72.03571429
12/29/2008,72.05714286
12/30/2008,72.07857143
12/31/2008,72.1
1/1/2009,72.12142857
1/2/2009,72.14285714
1/3/2009,72.16428571
1/4/2009,72.18571429
1/5/2009,72.20714286
1/6/2009,72.22857143
1/7/2009,72.25
1/8/2009,72.27142857
1/9/2009,72.29285714
1/10/2009,72.31428571
1/11/2009,72.33571429
1/12/2009,72.35714286
1/13/2009,72.40714286
1/14/2009,72.48761905
1/15/2009,72.56809524
1/16/2009,72.64857143
1/17/2009,72.72904762
1/18/2009,72.80952381
1/19/2009,72.89
1/20/2009,72.97047619
1/21/2009,73.05095238
1/22/2009,73.13142857
1/23/2009,73.21190476
1/24/2009,73.29238095
1/25/2009,73.37285714
1/26/2009,73.45333333
1/27/2009,73.53380952
1/28/2009,73.61428571
1/29/2009,73.6947619
1/30/2009,73.7752381
1/31/2009,73.85571429
2/1/2009,73.93619048
2/2/2009,74.01666667
2/3/2009,74.09714286
2/4/2009,74.17761905
2/5/2009,74.25809524
2/6/2009,74.33857143
2/7/2009,74.41904762
2/8/2009,74.49952381
2/9/2009,74.58
2/10/2009,74.66047619
2/11/2009,74.74095238
2/12/2009,74.82142857
2/13/2009,74.71318681
2/14/2009,74.60494505
2/15/2009,74.4967033
2/16/2009,74.38846154
2/17/2009,74.28021978
2/18/2009,74.17197802
2/19/2009,74.06373626
2/20/2009,73.95549451
2/21/2009,73.84725275
2/22/2009,73.73901099
2/23/2009,73.63076923
2/24/2009,73.52252747
2/25/2009,73.41428571
2/26/2009,73.30604396
2/27/2009,73.1978022
2/28/2009,73.08956044
3/1/2009,72.98131868
3/2/2009,72.87307692
3/3/2009,72.76483516
3/4/2009,72.65659341
3/5/2009,72.54835165
3/6/2009,72.44010989
3/7/2009,72.33186813
3/8/2009,72.22362637
3/9/2009,72.11538462
3/10/2009,71.72156863
3/11/2009,71.30436174
3/12/2009,70.88715486
3/13/2009,70.46994798
3/14/2009,70.0527411
3/15/2009,69.63553421
3/16/2009,69.21832733
3/17/2009,68.80112045
3/18/2009,68.38391357
3/19/2009,67.96670668
3/20/2009,67.5494998
3/21/2009,67.13229292
3/22/2009,66.71508603
3/23/2009,66.29787915
3/24/2009,65.88067227
3/25/2009,65.46346539
3/26/2009,65.0462585
3/27/2009,64.62905162
3/28/2009,64.21184474
3/29/2009,63.79463786
3/30/2009,63.37743097
3/31/2009,62.96022409
4/1/2009,62.54301721
4/2/2009,62.12581032
