,date,NO,NH4,DIN
1143,2011-01-26,303.45257452574526,8.951729751729669,312.4043042774749
1144,2011-01-27,302.9024390243902,9.009442409442366,311.9118814338326
1145,2011-01-28,302.3523035230352,9.067155067155,311.4194585901902
1146,2011-01-29,301.8021680216802,9.124867724867668,310.92703574654786
1147,2011-01-30,301.2520325203252,9.182580382580333,310.43461290290554
1148,2011-01-31,300.70189701897016,9.240293040292967,309.9421900592631
1149,2011-02-01,300.15176151761517,9.298005698005632,309.4497672156208
1150,2011-02-02,299.6016260162601,9.355718355718299,308.9573443719784
1151,2011-02-03,299.0514905149051,9.413431013430966,308.46492152833605
1152,2011-02-04,298.5013550135501,9.4711436711436,307.9724986846937
1153,2011-02-05,297.9512195121951,9.528856328856298,307.4800758410514
1154,2011-02-06,297.40108401084,9.586568986568933,306.98765299740893
1155,2011-02-07,296.850948509485,9.6442816442816,306.4952301537666
1156,2011-02-08,296.3008130081301,9.701994301994267,306.00280731012435
1157,2011-02-09,295.75067750677505,9.759706959706934,305.510384466482
1158,2011-02-10,295.20054200542006,9.817419617419565,305.0179616228396
1159,2011-02-11,294.65040650406496,9.875132275132268,304.52553877919723
1160,2011-02-12,294.10027100271,9.9328449328449,304.03311593555486
1161,2011-02-13,293.550135501355,9.990557590557533,303.54069309191254
1162,2011-02-14,293.0,10.048270248270233,303.0482702482702
1163,2011-02-15,289.8647423136474,10.105982905982867,299.97072521963025
1164,2011-02-16,286.7294846272948,10.1636955636955,296.89318019099034
1165,2011-02-17,283.59422694094224,10.221408221408133,293.81563516235036
1166,2011-02-18,280.45896925458965,10.279120879120832,290.7380901337105
1167,2011-02-19,277.3237115682372,10.336833536833469,287.66054510507064
1168,2011-02-20,274.1884538818846,10.394546194546134,284.5830000764307
1169,2011-02-21,271.053196195532,10.4522588522588,281.5054550477908
1170,2011-02-22,267.9179385091794,10.509971509971468,278.4279100191509
1171,2011-02-23,264.7826808228268,10.567684167684101,275.3503649905109
1172,2011-02-24,261.64742313647423,10.6253968253968,272.27281996187105
1173,2011-02-25,258.51216545012164,10.683109483109432,269.1952749332311
1174,2011-02-26,255.37690776376908,10.740822140822067,266.11772990459116
1175,2011-02-27,252.2416500774165,10.798534798534765,263.04018487595124
1176,2011-02-28,249.1063923910639,10.8562474562474,259.9626398473113
1177,2011-03-01,245.97113470471132,10.913960113960066,256.8850948186714
1178,2011-03-02,242.83587701835876,10.971672771672733,253.8075497900315
1179,2011-03-03,239.70061933200617,11.0293854293854,250.73000476139157
1180,2011-03-04,236.56536164565355,11.087098087098031,247.6524597327516
1181,2011-03-05,233.43010395930105,11.144810744810732,244.5749147041118
1182,2011-03-06,230.2948462729484,11.202523402523369,241.49736967547176
1183,2011-03-07,227.15958858659587,11.260236060236034,238.4198246468319
1184,2011-03-08,224.0243309002433,11.3179487179487,235.342279618192
1185,2011-03-09,222.37724764108955,11.252032520325168,233.62928016141473
