date,Mean_NO,Max,Min
6/30/2017,264.631158,341.4126984,32.61016949
7/31/2017,171.1799686,262.5061444,29.50847458
8/31/2017,137.1692806,346.3428571,26.3559322
9/30/2017,272.1109751,435.0620779,60.39137134
10/31/2017,396.6817414,468.5696481,289.6634897
11/30/2017,477.8014399,525.5785714,310.3678571
12/31/2017,518.740726,568.9307148,450.1637016
1/31/2018,546.4761601,584.6545386,490.0609527
2/28/2018,554.3748542,566.557398,546.0232143
3/31/2018,526.1904213,554.0841014,488.4953917
4/30/2018,495.8367347,561.8607143,318.8928571
5/31/2018,448.9068466,520.5714286,235.8571429
6/30/2018,307.2955782,390.8380952,263.3571429
7/31/2018,114.0589026,215.6263736,47.91781874
8/31/2018,56.57900863,138.978022,32.28801843
9/30/2018,98.07555672,146.4404762,77.08021978
10/31/2018,117.5572838,188.4884793,36.66666667
11/30/2018,120.191859,182.8076923,77.58163265
12/31/2018,201.0528962,243.7447491,122.5393022
1/31/2019,254.6003286,334.8866359,147.4489796
2/28/2019,237.8653335,317.8510204,105.9081633
3/31/2019,253.6957092,351.0220174,71.98216332
4/30/2019,267.2138962,345.8476716,64.28176796
5/31/2019,219.9750402,278.4777718,59.22651934
6/30/2019,84.51047165,165.8739496,29.34593838
7/31/2019,67.07072798,111.1774194,23.03388452
8/31/2019,95.35116854,201.2201139,30.31336406
9/30/2019,161.1738702,287.2058824,37.63222836
10/31/2019,228.3574321,375.8571429,27.66666667
11/30/2019,257.080839,369.4571429,68.70039683
12/31/2019,285.7723283,414.5714286,136.3582949
1/31/2020,301.9856308,445.9466073,110.172043
2/29/2020,277.6298419,397.8668252,103.2244898
3/31/2020,270.5463494,430.6589862,43.05376344
4/30/2020,247.3940476,378.8809524,20.43571429
5/31/2020,214.503241,297.3661822,14.42857143
6/30/2020,89.02903192,159.4569231,10.07142857
7/31/2020,70.67245479,128.3041475,7.175386284
8/31/2020,86.83334624,194.7741935,16.28341014
9/30/2020,93.93355804,212.5934066,19.8
10/31/2020,156.8142908,266.4441687,64.21848739
11/30/2020,265.3446878,483.7547619,96.56428571
12/31/2020,312.5360933,371.2899036,214.3609831
1/31/2021,359.6285275,413.9124424,294.6436252
2/28/2021,311.386785,377.5184729,209.3700211
3/31/2021,348.856878,386.8551477,301.2704239
4/30/2021,290.2151927,354.4804233,196.8624339
5/31/2021,207.7513715,267.3847926,73.20430108
6/30/2021,166.7064059,221.6238095,84.88888889
7/31/2021,71.15527675,83.20046083,48.5875576
8/31/2021,67.12268024,82.88387097,33.39452125
9/30/2021,54.52727135,90.30952381,20.56613757
10/31/2021,66.09607929,93.26728111,40.75115207
11/30/2021,119.0272562,196.8985714,39.1031746
12/31/2021,169.7770024,222.9714286,10.49923195
1/31/2022,217.1384267,288.6258065,53.71747607
2/28/2022,237.5754741,317.194898,144.6043956
3/31/2022,253.1234491,337.6105991,114.0322581
4/30/2022,285.6445548,399.0357143,149.577381
5/31/2022,208.5073712,323.7630917,46.36041672
6/30/2022,177.4329174,276.8981818,11.7016129
7/31/2022,88.34797188,154.8709677,12.87593416
8/31/2022,88.41386079,181,29.77777778
9/30/2022,106.220178,181,49.57142857
10/31/2022,235.1483612,382.7695853,64.45381232
11/30/2022,349.3384354,453.1190476,177.4107143
12/31/2022,417.3113891,470.8986175,298.6497696
1/31/2023,440.8681698,481.2304147,362.4769585
2/28/2023,455.0382653,497.75,399.9196429
3/31/2023,410.6821922,441.5,378.6532258
4/30/2023,373.6090136,413.6607143,278.3035714
5/31/2023,326.6491348,411.968894,90.47942725
6/30/2023,133.6838327,187.2440476,69.42346939
7/31/2023,57.12572756,133.8469388,13.53776242
8/31/2023,80.23777979,194.0699885,14.64285714
9/30/2023,120.4735119,204.7738095,8.416666667
10/31/2023,143.0347844,217.0046083,98.65898618
11/30/2023,155.5103997,194.9952381,82.98660714
12/31/2023,194.6934377,316.2217543,41.77429287
