date,Mean_NH4,NH4
3/21/2021,0.00973167,9.731670446
3/22/2021,0.009868481,9.868480726
3/23/2021,0.010005291,10.00529101
3/24/2021,0.010142101,10.14210128
3/25/2021,0.010278912,10.27891156
3/26/2021,0.010415722,10.41572184
3/27/2021,0.010552532,10.55253212
3/28/2021,0.010689342,10.6893424
3/29/2021,0.010826153,10.82615268
3/30/2021,0.010962963,10.96296296
3/31/2021,0.011099773,11.09977324
4/1/2021,0.011236584,11.23658352
4/2/2021,0.011373394,11.3733938
4/3/2021,0.011510204,11.51020408
4/4/2021,0.011647014,11.64701436
4/5/2021,0.011783825,11.78382464
4/6/2021,0.011920635,11.92063492
4/7/2021,0.01197449,11.9744898
4/8/2021,0.011882653,11.88265306
4/9/2021,0.011790816,11.79081633
4/10/2021,0.01169898,11.69897959
4/11/2021,0.011607143,11.60714286
4/12/2021,0.011515306,11.51530612
4/13/2021,0.011423469,11.42346939
4/14/2021,0.011331633,11.33163265
4/15/2021,0.011239796,11.23979592
4/16/2021,0.011147959,11.14795918
4/17/2021,0.011056122,11.05612245
4/18/2021,0.010964286,10.96428571
4/19/2021,0.010872449,10.87244898
4/20/2021,0.010780612,10.78061224
4/21/2021,0.010688776,10.68877551
4/22/2021,0.010596939,10.59693878
4/23/2021,0.010505102,10.50510204
4/24/2021,0.010413265,10.41326531
4/25/2021,0.010321429,10.32142857
4/26/2021,0.010229592,10.22959184
4/27/2021,0.010137755,10.1377551
4/28/2021,0.010045918,10.04591837
4/29/2021,0.009954082,9.954081633
4/30/2021,0.009862245,9.862244898
5/1/2021,0.009770408,9.770408163
5/2/2021,0.009678571,9.678571429
5/3/2021,0.009586735,9.586734694
5/4/2021,0.009494898,9.494897959
5/5/2021,0.00944898,9.448979592
5/6/2021,0.009806122,9.806122449
5/7/2021,0.010163265,10.16326531
5/8/2021,0.010520408,10.52040816
5/9/2021,0.010877551,10.87755102
5/10/2021,0.011234694,11.23469388
5/11/2021,0.011591837,11.59183673
5/12/2021,0.01194898,11.94897959
5/13/2021,0.012306122,12.30612245
5/14/2021,0.012663265,12.66326531
5/15/2021,0.013020408,13.02040816
5/16/2021,0.013377551,13.37755102
5/17/2021,0.013734694,13.73469388
5/18/2021,0.014091837,14.09183673
5/19/2021,0.014421769,14.42176871
5/20/2021,0.014197279,14.19727891
5/21/2021,0.013972789,13.97278912
5/22/2021,0.013748299,13.74829932
5/23/2021,0.01352381,13.52380952
5/24/2021,0.01329932,13.29931973
5/25/2021,0.01307483,13.07482993
5/26/2021,0.01285034,12.85034014
5/27/2021,0.01262585,12.62585034
5/28/2021,0.012401361,12.40136054
5/29/2021,0.012176871,12.17687075
5/30/2021,0.011952381,11.95238095
5/31/2021,0.011727891,11.72789116
6/1/2021,0.011503401,11.50340136
6/2/2021,0.011278912,11.27891156
6/3/2021,0.011054422,11.05442177
6/4/2021,0.010829932,10.82993197
6/5/2021,0.010605442,10.60544218
6/6/2021,0.010380952,10.38095238
6/7/2021,0.010156463,10.15646259
6/8/2021,0.009931973,9.931972789
6/9/2021,0.009612245,9.612244898
6/10/2021,0.009535714,9.535714286
6/11/2021,0.009459184,9.459183673
6/12/2021,0.009382653,9.382653061
6/13/2021,0.009306122,9.306122449
6/14/2021,0.009229592,9.229591837
6/15/2021,0.009153061,9.153061224
6/16/2021,0.009076531,9.076530612
6/17/2021,0.009,9
6/18/2021,0.008923469,8.923469388
6/19/2021,0.008846939,8.846938776
6/20/2021,0.008770408,8.770408163
6/21/2021,0.008693878,8.693877551
6/22/2021,0.008617347,8.617346939
6/23/2021,0.0086875,8.6875
6/24/2021,0.008890306,8.890306122
6/25/2021,0.009093112,9.093112245
6/26/2021,0.009295918,9.295918367
6/27/2021,0.009498724,9.49872449
6/28/2021,0.009701531,9.701530612
6/29/2021,0.009904337,9.904336735
6/30/2021,0.010107143,10.10714286
7/1/2021,0.010309949,10.30994898
7/2/2021,0.010512755,10.5127551
7/3/2021,0.010715561,10.71556122
7/4/2021,0.010918367,10.91836735
7/5/2021,0.011121173,11.12117347
7/6/2021,0.01132398,11.32397959
7/7/2021,0.011526786,11.52678571
7/8/2021,0.011469388,11.46938776
7/9/2021,0.011629252,11.6292517
7/10/2021,0.011789116,11.78911565
7/11/2021,0.01194898,11.94897959
7/12/2021,0.012108844,12.10884354
7/13/2021,0.012268707,12.26870748
7/14/2021,0.012428571,12.42857143
7/15/2021,0.012588435,12.58843537
7/16/2021,0.012748299,12.74829932
7/17/2021,0.012908163,12.90816327
7/18/2021,0.013068027,13.06802721
7/19/2021,0.013227891,13.22789116
7/20/2021,0.013387755,13.3877551
7/21/2021,0.01344898,13.44897959
7/22/2021,0.013918367,13.91836735
7/23/2021,0.014387755,14.3877551
7/24/2021,0.014857143,14.85714286
