date,S65E_NH4
10/13/2008,19.25
10/14/2008,17.5
10/15/2008,15.75
10/16/2008,14
10/17/2008,12.25
10/18/2008,10.5
10/19/2008,8.75
10/20/2008,7
10/21/2008,7.208333
10/22/2008,7.416667
10/23/2008,7.625
10/24/2008,7.833333
10/25/2008,8.041667
10/26/2008,8.25
10/27/2008,8.458333
10/28/2008,8.666667
10/29/2008,8.875
10/30/2008,9.083333
10/31/2008,9.291667
11/1/2008,9.5
11/2/2008,9.708333
11/3/2008,9.916667
11/4/2008,10.125
11/5/2008,10.333333
11/6/2008,10.541667
11/7/2008,10.75
11/8/2008,10.958333
11/9/2008,11.166667
11/10/2008,11.375
11/11/2008,11.583333
11/12/2008,11.791667
11/13/2008,12
11/14/2008,13.5
11/15/2008,15
11/16/2008,16.5
11/17/2008,18
11/18/2008,19.5
11/19/2008,21
11/20/2008,21.8
11/21/2008,22.6
11/22/2008,23.4
11/23/2008,24.2
11/24/2008,25
11/25/2008,24.03125
11/26/2008,23.0625
11/27/2008,22.09375
11/28/2008,21.125
11/29/2008,20.15625
11/30/2008,19.1875
12/1/2008,18.21875
12/2/2008,17.25
12/3/2008,16.28125
12/4/2008,15.3125
12/5/2008,14.34375
12/6/2008,13.375
12/7/2008,12.40625
12/8/2008,11.4375
12/9/2008,10.46875
12/10/2008,9.5
12/11/2008,9.307692
12/12/2008,9.115385
12/13/2008,8.923077
12/14/2008,8.730769
12/15/2008,8.538462
12/16/2008,8.346154
12/17/2008,8.153846
12/18/2008,7.961538
12/19/2008,7.769231
12/20/2008,7.576923
12/21/2008,7.384615
12/22/2008,7.192308
12/23/2008,7
12/24/2008,7.25
12/25/2008,7.5
12/26/2008,7.75
12/27/2008,8
12/28/2008,8.25
12/29/2008,8.5
12/30/2008,8.75
12/31/2008,9
1/1/2009,9.25
1/2/2009,9.5
1/3/2009,9.75
1/4/2009,10
1/5/2009,10.25
1/6/2009,10.5
1/7/2009,10.75
1/8/2009,11
1/9/2009,11.25
1/10/2009,11.5
1/11/2009,11.75
1/12/2009,12
1/13/2009,12.25
1/14/2009,12.5
1/15/2009,13
1/16/2009,13.5
1/17/2009,14
1/18/2009,14.5
1/19/2009,15
1/20/2009,15.5
1/21/2009,16
1/22/2009,16.5
1/23/2009,17
1/24/2009,17.5
1/25/2009,18
1/26/2009,18.5
1/27/2009,19
1/28/2009,21
1/29/2009,23
1/30/2009,25
1/31/2009,27
2/1/2009,29
2/2/2009,31
2/3/2009,30.133333
2/4/2009,29.266667
2/5/2009,28.4
2/6/2009,27.533333
2/7/2009,26.666667
2/8/2009,25.8
2/9/2009,24.933333
2/10/2009,24.066667
2/11/2009,23.2
2/12/2009,22.333333
2/13/2009,21.466667
2/14/2009,20.6
2/15/2009,19.733333
2/16/2009,18.866667
2/17/2009,18
2/18/2009,19
2/19/2009,18.107692
2/20/2009,17.215385
2/21/2009,16.323077
2/22/2009,15.430769
2/23/2009,14.538462
2/24/2009,13.646154
2/25/2009,12.753846
2/26/2009,11.861538
2/27/2009,10.969231
2/28/2009,10.076923
3/1/2009,9.184615
3/2/2009,8.292308
3/3/2009,7.4
3/4/2009,7.514286
3/5/2009,7.628571
3/6/2009,7.742857
3/7/2009,7.857143
3/8/2009,7.971429
3/9/2009,8.085714
3/10/2009,8.2
3/11/2009,8.314286
3/12/2009,8.428571
3/13/2009,8.542857
3/14/2009,8.657143
3/15/2009,8.771429
3/16/2009,8.885714
3/17/2009,9
3/18/2009,9.178571
3/19/2009,9.357143
3/20/2009,9.535714
3/21/2009,9.714286
3/22/2009,9.892857
3/23/2009,10.071429
3/24/2009,10.25
3/25/2009,10.428571
3/26/2009,10.607143
3/27/2009,10.785714
3/28/2009,10.964286
3/29/2009,11.142857
3/30/2009,11.321429
3/31/2009,11.5
4/1/2009,11.714286
4/2/2009,11.928571
4/3/2009,12.142857
4/4/2009,12.357143
4/5/2009,12.571429
4/6/2009,12.785714
4/7/2009,13
4/8/2009,13.214286
4/9/2009,13.428571
4/10/2009,13.642857
4/11/2009,13.857143
4/12/2009,14.071429
4/13/2009,14.285714
4/14/2009,14.5
4/15/2009,15.333333
4/16/2009,16.166667
4/17/2009,17
4/18/2009,17.833333
4/19/2009,18.666667
4/20/2009,19.5
4/21/2009,20.333333
4/22/2009,21.166667
4/23/2009,22
4/24/2009,22.833333
4/25/2009,23.666667
4/26/2009,24.5
4/27/2009,25.333333
4/28/2009,26.166667
4/29/2009,27
4/30/2009,25.321429
5/1/2009,23.642857
5/2/2009,21.964286
5/3/2009,20.285714
5/4/2009,18.607143
5/5/2009,16.928571
5/6/2009,15.25
5/7/2009,13.571429
5/8/2009,11.892857
5/9/2009,10.214286
5/10/2009,8.535714
5/11/2009,6.857143
5/12/2009,5.178571
5/13/2009,3.5
5/14/2009,5.714286
5/15/2009,7.928571
5/16/2009,10.142857
5/17/2009,12.357143
5/18/2009,14.571429
5/19/2009,16.785714
5/20/2009,19
5/21/2009,20.571429
5/22/2009,22.142857
5/23/2009,23.714286
5/24/2009,25.285714
5/25/2009,26.857143
5/26/2009,28.428571
5/27/2009,30
5/28/2009,29.416667
5/29/2009,28.833333
5/30/2009,28.25
5/31/2009,27.666667
6/1/2009,27.083333
6/2/2009,26.5
6/3/2009,25.511905
6/4/2009,24.52381
6/5/2009,23.535714
6/6/2009,22.547619
6/7/2009,21.559524
6/8/2009,20.571429
6/9/2009,19.583334
6/10/2009,18.595238
6/11/2009,17.607143
6/12/2009,16.619048
6/13/2009,15.630953
6/14/2009,14.642857
6/15/2009,13.654762
6/16/2009,12.666667
6/17/2009,14.730159
6/18/2009,16.793651
6/19/2009,18.857143
6/20/2009,20.920635
6/21/2009,22.984127
6/22/2009,25.047619
6/23/2009,27.111111
6/24/2009,29.174603
6/25/2009,31.238095
6/26/2009,33.301587
6/27/2009,35.36508
6/28/2009,37.428572
6/29/2009,39.492064
6/30/2009,41.555556
7/1/2009,43.619048
7/2/2009,45.68254
7/3/2009,47.746032
7/4/2009,49.809524
7/5/2009,51.873016
7/6/2009,53.936508
7/7/2009,56
7/8/2009,62.538462
7/9/2009,69.076923
7/10/2009,75.615385
7/11/2009,82.153846
7/12/2009,88.692308
7/13/2009,95.230769
7/14/2009,101.769231
7/15/2009,108.307692
7/16/2009,114.846154
7/17/2009,121.384615
7/18/2009,127.923077
7/19/2009,134.461538
7/20/2009,141
7/21/2009,136.266667
7/22/2009,131.533333
7/23/2009,126.8
7/24/2009,122.066667
7/25/2009,117.333333
7/26/2009,112.6
7/27/2009,107.866667
7/28/2009,103.133333
7/29/2009,98.4
7/30/2009,93.666667
7/31/2009,88.933333
8/1/2009,84.2
8/2/2009,79.466667
8/3/2009,74.733333
8/4/2009,70
8/5/2009,69.428571
8/6/2009,68.857143
8/7/2009,68.285714
8/8/2009,67.714286
8/9/2009,67.142857
8/10/2009,66.571429
8/11/2009,66
8/12/2009,65.428571
8/13/2009,64.857143
8/14/2009,64.285714
8/15/2009,63.714286
8/16/2009,63.142857
8/17/2009,62.571429
8/18/2009,62
8/19/2009,74.125
8/20/2009,86.25
8/21/2009,98.375
8/22/2009,110.5
8/23/2009,122.625
8/24/2009,134.75
8/25/2009,146.875
8/26/2009,159
8/27/2009,150
8/28/2009,141
8/29/2009,132
8/30/2009,123
8/31/2009,114
9/1/2009,105
9/2/2009,96
9/3/2009,87
9/4/2009,78
9/5/2009,69
9/6/2009,60
9/7/2009,51
9/8/2009,42
9/9/2009,41.942857
9/10/2009,41.885714
9/11/2009,41.828571
9/12/2009,41.771429
9/13/2009,41.714286
9/14/2009,41.657143
9/15/2009,41.6
9/16/2009,41.542857
9/17/2009,41.485714
9/18/2009,41.428571
9/19/2009,41.371429
9/20/2009,41.314286
9/21/2009,41.257143
9/22/2009,41.2
9/23/2009,41.82
9/24/2009,42.44
9/25/2009,43.06
9/26/2009,43.68
9/27/2009,44.3
9/28/2009,44.92
9/29/2009,45.54
9/30/2009,46.16
10/1/2009,46.78
10/2/2009,47.4
10/3/2009,48.02
10/4/2009,48.64
10/5/2009,49.26
10/6/2009,49.88
10/7/2009,50.5
10/8/2009,48.607143
10/9/2009,46.714286
10/10/2009,44.821429
10/11/2009,42.928571
10/12/2009,41.035714
10/13/2009,39.142857
10/14/2009,37.25
10/15/2009,35.357143
10/16/2009,33.464286
10/17/2009,31.571429
10/18/2009,29.678571
10/19/2009,27.785714
10/20/2009,25.892857
10/21/2009,24
10/22/2009,23.894737
10/23/2009,23.789474
10/24/2009,23.684211
10/25/2009,23.578947
10/26/2009,23.473684
10/27/2009,23.368421
10/28/2009,23.263158
10/29/2009,23.157895
10/30/2009,23.052632
10/31/2009,22.947368
11/1/2009,22.842105
11/2/2009,22.736842
11/3/2009,22.631579
11/4/2009,22.526316
11/5/2009,22.421053
11/6/2009,22.315789
11/7/2009,22.210526
11/8/2009,22.105263
11/9/2009,22
11/10/2009,20.666667
11/11/2009,19.333333
11/12/2009,18
11/13/2009,16.666667
11/14/2009,15.333333
11/15/2009,14
11/16/2009,12.666667
11/17/2009,11.333333
11/18/2009,10
11/19/2009,9.833333
11/20/2009,9.666667
11/21/2009,9.5
11/22/2009,9.333333
11/23/2009,9.166667
11/24/2009,9
11/25/2009,8.833333
11/26/2009,8.666667
11/27/2009,8.5
11/28/2009,8.333333
11/29/2009,8.166667
11/30/2009,8
12/1/2009,8.1875
12/2/2009,8.375
12/3/2009,8.5625
12/4/2009,8.75
12/5/2009,8.9375
12/6/2009,9.125
12/7/2009,9.3125
12/8/2009,9.5
12/9/2009,9.6875
12/10/2009,9.875
12/11/2009,10.0625
12/12/2009,10.25
12/13/2009,10.4375
12/14/2009,10.625
12/15/2009,10.8125
12/16/2009,11
12/17/2009,10.833333
12/18/2009,10.666667
12/19/2009,10.5
12/20/2009,10.333333
12/21/2009,10.166667
12/22/2009,10
12/23/2009,9.833333
12/24/2009,9.666667
12/25/2009,9.5
12/26/2009,9.333333
12/27/2009,9.166667
12/28/2009,9
12/29/2009,10.785714
12/30/2009,12.571429
12/31/2009,14.357143
1/1/2010,16.142857
1/2/2010,17.928571
1/3/2010,19.714286
1/4/2010,21.5
1/5/2010,23.285714
1/6/2010,25.071429
1/7/2010,26.857143
1/8/2010,28.642857
1/9/2010,30.428571
1/10/2010,32.214286
1/11/2010,34
1/12/2010,37.142857
1/13/2010,40.285714
1/14/2010,43.428571
1/15/2010,46.571429
1/16/2010,49.714286
1/17/2010,52.857143
1/18/2010,56
1/19/2010,59.142857
1/20/2010,62.285714
1/21/2010,65.428571
1/22/2010,68.571429
1/23/2010,71.714286
1/24/2010,74.857143
1/25/2010,78
1/26/2010,80
1/27/2010,82
1/28/2010,84
1/29/2010,86
1/30/2010,88
1/31/2010,90
2/1/2010,92
2/2/2010,94
2/3/2010,96
2/4/2010,98
2/5/2010,100
2/6/2010,102
2/7/2010,104
2/8/2010,106
2/9/2010,102.111111
2/10/2010,98.222222
2/11/2010,94.333333
2/12/2010,90.444444
2/13/2010,86.555556
2/14/2010,82.666667
2/15/2010,78.777778
2/16/2010,74.888889
2/17/2010,71
2/18/2010,63.714286
2/19/2010,56.428571
2/20/2010,49.142857
2/21/2010,41.857143
2/22/2010,34.571429
2/23/2010,27.285714
2/24/2010,20
2/25/2010,21.610526
2/26/2010,23.221053
2/27/2010,24.831579
2/28/2010,26.442105
3/1/2010,28.052632
3/2/2010,29.663158
3/3/2010,31.273684
3/4/2010,32.884211
3/5/2010,34.494737
3/6/2010,36.105263
3/7/2010,37.715789
3/8/2010,39.326316
3/9/2010,40.936842
3/10/2010,42.547368
3/11/2010,44.157895
3/12/2010,45.768421
3/13/2010,47.378947
3/14/2010,48.989474
3/15/2010,50.6
3/16/2010,52.7
3/17/2010,54.8
3/18/2010,56.9
3/19/2010,59
3/20/2010,61.1
3/21/2010,63.2
3/22/2010,65.3
3/23/2010,67.4
3/24/2010,69.5
3/25/2010,71.6
3/26/2010,73.7
3/27/2010,75.8
3/28/2010,77.9
3/29/2010,80
3/30/2010,76.607143
3/31/2010,73.214286
4/1/2010,69.821429
4/2/2010,66.428571
4/3/2010,63.035714
4/4/2010,59.642857
