,date,NO,NH4,DIN
4399,2019-12-26,323.29523809523806,11.033333333333301,334.32857142857137
4400,2019-12-27,323.0314285714286,11.05238095238092,334.0838095238095
4401,2019-12-28,322.767619047619,11.07142857142852,333.8390476190475
4402,2019-12-29,322.50380952380954,11.09047619047614,333.59428571428566
4403,2019-12-30,322.2399999999999,11.10952380952376,333.34952380952365
4404,2019-12-31,321.9761904761905,11.12857142857138,333.10476190476186
4405,2020-01-01,321.7123809523809,11.147619047619,332.8599999999999
4406,2020-01-02,321.44857142857137,11.16666666666662,332.615238095238
4407,2020-01-03,321.18476190476184,11.18571428571424,332.3704761904761
4408,2020-01-04,320.9209523809524,11.204761904761838,332.1257142857142
4409,2020-01-05,320.65714285714284,11.22380952380948,331.88095238095235
4410,2020-01-06,320.39333333333326,11.2428571428571,331.63619047619034
4411,2020-01-07,320.1295238095238,11.2619047619047,331.3914285714285
4412,2020-01-08,319.86571428571426,11.28095238095232,331.1466666666666
4413,2020-01-09,319.6019047619047,11.299999999999939,330.90190476190463
4414,2020-01-10,319.3380952380952,11.319047619047579,330.6571428571428
4415,2020-01-11,319.0742857142856,11.33809523809518,330.41238095238083
4416,2020-01-12,318.81047619047615,11.3571428571428,330.1676190476189
4417,2020-01-13,318.5466666666666,11.37619047619042,329.922857142857
4418,2020-01-14,318.28285714285715,11.39523809523806,329.67809523809524
4419,2020-01-15,318.9931034482758,11.32413793103446,330.31724137931025
4420,2020-01-16,316.7576354679803,11.19113300492606,327.9487684729064
4421,2020-01-17,314.52216748768467,11.058128078817699,325.58029556650234
4422,2020-01-18,312.2866995073892,10.925123152709322,323.2118226600985
4423,2020-01-19,310.05123152709365,10.79211822660096,320.8433497536946
4424,2020-01-20,307.81576354679805,10.65911330049256,318.4748768472906
4425,2020-01-21,305.58029556650246,10.52610837438418,316.10640394088665
4426,2020-01-22,303.3448275862069,10.39310344827584,313.73793103448276
4427,2020-01-23,301.10935960591127,10.26009852216744,311.3694581280787
4428,2020-01-24,298.87389162561567,10.1270935960591,309.0009852216748
4429,2020-01-25,296.6384236453202,9.9940886699507,306.6325123152709
4430,2020-01-26,294.40295566502465,9.8610837438423,304.26403940886695
4431,2020-01-27,292.167487684729,9.72807881773396,301.89556650246294
4432,2020-01-28,289.93201970443346,9.59507389162556,299.527093596059
4433,2020-01-29,287.6965517241379,9.46206896551722,297.15862068965515
4434,2020-01-30,285.4610837438424,9.32906403940882,294.7901477832512
4435,2020-01-31,283.2256157635468,9.19605911330048,292.42167487684725
4436,2020-02-01,280.9901477832512,9.06305418719208,290.0532019704433
4437,2020-02-02,278.75467980295565,8.930049261083681,287.68472906403935
4438,2020-02-03,276.5192118226601,8.79704433497534,285.31625615763545
4439,2020-02-04,274.2837438423645,8.664039408866941,282.94778325123144
4440,2020-02-05,272.0482758620689,8.531034482758601,280.57931034482755
4441,2020-02-06,274.5042364532019,8.44945812807878,282.9536945812807
4442,2020-02-07,276.96019704433496,8.36788177339896,285.3280788177339
4443,2020-02-08,279.416157635468,8.286305418719161,287.70246305418715
4444,2020-02-09,281.87211822660095,8.204729064039359,290.07684729064033
4445,2020-02-10,284.3280788177339,8.12315270935956,292.45123152709346
4446,2020-02-11,286.784039408867,8.04157635467974,294.82561576354675
4447,2020-02-12,289.23999999999995,7.96,297.19999999999993
4448,2020-02-13,291.9438624338623,8.17518518518516,300.1190476190475
4449,2020-02-14,294.64772486772483,8.39037037037034,303.0380952380952
4450,2020-02-15,297.3515873015873,8.6055555555555,305.9571428571428
4451,2020-02-16,300.0554497354497,8.820740740740701,308.8761904761904
4452,2020-02-17,302.7593121693121,9.03592592592588,311.795238095238
4453,2020-02-18,305.4631746031746,9.251111111111062,314.71428571428567
4454,2020-02-19,308.167037037037,9.466296296296282,317.63333333333327
4455,2020-02-20,310.8708994708995,9.68148148148144,320.55238095238093
4456,2020-02-21,313.57476190476183,9.89666666666664,323.4714285714285
4457,2020-02-22,316.2786243386243,10.111851851851801,326.3904761904761
4458,2020-02-23,318.98248677248677,10.327037037037002,329.30952380952374
4459,2020-02-24,321.6863492063491,10.54222222222216,332.2285714285713
4460,2020-02-25,324.39021164021165,10.75740740740734,335.147619047619
4461,2020-02-26,327.0940740740741,10.97259259259256,338.06666666666666
4462,2020-02-27,329.7979365079365,11.18777777777774,340.98571428571427
4463,2020-02-28,332.50179894179894,11.40296296296292,343.90476190476187
4464,2020-02-29,335.20566137566135,11.61814814814808,346.8238095238094
4465,2020-03-01,337.90952380952376,11.833333333333302,349.7428571428571
4466,2020-03-02,340.6133862433862,12.04851851851846,352.6619047619046
4467,2020-03-03,343.31724867724864,12.26370370370364,355.5809523809523
4468,2020-03-04,346.02111111111105,12.478888888888859,358.4999999999999
4469,2020-03-05,348.7249735449735,12.69407407407402,361.41904761904755
4470,2020-03-06,351.42883597883593,12.90925925925922,364.33809523809515
4471,2020-03-07,354.1326984126984,13.12444444444438,367.2571428571428
4472,2020-03-08,356.8365608465608,13.33962962962958,370.1761904761904
4473,2020-03-09,359.5404232804232,13.554814814814742,373.09523809523796
4474,2020-03-10,362.2442857142857,13.769999999999959,376.0142857142857
4475,2020-03-11,364.97857142857146,13.64285714285714,378.6214285714286
4476,2020-03-12,364.32142857142856,13.421428571428539,377.7428571428571
4477,2020-03-13,363.66428571428565,13.199999999999958,376.8642857142856
4478,2020-03-14,363.00714285714287,12.9785714285714,375.98571428571427
4479,2020-03-15,362.35,12.757142857142822,375.10714285714283
4480,2020-03-16,361.6928571428571,12.535714285714262,374.2285714285714
4481,2020-03-17,361.0357142857143,12.314285714285699,373.34999999999997
4482,2020-03-18,360.37857142857143,12.092857142857142,372.4714285714286
4483,2020-03-19,359.7214285714286,11.871428571428538,371.59285714285716
4484,2020-03-20,359.06428571428575,11.649999999999961,370.7142857142857
4485,2020-03-21,358.4071428571428,11.4285714285714,369.8357142857142
4486,2020-03-22,357.75,11.20714285714282,368.9571428571428
4487,2020-03-23,357.09285714285716,10.985714285714261,368.0785714285714
4488,2020-03-24,356.4357142857143,10.764285714285698,367.2
4489,2020-03-25,355.7785714285714,10.542857142857141,366.32142857142856
4490,2020-03-26,355.12142857142857,10.321428571428541,365.4428571428571
4491,2020-03-27,354.46428571428567,10.09999999999996,364.56428571428563
4492,2020-03-28,353.8071428571429,9.8785714285714,363.68571428571425
4493,2020-03-29,353.15,9.65714285714282,362.8071428571428
4494,2020-03-30,352.49285714285713,9.43571428571426,361.9285714285714
4495,2020-03-31,351.83571428571435,9.2142857142857,361.05000000000007
4496,2020-04-01,351.17857142857144,8.992857142857138,360.1714285714286
4497,2020-04-02,350.52142857142854,8.77142857142854,359.2928571428571
4498,2020-04-03,349.8642857142857,8.54999999999996,358.41428571428565
4499,2020-04-04,349.2071428571428,8.328571428571399,357.5357142857142
4500,2020-04-05,348.55,8.107142857142822,356.65714285714284
4501,2020-04-06,347.8928571428571,7.8857142857142595,355.77857142857135
4502,2020-04-07,347.23571428571427,7.6642857142856995,354.9
4503,2020-04-08,346.0214285714286,7.699999999999981,353.7214285714286
4504,2020-04-09,343.61428571428576,7.8785714285714,351.49285714285713
4505,2020-04-10,341.20714285714286,8.05714285714282,349.2642857142857
4506,2020-04-11,338.8,8.23571428571426,347.0357142857143
4507,2020-04-12,336.39285714285705,8.414285714285679,344.8071428571427
4508,2020-04-13,333.98571428571427,8.5928571428571,342.57857142857137
4509,2020-04-14,331.57857142857137,8.77142857142854,340.3499999999999
4510,2020-04-15,329.1714285714286,8.94999999999998,338.12142857142857
4511,2020-04-16,326.76428571428573,9.1285714285714,335.8928571428571
4512,2020-04-17,324.35714285714283,9.307142857142821,333.66428571428565
4513,2020-04-18,321.94999999999993,9.485714285714261,331.4357142857142
4514,2020-04-19,319.54285714285714,9.664285714285658,329.2071428571428
4515,2020-04-20,317.1357142857143,9.84285714285712,326.9785714285714
4516,2020-04-21,314.7285714285714,10.02142857142854,324.74999999999994
4517,2020-04-22,312.32142857142856,10.19999999999998,322.52142857142854
4518,2020-04-23,309.9142857142857,10.3785714285714,320.2928571428571
4519,2020-04-24,307.50714285714287,10.557142857142798,318.0642857142857
4520,2020-04-25,305.09999999999997,10.735714285714241,315.83571428571423
4521,2020-04-26,302.6928571428572,10.914285714285658,313.60714285714283
4522,2020-04-27,300.2857142857143,11.092857142857122,311.3785714285714
4523,2020-04-28,297.8785714285713,11.27142857142854,309.14999999999986
4524,2020-04-29,295.4714285714285,11.44999999999998,306.92142857142846
4525,2020-04-30,293.0642857142857,11.6285714285714,304.69285714285706
4526,2020-05-01,290.65714285714284,11.807142857142818,302.46428571428567
4527,2020-05-02,288.24999999999994,11.985714285714241,300.2357142857142
4528,2020-05-03,285.8428571428571,12.16428571428566,298.00714285714275
4529,2020-05-04,283.4357142857142,12.342857142857099,295.7785714285713
4530,2020-05-05,281.0285714285714,12.521428571428558,293.54999999999995
4531,2020-05-06,282.3066666666667,12.54666666666664,294.8533333333333
4532,2020-05-07,283.94666666666666,12.45333333333328,296.3999999999999
4533,2020-05-08,285.5866666666666,12.359999999999962,297.94666666666654
4534,2020-05-09,287.22666666666663,12.266666666666639,299.4933333333333
4535,2020-05-10,288.8666666666667,12.17333333333328,301.03999999999996
4536,2020-05-11,290.50666666666666,12.07999999999998,302.58666666666664
4537,2020-05-12,292.14666666666665,11.98666666666666,304.1333333333333
4538,2020-05-13,293.78666666666663,11.89333333333328,305.6799999999999
4539,2020-05-14,295.4266666666666,11.799999999999981,307.2266666666666
4540,2020-05-15,297.06666666666666,11.70666666666666,308.7733333333333
4541,2020-05-16,298.7066666666666,11.61333333333326,310.3199999999999
4542,2020-05-17,300.34666666666664,11.51999999999998,311.8666666666666
4543,2020-05-18,301.9866666666667,11.426666666666659,313.41333333333336
4544,2020-05-19,303.6266666666666,11.333333333333261,314.95999999999987
4545,2020-05-20,305.26666666666665,11.23999999999998,316.50666666666666
4546,2020-05-21,296.55384615384617,11.1230769230769,307.67692307692306
4547,2020-05-22,287.38461538461536,11.153846153846102,298.53846153846143
4548,2020-05-23,278.2153846153846,11.18461538461534,289.3999999999999
4549,2020-05-24,269.0461538461538,11.21538461538456,280.26153846153835
4550,2020-05-25,259.876923076923,11.246153846153797,271.1230769230768
4551,2020-05-26,250.7076923076923,11.276923076923039,261.9846153846153
4552,2020-05-27,241.5384615384615,11.307692307692259,252.84615384615375
4553,2020-05-28,232.3692307692307,11.33846153846148,243.70769230769218
4554,2020-05-29,223.2,11.369230769230718,234.5692307692307
4555,2020-05-30,214.03076923076915,11.39999999999994,225.4307692307691
4556,2020-05-31,204.86153846153837,11.43076923076918,216.29230769230756
4557,2020-06-01,195.69230769230768,11.461538461538419,207.1538461538461
4558,2020-06-02,186.52307692307693,11.492307692307659,198.0153846153846
4559,2020-06-03,182.5371428571428,11.619047619047603,194.1561904761904
4560,2020-06-04,176.84380952380948,11.580952380952342,188.42476190476182
4561,2020-06-05,171.15047619047616,11.542857142857102,182.69333333333327
4562,2020-06-06,165.4571428571428,11.504761904761862,176.96190476190466
4563,2020-06-07,159.76380952380947,11.46666666666662,171.23047619047608
4564,2020-06-08,154.07047619047614,11.428571428571361,165.4990476190475
4565,2020-06-09,148.37714285714281,11.39047619047616,159.76761904761898
4566,2020-06-10,142.6838095238095,11.352380952380921,154.0361904761904
4567,2020-06-11,136.99047619047616,11.314285714285681,148.30476190476185
4568,2020-06-12,131.29714285714283,11.27619047619044,142.57333333333327
4569,2020-06-13,125.60380952380945,11.23809523809518,136.84190476190463
4570,2020-06-14,119.91047619047615,11.199999999999982,131.11047619047613
4571,2020-06-15,114.21714285714282,11.16190476190472,125.37904761904754
4572,2020-06-16,108.52380952380949,11.12380952380948,119.64761904761897
4573,2020-06-17,102.83047619047616,11.085714285714259,113.91619047619042
4574,2020-06-18,97.13714285714283,11.047619047619001,108.18476190476184
4575,2020-06-19,91.44380952380945,11.009523809523799,102.45333333333325
4576,2020-06-20,85.75047619047612,10.97142857142854,96.72190476190465
4577,2020-06-21,80.0571428571428,10.9333333333333,90.99047619047609
4578,2020-06-22,74.36380952380946,10.89523809523806,85.25904761904752
4579,2020-06-23,68.67047619047617,10.85714285714282,79.52761904761898
4580,2020-06-24,64.89142857142856,11.085714285714278,75.97714285714284
4581,2020-06-25,64.07428571428568,11.857142857142799,75.93142857142848
4582,2020-06-26,63.25714285714282,12.628571428571378,75.8857142857142
4583,2020-06-27,62.43999999999996,13.39999999999998,75.83999999999995
4584,2020-06-28,61.62285714285709,14.17142857142852,75.7942857142856
4585,2020-06-29,60.80571428571426,14.94285714285706,75.74857142857132
4586,2020-06-30,59.988571428571404,15.71428571428568,75.70285714285708
4587,2020-07-01,59.17142857142856,16.48571428571428,75.65714285714284
4588,2020-07-02,58.35428571428568,17.2571428571428,75.61142857142848
4589,2020-07-03,57.53714285714282,18.0285714285714,75.56571428571422
4590,2020-07-04,56.71999999999997,18.799999999999958,75.51999999999992
4591,2020-07-05,55.9028571428571,19.5714285714285,75.4742857142856
4592,2020-07-06,55.08571428571422,20.342857142857078,75.4285714285713
4593,2020-07-07,54.268571428571406,21.114285714285703,75.3828571428571
4594,2020-07-08,55.79999999999998,21.37142857142854,77.17142857142852
4595,2020-07-09,61.3428571428571,20.6714285714285,82.01428571428559
4596,2020-07-10,66.88571428571422,19.971428571428522,86.85714285714273
4597,2020-07-11,72.4285714285714,19.271428571428515,91.69999999999992
4598,2020-07-12,77.97142857142852,18.57142857142852,96.54285714285703
4599,2020-07-13,83.51428571428565,17.87142857142854,101.38571428571419
4600,2020-07-14,89.05714285714281,17.17142857142856,106.22857142857137
4601,2020-07-15,94.59999999999995,16.47142857142852,111.07142857142847
4602,2020-07-16,100.14285714285708,15.7714285714285,115.91428571428558
