date,Load_mg
12/3/2010,80247.67792
12/4/2010,570957.3352
12/5/2010,524790.4547
12/6/2010,1782672.806
12/7/2010,6480097.855
12/8/2010,994239.3705
12/9/2010,9075082.674
12/10/2010,106708.3334
12/11/2010,106971.8108
12/12/2010,110792.2326
12/13/2010,844181.4823
12/14/2010,106181.3787
12/15/2010,105390.9466
12/16/2010,18076391.68
12/17/2010,8173041.562
12/18/2010,11860038.44
12/19/2010,18062163.91
12/20/2010,13046635.11
12/21/2010,482585.1445
12/22/2010,8020633.079
12/23/2010,19690964.54
12/24/2010,7981952.72
12/25/2010,1852404.072
12/26/2010,187568.6458
12/27/2010,178973.4396
12/28/2010,4744179.107
12/29/2010,13872488.96
12/30/2010,2846249.415
12/31/2010,6394841.135
1/1/2011,12711707.33
1/2/2011,8200858.135
1/3/2011,3140070.262
1/4/2011,11872834.52
1/5/2011,4796117.331
1/6/2011,16222051.35
1/7/2011,8408522.18
1/8/2011,14135946.52
1/9/2011,831351.5213
1/10/2011,3857099.746
1/11/2011,3443139.163
1/12/2011,3435212.259
1/13/2011,4730160.23
1/14/2011,1428824.585
1/15/2011,3941433.205
1/16/2011,3361448.006
1/17/2011,5011345.157
1/18/2011,4658597.895
1/19/2011,5095678.616
1/20/2011,5909947.889
1/21/2011,2377190.664
1/22/2011,8422776.702
1/23/2011,1295388.354
1/24/2011,1038424.525
1/25/2011,10546465.44
1/26/2011,19781667.75
1/27/2011,17396604.35
1/28/2011,7870353.924
1/29/2011,12119945.55
1/30/2011,16974816.47
1/31/2011,12359255.59
2/1/2011,8967209.663
2/2/2011,4826132.398
2/3/2011,4577892.358
2/4/2011,10306839.09
2/5/2011,7245914.447
2/6/2011,8090283.59
2/7/2011,14531190.8
2/8/2011,10455195.94
2/9/2011,12717299.69
2/10/2011,13850553.48
2/11/2011,18972704.05
2/12/2011,22910222.73
2/13/2011,7213972.656
2/14/2011,12787271.75
2/15/2011,9946308.226
2/16/2011,11588939.05
2/17/2011,12003388.94
2/18/2011,9626296.144
2/19/2011,15675698.84
2/20/2011,12658581.88
2/21/2011,6843561.118
2/22/2011,18214265.63
2/23/2011,4398453.517
2/24/2011,9019277.45
2/25/2011,6705084.942
2/26/2011,8482752.753
2/27/2011,4643479.223
2/28/2011,2641462.764
3/1/2011,5553516.783
3/2/2011,8040295.391
3/3/2011,2790228.538
3/4/2011,2713105.486
3/5/2011,2921910.224
3/6/2011,4190968.765
3/7/2011,2602792.89
3/8/2011,1554037.991
3/9/2011,3092128.97
3/10/2011,3779450.098
3/11/2011,3219833.223
3/12/2011,2562348.666
3/13/2011,1655900.581
3/14/2011,2218009.468
3/15/2011,2860806.417
3/16/2011,1542158.119
3/17/2011,2755724.832
3/18/2011,2277327.275
3/19/2011,3253069.369
3/20/2011,1996992.824
3/21/2011,1914806.526
3/22/2011,1188434.557
3/23/2011,1035390.771
3/24/2011,1351970.657
3/25/2011,1751370.619
3/26/2011,3895605.35
3/27/2011,2574636.301
3/28/2011,17647911.35
3/29/2011,18027053.67
3/30/2011,38622620.2
3/31/2011,38424293.8
4/1/2011,44765202.48
4/2/2011,43027336.95
4/3/2011,39915600.43
4/4/2011,44093163.12
4/5/2011,59172512.67
4/6/2011,49395381.65
4/7/2011,54803669.71
4/8/2011,61898808.69
4/9/2011,53639470.23
4/10/2011,65762972.05
4/11/2011,70072055.66
4/12/2011,65407114.14
4/13/2011,62450064.11
4/14/2011,58661260.52
4/15/2011,66145616.47
4/16/2011,62689400.36
4/17/2011,45098216.36
