date,OP
8/3/2008,21.48201058
8/4/2008,21.9037037
8/5/2008,22.32539683
8/6/2008,22.74708995
8/7/2008,23.16878307
8/8/2008,23.59047619
8/9/2008,24.01216931
8/10/2008,24.43386243
8/11/2008,24.85555556
8/12/2008,25.17699028
8/13/2008,25.498425
8/14/2008,25.81985973
8/15/2008,26.14129445
8/16/2008,26.46272917
8/17/2008,26.7841639
8/18/2008,27.10559862
8/19/2008,27.42703335
8/20/2008,27.74846807
8/21/2008,28.06990279
8/22/2008,28.39133752
8/23/2008,28.71277224
8/24/2008,29.03420696
8/25/2008,29.35564169
8/26/2008,29.67707641
8/27/2008,29.99851114
8/28/2008,30.31994586
8/29/2008,30.64138058
8/30/2008,30.96281531
8/31/2008,31.28425003
9/1/2008,31.60568475
9/2/2008,31.92711948
9/3/2008,32.2485542
9/4/2008,32.56998893
9/5/2008,32.89142365
9/6/2008,33.21285837
9/7/2008,33.5342931
9/8/2008,33.85572782
9/9/2008,34.17716254
9/10/2008,34.49859727
9/11/2008,34.82003199
9/12/2008,35.14146672
9/13/2008,35.46290144
9/14/2008,35.78433616
9/15/2008,36.10577089
9/16/2008,36.42720561
9/17/2008,36.74864033
9/18/2008,37.07007506
9/19/2008,37.39150978
9/20/2008,37.71294451
9/21/2008,38.03437923
9/22/2008,38.35581395
9/23/2008,38.54597701
9/24/2008,39.22158365
9/25/2008,39.89719029
9/26/2008,40.57279693
9/27/2008,41.24840358
9/28/2008,41.92401022
9/29/2008,42.59961686
9/30/2008,43.2752235
10/1/2008,43.95083014
10/2/2008,44.62643678
10/3/2008,45.30204342
10/4/2008,45.97765006
10/5/2008,46.6532567
10/6/2008,47.32886335
10/7/2008,48.00446999
10/8/2008,48.68007663
10/9/2008,49.35568327
10/10/2008,50.03128991
10/11/2008,50.70689655
10/12/2008,51.38250319
10/13/2008,52.05810983
10/14/2008,52.73371648
10/15/2008,53.40932312
10/16/2008,54.08492976
10/17/2008,54.7605364
10/18/2008,55.43614304
10/19/2008,56.11174968
10/20/2008,56.78735632
10/21/2008,56.40804598
10/22/2008,56.07535121
10/23/2008,55.74265645
10/24/2008,55.40996169
10/25/2008,55.07726692
10/26/2008,54.74457216
10/27/2008,54.41187739
10/28/2008,54.07918263
10/29/2008,53.74648787
10/30/2008,53.4137931
10/31/2008,53.08109834
11/1/2008,52.74840358
11/2/2008,52.41570881
11/3/2008,52.08301405
11/4/2008,51.75031928
11/5/2008,51.41762452
11/6/2008,51.08492976
11/7/2008,50.75223499
11/8/2008,50.41954023
11/9/2008,50.08684547
11/10/2008,49.7541507
11/11/2008,49.42145594
11/12/2008,49.08876117
11/13/2008,48.75606641
11/14/2008,48.42337165
11/15/2008,48.09067688
11/16/2008,47.75798212
11/17/2008,47.42528736
11/18/2008,46.80952381
11/19/2008,46.6547619
11/20/2008,46.5
11/21/2008,46.3452381
11/22/2008,46.19047619
11/23/2008,46.03571429
11/24/2008,45.88095238
11/25/2008,45.72619048
11/26/2008,45.57142857
11/27/2008,45.41666667
11/28/2008,45.26190476
11/29/2008,45.10714286
11/30/2008,44.95238095
12/1/2008,44.79761905
12/2/2008,44.64285714
12/3/2008,44.48809524
12/4/2008,44.33333333
12/5/2008,44.17857143
12/6/2008,44.02380952
12/7/2008,43.86904762
12/8/2008,43.71428571
12/9/2008,43.55952381
12/10/2008,43.4047619
12/11/2008,43.25
12/12/2008,43.0952381
12/13/2008,42.94047619
12/14/2008,42.78571429
12/15/2008,42.63095238
12/16/2008,43.0952381
12/17/2008,43.58333333
12/18/2008,44.07142857
12/19/2008,44.55952381
12/20/2008,45.04761905
12/21/2008,45.53571429
12/22/2008,46.02380952
12/23/2008,46.51190476
12/24/2008,47
12/25/2008,47.48809524
12/26/2008,47.97619048
12/27/2008,48.46428571
12/28/2008,48.95238095
12/29/2008,49.44047619
12/30/2008,49.92857143
12/31/2008,50.41666667
1/1/2009,50.9047619
1/2/2009,51.39285714
1/3/2009,51.88095238
1/4/2009,52.36904762
1/5/2009,52.85714286
1/6/2009,53.3452381
1/7/2009,53.83333333
1/8/2009,54.32142857
1/9/2009,54.80952381
1/10/2009,55.29761905
1/11/2009,55.78571429
1/12/2009,56.27380952
1/13/2009,56.00714286
1/14/2009,56.19206349
1/15/2009,56.37698413
1/16/2009,56.56190476
1/17/2009,56.7468254
1/18/2009,56.93174603
1/19/2009,57.11666667
1/20/2009,57.3015873
1/21/2009,57.48650794
1/22/2009,57.67142857
1/23/2009,57.85634921
1/24/2009,58.04126984
1/25/2009,58.22619048
1/26/2009,58.41111111
1/27/2009,58.59603175
1/28/2009,58.78095238
1/29/2009,58.96587302
1/30/2009,59.15079365
1/31/2009,59.33571429
2/1/2009,59.52063492
2/2/2009,59.70555556
2/3/2009,59.89047619
2/4/2009,60.07539683
2/5/2009,60.26031746
2/6/2009,60.4452381
2/7/2009,60.63015873
2/8/2009,60.81507937
2/9/2009,61
2/10/2009,61.11706349
2/11/2009,61.23412698
2/12/2009,61.35119048
2/13/2009,60.2456044
2/14/2009,59.14001832
2/15/2009,58.03443223
2/16/2009,56.92884615
2/17/2009,55.82326007
2/18/2009,54.71767399
2/19/2009,53.61208791
2/20/2009,52.50650183
2/21/2009,51.40091575
2/22/2009,50.29532967
2/23/2009,49.18974359
2/24/2009,48.08415751
2/25/2009,46.97857143
2/26/2009,45.87298535
2/27/2009,44.76739927
2/28/2009,43.66181319
3/1/2009,42.55622711
3/2/2009,41.45064103
3/3/2009,40.34505495
3/4/2009,39.23946886
3/5/2009,38.13388278
3/6/2009,37.0282967
3/7/2009,35.92271062
3/8/2009,34.81712454
3/9/2009,33.71153846
3/10/2009,33.03594771
3/11/2009,32.89502468
3/12/2009,32.75410164
3/13/2009,32.6131786
3/14/2009,32.47225557
3/15/2009,32.33133253
3/16/2009,32.1904095
3/17/2009,32.04948646
3/18/2009,31.90856343
3/19/2009,31.76764039
3/20/2009,31.62671735
3/21/2009,31.48579432
3/22/2009,31.34487128
3/23/2009,31.20394825
3/24/2009,31.06302521
3/25/2009,30.92210217
3/26/2009,30.78117914
3/27/2009,30.6402561
3/28/2009,30.49933307
3/29/2009,30.35841003
3/30/2009,30.21748699
3/31/2009,30.07656396
4/1/2009,29.93564092
4/2/2009,29.79471789
4/3/2009,29.65379485
4/4/2009,29.51287182
4/5/2009,29.37194878
4/6/2009,29.23102574
4/7/2009,29.09010271
4/8/2009,28.94917967
4/9/2009,28.80825664
4/10/2009,28.6673336
4/11/2009,28.52641056
4/12/2009,28.38548753
4/13/2009,28.24456449
4/14/2009,28.10364146
4/15/2009,27.96271842
4/16/2009,27.82179538
