date,Load_mg
8/3/2008,126502035.8
8/4/2008,113739796.6
8/5/2008,123438148.4
8/6/2008,116886614.7
8/7/2008,98762367.12
8/8/2008,118558391.5
8/9/2008,103379102.9
8/10/2008,108686642.7
8/11/2008,79749175.92
8/12/2008,62009401.6
8/13/2008,62089364.25
8/14/2008,51162298.51
8/15/2008,55186516.49
8/16/2008,49551778.99
8/17/2008,47038179.51
8/18/2008,66244438.55
8/19/2008,329530044.5
8/20/2008,656914760.2
8/21/2008,693759237.4
8/22/2008,725402989.9
8/23/2008,636805597.3
8/24/2008,585880504.1
8/25/2008,494334824.1
8/26/2008,451225108.5
8/27/2008,370198966
8/28/2008,380276378.7
8/29/2008,357989803.1
8/30/2008,315450844.1
8/31/2008,296005344.9
9/1/2008,259643394.4
9/2/2008,225213621.3
9/3/2008,198441403.8
9/4/2008,178113790
9/5/2008,186487066.8
9/6/2008,205221481.9
9/7/2008,150288807.3
9/8/2008,124054469.4
9/9/2008,131363662.7
9/10/2008,109365743.6
9/11/2008,98547855.04
9/12/2008,99295002.52
9/13/2008,103498953.3
9/14/2008,79509595.01
9/15/2008,86026990.9
9/16/2008,92771649.21
9/17/2008,89329867.89
9/18/2008,87723434.16
9/19/2008,55035435.56
9/20/2008,61008908.78
9/21/2008,68683828.5
9/22/2008,66284190.51
9/23/2008,67149456.88
9/24/2008,54230375.91
9/25/2008,38396888.66
9/26/2008,24012723.07
9/27/2008,17216684.06
9/28/2008,17083565.01
9/29/2008,15158529.47
9/30/2008,38944414.79
10/1/2008,35414275.4
10/2/2008,26088874.85
10/3/2008,27005756.12
10/4/2008,21969573.85
10/5/2008,11969997.56
10/6/2008,16303208.77
10/7/2008,25553441.78
10/8/2008,13735643.07
10/9/2008,17896715.85
10/10/2008,30521487.8
10/11/2008,30541918.45
10/12/2008,19652607.39
10/13/2008,14452472.23
10/14/2008,11457329.01
10/15/2008,9151913.882
10/16/2008,8486716.204
10/17/2008,5878224.544
10/18/2008,4940509.806
10/19/2008,3522097.147
10/20/2008,3890055.119
10/21/2008,4180661.4
10/22/2008,3581419.614
10/23/2008,2646057.083
10/24/2008,2655663.97
10/25/2008,2943360.867
10/26/2008,3967807.289
10/27/2008,3041399.225
10/28/2008,3135225.399
10/29/2008,2738855.694
10/30/2008,2382801.477
10/31/2008,1899941.25
11/1/2008,316709.2045
11/2/2008,2041589.818
11/3/2008,879266.6304
11/4/2008,1003964.508
11/5/2008,3202498.07
11/6/2008,1022637.996
11/7/2008,2384383.596
11/8/2008,1209542.096
11/9/2008,2453629.839
11/10/2008,1357855.545
11/11/2008,924887.1089
11/12/2008,2575448.913
11/13/2008,2610863.094
11/14/2008,4415550.632
11/15/2008,2728877.002
11/16/2008,2669116.058
11/17/2008,3078918.574
11/18/2008,1541389.301
11/19/2008,2459993.901
11/20/2008,1437185.201
11/21/2008,2941007.335
11/22/2008,2346237.035
11/23/2008,2139649.308
11/24/2008,1576573.282
11/25/2008,1776155.74
11/26/2008,1670534.016
11/27/2008,1460498.563
11/28/2008,2810968.508
11/29/2008,1279292.946
11/30/2008,4104986.78
12/1/2008,1492169.484
12/2/2008,2625542.547
12/3/2008,1906420.597
12/4/2008,2955720.15
12/5/2008,2790863.774
12/6/2008,993994.7129
12/7/2008,1139416.105
12/8/2008,1003829.947
12/9/2008,1199776.182
12/10/2008,590750.1314
12/11/2008,2023811.056
12/12/2008,3478023.567
12/13/2008,6217002.531
12/14/2008,4136963.522
12/15/2008,1784090.879
12/16/2008,1407035.007
12/17/2008,3062368.26
12/18/2008,2002476.917
12/19/2008,2861687.901
12/20/2008,2225032.485
12/21/2008,1370135.001
12/22/2008,1874377.986
12/23/2008,2010351.126
12/24/2008,2154738.006
12/25/2008,2308822.222
12/26/2008,2465304.082
12/27/2008,2218996.201
12/28/2008,2435183.401
12/29/2008,1981943.048
12/30/2008,1189997.665
12/31/2008,1414537.696
1/1/2009,1501427.826
1/2/2009,1322119.417
1/3/2009,1427968.283
1/4/2009,844402.1874
1/5/2009,1122501.093
1/6/2009,2132567.583
1/7/2009,1724969.209
1/8/2009,1337368.254
1/9/2009,1041701.824
1/10/2009,1500076.649
1/11/2009,1075214.349
1/12/2009,1516506.516
1/13/2009,1529502.281
1/14/2009,1825940.495
1/15/2009,253794.5733
1/16/2009,1102088.185
1/17/2009,857957.5847
1/18/2009,973647.6732
1/19/2009,2301681.815
1/20/2009,1202887.097
1/21/2009,1467380.733
1/22/2009,1392346.143
1/23/2009,1272021.676
1/24/2009,1631108.392
1/25/2009,1698864.42
1/26/2009,3634223.301
1/27/2009,1630030.958
1/28/2009,2477243.371
1/29/2009,1782362.907
1/30/2009,2739626.365
1/31/2009,2897903.492
2/1/2009,960484.7833
2/2/2009,1848241.031
2/3/2009,2802123.322
2/4/2009,513585.1387
2/5/2009,37770.23328
2/6/2009,23748.0933
2/7/2009,6692338.284
2/8/2009,5601033.475
2/9/2009,3120310.258
2/10/2009,4001129.648
2/11/2009,2941919.018
2/12/2009,3489273.422
2/13/2009,6874790.841
2/14/2009,5827625.516
2/15/2009,8954355.586
2/16/2009,2601430.731
2/17/2009,4376312.008
2/18/2009,10387846.6
2/19/2009,6213365.199
2/20/2009,4788992.332
2/21/2009,6572982.446
2/22/2009,3488811.486
2/23/2009,4422202.078
