date,DIN
8/4/2008,96.766843
8/5/2008,96.96198029
8/6/2008,97.15711757
8/7/2008,97.352255
8/8/2008,97.54739229
8/9/2008,97.74252943
8/10/2008,97.93766671
8/11/2008,98.13280429
8/12/2008,101.5005014
8/13/2008,104.8681983
8/14/2008,108.2358956
8/15/2008,111.6035926
8/16/2008,114.9712893
8/17/2008,118.3389864
8/18/2008,121.7066836
8/19/2008,125.0743804
8/20/2008,128.4420776
8/21/2008,131.8097747
8/22/2008,135.1774716
8/23/2008,138.5451689
8/24/2008,141.9128654
8/25/2008,145.2805629
8/26/2008,148.6482596
8/27/2008,152.0159569
8/28/2008,155.3836539
8/29/2008,158.7513509
8/30/2008,162.1190481
8/31/2008,165.486745
9/1/2008,168.854442
9/2/2008,172.222139
9/3/2008,175.5898357
9/4/2008,178.957533
9/5/2008,182.3252301
9/6/2008,185.692927
9/7/2008,189.0606241
9/8/2008,192.4283213
9/9/2008,195.7960183
9/10/2008,199.1637154
9/11/2008,202.5314123
9/12/2008,205.8991093
9/13/2008,209.2668063
9/14/2008,212.6345034
9/15/2008,216.0022006
9/16/2008,219.3698974
9/17/2008,222.7375946
9/18/2008,226.1052916
9/19/2008,229.4729886
9/20/2008,232.8406854
9/21/2008,236.2083826
9/22/2008,239.5760796
9/23/2008,243.8965516
9/24/2008,247.8963726
9/25/2008,251.8961933
9/26/2008,255.8960141
9/27/2008,259.8958349
9/28/2008,263.8956557
9/29/2008,267.8954764
9/30/2008,271.8952976
10/1/2008,275.8951181
10/2/2008,279.8949389
10/3/2008,283.8947597
10/4/2008,287.8945806
10/5/2008,291.8944013
10/6/2008,295.8942221
10/7/2008,299.8940431
10/8/2008,303.893864
10/9/2008,307.8936847
10/10/2008,311.8935057
10/11/2008,315.8933264
10/12/2008,319.8931471
10/13/2008,323.8929677
10/14/2008,327.8927889
10/15/2008,331.8926096
10/16/2008,335.8924304
10/17/2008,339.8922513
10/18/2008,343.892072
10/19/2008,347.8918927
10/20/2008,351.8917137
10/21/2008,353.0911329
10/22/2008,353.2596091
10/23/2008,353.4280853
10/24/2008,353.5965616
10/25/2008,353.7650376
10/26/2008,353.9335139
10/27/2008,354.1019899
10/28/2008,354.2704661
10/29/2008,354.4389423
10/30/2008,354.6074181
10/31/2008,354.7758944
11/1/2008,354.9443706
11/2/2008,355.1128469
11/3/2008,355.281323
11/4/2008,355.4497994
11/5/2008,355.6182756
11/6/2008,355.7867519
11/7/2008,355.9552281
11/8/2008,356.1237043
11/9/2008,356.2921801
11/10/2008,356.4606563
11/11/2008,356.6291326
11/12/2008,356.7976086
11/13/2008,356.9660849
11/14/2008,357.134561
11/15/2008,357.3030371
11/16/2008,357.4715133
11/17/2008,357.6399896
11/18/2008,358.1591836
11/19/2008,359.6229593
11/20/2008,361.0867347
11/21/2008,362.5505103
11/22/2008,364.0142856
11/23/2008,365.4780613
11/24/2008,366.9418367
11/25/2008,368.4056121
11/26/2008,369.8693879
11/27/2008,371.3331633
11/28/2008,372.7969389
11/29/2008,374.2607141
11/30/2008,375.7244899
12/1/2008,377.1882653
12/2/2008,378.6520407
12/3/2008,380.1158164
12/4/2008,381.5795919
12/5/2008,383.0433674
12/6/2008,384.5071427
12/7/2008,385.9709184
12/8/2008,387.4346939
12/9/2008,388.8984693
12/10/2008,390.362245
12/11/2008,391.8260204
12/12/2008,393.289796
12/13/2008,394.7535713
12/14/2008,396.217347
12/15/2008,397.6811224
12/16/2008,399.5153063
12/17/2008,399.1836734
12/18/2008,398.8520413
12/19/2008,398.5204081
12/20/2008,398.1887753
12/21/2008,397.8571424
12/22/2008,397.5255103
12/23/2008,397.1938777
12/24/2008,396.8622449
12/25/2008,396.5306127
12/26/2008,396.1989796
12/27/2008,395.8673467
12/28/2008,395.5357139
12/29/2008,395.2040817
12/30/2008,394.8724491
12/31/2008,394.5408163
1/1/2009,394.2091841
1/2/2009,393.877551
1/3/2009,393.5459181
1/4/2009,393.2142853
1/5/2009,392.8826531
1/6/2009,392.5510206
1/7/2009,392.2193877
1/8/2009,391.8877556
1/9/2009,391.5561224
1/10/2009,391.2244896
1/11/2009,390.8928567
1/12/2009,390.5612246
1/13/2009,388.0071427
1/14/2009,389.4904763
1/15/2009,390.9738093
1/16/2009,392.457143
1/17/2009,393.9404763
1/18/2009,395.4238096
1/19/2009,396.9071429
1/20/2009,398.3904761
1/21/2009,399.8738094
1/22/2009,401.3571427
1/23/2009,402.8404764
1/24/2009,404.3238094
1/25/2009,405.807143
1/26/2009,407.2904763
1/27/2009,408.7738093
1/28/2009,410.2571429
1/29/2009,411.7404761
1/30/2009,413.2238096
1/31/2009,414.7071429
2/1/2009,416.1904764
2/2/2009,417.6738094
2/3/2009,419.1571427
2/4/2009,420.6404763
2/5/2009,422.1238093
2/6/2009,423.607143
2/7/2009,425.0904763
2/8/2009,426.5738096
2/9/2009,428.0571429
2/10/2009,429.6129253
2/11/2009,431.1687073
2/12/2009,432.7244897
