date,Data,NO
2/18/2018,0.1195,119.5
2/19/2018,0.12175,121.75
2/20/2018,0.124,124
2/21/2018,0.12625,126.25
2/22/2018,0.1285,128.5
2/23/2018,0.13075,130.75
2/24/2018,0.133,133
2/25/2018,0.13525,135.25
2/26/2018,0.1375,137.5
2/27/2018,0.13975,139.75
2/28/2018,0.142,142
3/1/2018,0.14425,144.25
3/2/2018,0.1465,146.5
3/3/2018,0.14875,148.75
3/4/2018,0.151,151
3/5/2018,0.15325,153.25
3/6/2018,0.1555,155.5
3/7/2018,0.15775,157.75
3/8/2018,0.16,160
3/9/2018,0.16225,162.25
3/10/2018,0.1645,164.5
3/11/2018,0.16675,166.75
3/12/2018,0.169,169
3/13/2018,0.158857143,158.8571429
3/14/2018,0.148714286,148.7142857
3/15/2018,0.138571429,138.5714286
3/16/2018,0.128428571,128.4285714
3/17/2018,0.118285714,118.2857143
3/18/2018,0.108142857,108.1428571
3/19/2018,0.098,98
3/20/2018,0.087857143,87.85714286
3/21/2018,0.077714286,77.71428571
3/22/2018,0.067571429,67.57142857
3/23/2018,0.057428571,57.42857143
3/24/2018,0.047285714,47.28571429
3/25/2018,0.037142857,37.14285714
3/26/2018,0.027,27
3/27/2018,0.026428571,26.42857143
3/28/2018,0.025857143,25.85714286
3/29/2018,0.025285714,25.28571429
3/30/2018,0.024714286,24.71428571
3/31/2018,0.024142857,24.14285714
4/1/2018,0.023571429,23.57142857
4/2/2018,0.023,23
4/3/2018,0.022428571,22.42857143
4/4/2018,0.021857143,21.85714286
4/5/2018,0.021285714,21.28571429
4/6/2018,0.020714286,20.71428571
4/7/2018,0.020142857,20.14285714
4/8/2018,0.019571429,19.57142857
4/9/2018,0.019,19
4/10/2018,0.023214286,23.21428571
4/11/2018,0.027428571,27.42857143
4/12/2018,0.031642857,31.64285714
4/13/2018,0.035857143,35.85714286
4/14/2018,0.040071429,40.07142857
4/15/2018,0.044285714,44.28571429
4/16/2018,0.0485,48.5
4/17/2018,0.052714286,52.71428571
4/18/2018,0.056928571,56.92857143
4/19/2018,0.061142857,61.14285714
4/20/2018,0.065357143,65.35714286
4/21/2018,0.069571429,69.57142857
4/22/2018,0.073785714,73.78571429
4/23/2018,0.078,78
4/24/2018,0.072785714,72.78571429
4/25/2018,0.067571429,67.57142857
4/26/2018,0.062357143,62.35714286
4/27/2018,0.057142857,57.14285714
4/28/2018,0.051928571,51.92857143
4/29/2018,0.046714286,46.71428571
4/30/2018,0.0415,41.5
5/1/2018,0.036285714,36.28571429
5/2/2018,0.031071429,31.07142857
5/3/2018,0.025857143,25.85714286
5/4/2018,0.020642857,20.64285714
5/5/2018,0.015428571,15.42857143
5/6/2018,0.010214286,10.21428571
5/7/2018,0.005,5
5/8/2018,0.007357143,7.357142857
5/9/2018,0.009714286,9.714285714
5/10/2018,0.012071429,12.07142857
5/11/2018,0.014428571,14.42857143
5/12/2018,0.016785714,16.78571429
5/13/2018,0.019142857,19.14285714
5/14/2018,0.0215,21.5
5/15/2018,0.023857143,23.85714286
5/16/2018,0.026214286,26.21428571
5/17/2018,0.028571429,28.57142857
5/18/2018,0.030928571,30.92857143
5/19/2018,0.033285714,33.28571429
5/20/2018,0.035642857,35.64285714
5/21/2018,0.038,38
5/22/2018,0.036928571,36.92857143
5/23/2018,0.035857143,35.85714286
5/24/2018,0.034785714,34.78571429
5/25/2018,0.033714286,33.71428571
5/26/2018,0.032642857,32.64285714
5/27/2018,0.031571429,31.57142857
5/28/2018,0.0305,30.5
5/29/2018,0.029428571,29.42857143
5/30/2018,0.028357143,28.35714286
5/31/2018,0.027285714,27.28571429
6/1/2018,0.026214286,26.21428571
6/2/2018,0.025142857,25.14285714
6/3/2018,0.024071429,24.07142857
6/4/2018,0.023,23
6/5/2018,0.023928571,23.92857143
6/6/2018,0.024857143,24.85714286
6/7/2018,0.025785714,25.78571429
6/8/2018,0.026714286,26.71428571
6/9/2018,0.027642857,27.64285714
6/10/2018,0.028571429,28.57142857
6/11/2018,0.0295,29.5
6/12/2018,0.030428571,30.42857143
6/13/2018,0.031357143,31.35714286
6/14/2018,0.032285714,32.28571429
6/15/2018,0.033214286,33.21428571
6/16/2018,0.034142857,34.14285714
6/17/2018,0.035071429,35.07142857
6/18/2018,0.036,36
6/19/2018,0.036928571,36.92857143
6/20/2018,0.037857143,37.85714286
6/21/2018,0.038785714,38.78571429
6/22/2018,0.039714286,39.71428571
6/23/2018,0.040642857,40.64285714
6/24/2018,0.041571429,41.57142857
6/25/2018,0.0425,42.5
6/26/2018,0.043428571,43.42857143
6/27/2018,0.044357143,44.35714286
6/28/2018,0.045285714,45.28571429
6/29/2018,0.046214286,46.21428571
6/30/2018,0.047142857,47.14285714
7/1/2018,0.048071429,48.07142857
7/2/2018,0.049,49
7/3/2018,0.048457143,48.45714286
7/4/2018,0.047914286,47.91428571
7/5/2018,0.047371429,47.37142857
7/6/2018,0.046828571,46.82857143
7/7/2018,0.046285714,46.28571429
7/8/2018,0.045742857,45.74285714
7/9/2018,0.0452,45.2
7/10/2018,0.044657143,44.65714286
7/11/2018,0.044114286,44.11428571
7/12/2018,0.043571429,43.57142857
7/13/2018,0.043028571,43.02857143
7/14/2018,0.042485714,42.48571429
7/15/2018,0.041942857,41.94285714
7/16/2018,0.0414,41.4
7/17/2018,0.040857143,40.85714286
7/18/2018,0.040314286,40.31428571
7/19/2018,0.039771429,39.77142857
7/20/2018,0.039228571,39.22857143
7/21/2018,0.038685714,38.68571429
7/22/2018,0.038142857,38.14285714
7/23/2018,0.0376,37.6
7/24/2018,0.037057143,37.05714286
7/25/2018,0.036514286,36.51428571
7/26/2018,0.035971429,35.97142857
7/27/2018,0.035428571,35.42857143
7/28/2018,0.034885714,34.88571429
7/29/2018,0.034342857,34.34285714
7/30/2018,0.0338,33.8
7/31/2018,0.033257143,33.25714286
8/1/2018,0.032714286,32.71428571
8/2/2018,0.032171429,32.17142857
8/3/2018,0.031628571,31.62857143
8/4/2018,0.031085714,31.08571429
8/5/2018,0.030542857,30.54285714
8/6/2018,0.03,30
8/7/2018,0.029357143,29.35714286
8/8/2018,0.028714286,28.71428571
8/9/2018,0.028071429,28.07142857
8/10/2018,0.027428571,27.42857143
8/11/2018,0.026785714,26.78571429
8/12/2018,0.026142857,26.14285714
8/13/2018,0.0255,25.5
8/14/2018,0.024857143,24.85714286
8/15/2018,0.024214286,24.21428571
8/16/2018,0.023571429,23.57142857
8/17/2018,0.022928571,22.92857143
8/18/2018,0.022285714,22.28571429
8/19/2018,0.021642857,21.64285714
8/20/2018,0.021,21
8/21/2018,0.0248,24.8
8/22/2018,0.0286,28.6
8/23/2018,0.0324,32.4
8/24/2018,0.0362,36.2
8/25/2018,0.04,40
8/26/2018,0.0438,43.8
8/27/2018,0.0476,47.6
8/28/2018,0.0514,51.4
8/29/2018,0.0552,55.2
8/30/2018,0.059,59
8/31/2018,0.0628,62.8
9/1/2018,0.0666,66.6
9/2/2018,0.0704,70.4
9/3/2018,0.0742,74.2
9/4/2018,0.078,78
9/5/2018,0.078846154,78.84615385
9/6/2018,0.079692308,79.69230769
9/7/2018,0.080538462,80.53846154
9/8/2018,0.081384615,81.38461538
9/9/2018,0.082230769,82.23076923
9/10/2018,0.083076923,83.07692308
9/11/2018,0.083923077,83.92307692
9/12/2018,0.084769231,84.76923077
9/13/2018,0.085615385,85.61538462
9/14/2018,0.086461538,86.46153846
9/15/2018,0.087307692,87.30769231
9/16/2018,0.088153846,88.15384615
9/17/2018,0.089,89
9/18/2018,0.089214286,89.21428571
9/19/2018,0.089428571,89.42857143
9/20/2018,0.089642857,89.64285714
9/21/2018,0.089857143,89.85714286
9/22/2018,0.090071429,90.07142857
9/23/2018,0.090285714,90.28571429
9/24/2018,0.0905,90.5
9/25/2018,0.090714286,90.71428571
9/26/2018,0.090928571,90.92857143
9/27/2018,0.091142857,91.14285714
9/28/2018,0.091357143,91.35714286
9/29/2018,0.091571429,91.57142857
9/30/2018,0.091785714,91.78571429
10/1/2018,0.092,92
10/2/2018,0.091142857,91.14285714
10/3/2018,0.090285714,90.28571429
10/4/2018,0.089428571,89.42857143
10/5/2018,0.088571429,88.57142857
10/6/2018,0.087714286,87.71428571
10/7/2018,0.086857143,86.85714286
10/8/2018,0.086,86
10/9/2018,0.085142857,85.14285714
10/10/2018,0.084285714,84.28571429
10/11/2018,0.083428571,83.42857143
10/12/2018,0.082571429,82.57142857
10/13/2018,0.081714286,81.71428571
10/14/2018,0.080857143,80.85714286
10/15/2018,0.08,80
10/16/2018,0.079714286,79.71428571
10/17/2018,0.079428571,79.42857143
10/18/2018,0.079142857,79.14285714
10/19/2018,0.078857143,78.85714286
10/20/2018,0.078571429,78.57142857
10/21/2018,0.078285714,78.28571429
10/22/2018,0.078,78
10/23/2018,0.077714286,77.71428571
10/24/2018,0.077428571,77.42857143
10/25/2018,0.077142857,77.14285714
10/26/2018,0.076857143,76.85714286
10/27/2018,0.076571429,76.57142857
10/28/2018,0.076285714,76.28571429
10/29/2018,0.076,76
10/30/2018,0.098266667,98.26666667
10/31/2018,0.120533333,120.5333333
11/1/2018,0.1428,142.8
11/2/2018,0.165066667,165.0666667
11/3/2018,0.187333333,187.3333333
11/4/2018,0.2096,209.6
11/5/2018,0.231866667,231.8666667
11/6/2018,0.254133333,254.1333333
11/7/2018,0.2764,276.4
11/8/2018,0.298666667,298.6666667
11/9/2018,0.320933333,320.9333333
11/10/2018,0.3432,343.2
11/11/2018,0.365466667,365.4666667
11/12/2018,0.387733333,387.7333333
11/13/2018,0.41,410
11/14/2018,0.410435897,410.4358974
11/15/2018,0.410871795,410.8717949
11/16/2018,0.411307692,411.3076923
