date,NO
8/20/2008,119.088507
8/21/2008,122.469123
8/22/2008,125.84974
8/23/2008,129.230356
8/24/2008,132.610972
8/25/2008,135.991588
8/26/2008,139.372204
8/27/2008,142.75282
8/28/2008,146.133436
8/29/2008,149.514052
8/30/2008,152.894668
8/31/2008,156.275284
9/1/2008,159.6559
9/2/2008,163.036516
9/3/2008,166.417132
9/4/2008,169.797748
9/5/2008,173.178364
9/6/2008,176.55898
9/7/2008,179.939596
9/8/2008,183.320212
9/9/2008,186.700829
9/10/2008,190.081445
9/11/2008,193.462061
9/12/2008,196.842677
9/13/2008,200.223293
9/14/2008,203.603909
9/15/2008,206.984525
9/16/2008,210.365141
9/17/2008,213.745757
9/18/2008,217.126373
9/19/2008,220.506989
9/20/2008,223.887605
9/21/2008,227.268221
9/22/2008,230.648837
9/23/2008,235.014778
9/24/2008,239.063948
9/25/2008,243.113118
9/26/2008,247.162288
9/27/2008,251.211458
9/28/2008,255.260628
9/29/2008,259.309797
9/30/2008,263.358967
10/1/2008,267.408137
10/2/2008,271.457307
10/3/2008,275.506477
10/4/2008,279.555647
10/5/2008,283.604817
10/6/2008,287.653986
10/7/2008,291.703156
10/8/2008,295.752326
10/9/2008,299.801496
10/10/2008,303.850666
10/11/2008,307.899836
10/12/2008,311.949006
10/13/2008,315.998175
10/14/2008,320.047345
10/15/2008,324.096515
10/16/2008,328.145685
10/17/2008,332.194855
10/18/2008,336.244025
10/19/2008,340.293195
10/20/2008,344.342365
10/21/2008,345.608374
10/22/2008,345.693997
10/23/2008,345.77962
10/24/2008,345.865244
10/25/2008,345.950867
10/26/2008,346.03649
10/27/2008,346.122113
10/28/2008,346.207736
10/29/2008,346.293359
10/30/2008,346.378982
10/31/2008,346.464605
11/1/2008,346.550228
11/2/2008,346.635851
11/3/2008,346.721474
11/4/2008,346.807097
11/5/2008,346.89272
11/6/2008,346.978344
11/7/2008,347.063967
11/8/2008,347.14959
11/9/2008,347.235213
11/10/2008,347.320836
11/11/2008,347.406459
11/12/2008,347.492082
11/13/2008,347.577705
11/14/2008,347.663328
11/15/2008,347.748951
11/16/2008,347.834574
11/17/2008,347.920197
11/18/2008,348.519898
11/19/2008,350.059694
11/20/2008,351.59949
11/21/2008,353.139286
11/22/2008,354.679081
11/23/2008,356.218878
11/24/2008,357.758673
11/25/2008,359.298469
11/26/2008,360.838265
