date,NH4
8/20/2008,9.35357
8/21/2008,9.340651
8/22/2008,9.327732
8/23/2008,9.314813
8/24/2008,9.301894
8/25/2008,9.288975
8/26/2008,9.276056
8/27/2008,9.263137
8/28/2008,9.250218
8/29/2008,9.237299
8/30/2008,9.22438
8/31/2008,9.211461
9/1/2008,9.198542
9/2/2008,9.185623
9/3/2008,9.172704
9/4/2008,9.159785
9/5/2008,9.146866
9/6/2008,9.133947
9/7/2008,9.121028
9/8/2008,9.108109
9/9/2008,9.09519
9/10/2008,9.082271
9/11/2008,9.069352
9/12/2008,9.056433
9/13/2008,9.043514
9/14/2008,9.030595
9/15/2008,9.017676
9/16/2008,9.004757
9/17/2008,8.991838
9/18/2008,8.978919
9/19/2008,8.966
9/20/2008,8.95308
9/21/2008,8.940162
9/22/2008,8.927242
9/23/2008,8.881773
9/24/2008,8.832424
9/25/2008,8.783075
9/26/2008,8.733726
9/27/2008,8.684377
9/28/2008,8.635028
9/29/2008,8.585679
9/30/2008,8.53633
10/1/2008,8.486981
10/2/2008,8.437632
10/3/2008,8.388283
10/4/2008,8.338934
10/5/2008,8.289585
10/6/2008,8.240236
10/7/2008,8.190887
10/8/2008,8.141538
10/9/2008,8.092189
10/10/2008,8.04284
10/11/2008,7.99349
10/12/2008,7.944141
10/13/2008,7.894792
10/14/2008,7.845443
10/15/2008,7.796094
10/16/2008,7.746745
10/17/2008,7.697396
10/18/2008,7.648047
10/19/2008,7.598698
10/20/2008,7.549349
10/21/2008,7.482759
10/22/2008,7.565612
10/23/2008,7.648465
10/24/2008,7.731318
10/25/2008,7.814171
10/26/2008,7.897024
10/27/2008,7.979877
10/28/2008,8.06273
10/29/2008,8.145583
10/30/2008,8.228436
10/31/2008,8.31129
11/1/2008,8.394143
11/2/2008,8.476996
11/3/2008,8.559849
11/4/2008,8.642702
11/5/2008,8.725555
11/6/2008,8.808408
11/7/2008,8.891262
11/8/2008,8.974115
11/9/2008,9.056968
11/10/2008,9.139821
11/11/2008,9.222674
11/12/2008,9.305527
11/13/2008,9.38838
11/14/2008,9.471233
11/15/2008,9.554086
11/16/2008,9.636939
11/17/2008,9.719792
11/18/2008,9.639286
11/19/2008,9.563265
11/20/2008,9.487245
11/21/2008,9.411224
11/22/2008,9.335204
11/23/2008,9.259184
11/24/2008,9.183163
11/25/2008,9.107143
11/26/2008,9.031122
11/27/2008,8.955102
11/28/2008,8.879082
11/29/2008,8.803061
11/30/2008,8.727041
12/1/2008,8.65102
12/2/2008,8.575
12/3/2008,8.49898
12/4/2008,8.422959
12/5/2008,8.346939
12/6/2008,8.270918
12/7/2008,8.194898
12/8/2008,8.118878
12/9/2008,8.042857
12/10/2008,7.966837
12/11/2008,7.890816
12/12/2008,7.814796
12/13/2008,7.738776
12/14/2008,7.662755
12/15/2008,7.586735
12/16/2008,7.604592
12/17/2008,7.658163
12/18/2008,7.711735
12/19/2008,7.765306
12/20/2008,7.818877
12/21/2008,7.872449
12/22/2008,7.92602
12/23/2008,7.979592
12/24/2008,8.033163
12/25/2008,8.086735
12/26/2008,8.140306
12/27/2008,8.193877
12/28/2008,8.247449
12/29/2008,8.30102
12/30/2008,8.354592
12/31/2008,8.408163
1/1/2009,8.461735
1/2/2009,8.515306
1/3/2009,8.568877
1/4/2009,8.622449
1/5/2009,8.67602
1/6/2009,8.729592
1/7/2009,8.783163
1/8/2009,8.836735
1/9/2009,8.890306
1/10/2009,8.943877
1/11/2009,8.997449
1/12/2009,9.05102
1/13/2009,9.020408
1/14/2009,8.928912
1/15/2009,8.837415
1/16/2009,8.745918
1/17/2009,8.654422
1/18/2009,8.562925
1/19/2009,8.471429
1/20/2009,8.379932
1/21/2009,8.288435
1/22/2009,8.196939
1/23/2009,8.105442
1/24/2009,8.013946
1/25/2009,7.922449
1/26/2009,7.830952
1/27/2009,7.739456
1/28/2009,7.647959
1/29/2009,7.556463
1/30/2009,7.464966
1/31/2009,7.373469
2/1/2009,7.281973
2/2/2009,7.190476
2/3/2009,7.09898
2/4/2009,7.007483
2/5/2009,6.915986
2/6/2009,6.82449
2/7/2009,6.732993
2/8/2009,6.641497
2/9/2009,6.55
2/10/2009,6.55034
2/11/2009,6.55068
2/12/2009,6.55102
2/13/2009,6.58909
2/14/2009,6.627159
2/15/2009,6.665228
2/16/2009,6.703297
2/17/2009,6.741366
2/18/2009,6.779435
2/19/2009,6.817504
2/20/2009,6.855573
2/21/2009,6.893642
2/22/2009,6.931711
2/23/2009,6.96978
2/24/2009,7.007849
2/25/2009,7.045918
2/26/2009,7.083987
2/27/2009,7.122057
2/28/2009,7.160126
3/1/2009,7.198195
3/2/2009,7.236264
3/3/2009,7.274333
3/4/2009,7.312402
3/5/2009,7.350471
3/6/2009,7.38854
3/7/2009,7.426609
3/8/2009,7.464678
3/9/2009,7.502747
3/10/2009,7.4986
3/11/2009,7.565712
3/12/2009,7.632825
3/13/2009,7.699937
3/14/2009,7.76705
3/15/2009,7.834162
3/16/2009,7.901275
3/17/2009,7.968387
3/18/2009,8.0355
3/19/2009,8.102612
3/20/2009,8.169725
3/21/2009,8.236838
3/22/2009,8.30395
3/23/2009,8.371063
3/24/2009,8.438175
3/25/2009,8.505288
3/26/2009,8.5724
3/27/2009,8.639513
3/28/2009,8.706626
3/29/2009,8.773738
3/30/2009,8.840851
3/31/2009,8.907963
4/1/2009,8.975076
4/2/2009,9.042189
4/3/2009,9.109301
4/4/2009,9.176413
4/5/2009,9.243526
4/6/2009,9.310638
4/7/2009,9.377751
4/8/2009,9.444864
4/9/2009,9.511976
4/10/2009,9.579089
