date,Data_x,Data_y,Data_x,Data_y,Data,Mean_OP,OP
10/29/2019,0.0156,0.060742857,0.066885714,0.0556,0.06,0.051765714,51.76571429
10/30/2019,0.015514286,0.0604,0.0664,0.055942857,0.059714286,0.051594286,51.59428571
10/31/2019,0.015428571,0.060057143,0.065914286,0.056285714,0.059428571,0.051422857,51.42285714
11/1/2019,0.015342857,0.059714286,0.065428571,0.056628571,0.059142857,0.051251429,51.25142857
11/2/2019,0.015257143,0.059371429,0.064942857,0.056971429,0.058857143,0.05108,51.08
11/3/2019,0.015171429,0.059028571,0.064457143,0.057314286,0.058571429,0.050908571,50.90857143
11/4/2019,0.015085714,0.058685714,0.063971429,0.057657143,0.058285714,0.050737143,50.73714286
11/5/2019,0.015,0.058342857,0.063485714,0.058,0.058,0.050565714,50.56571429
11/6/2019,0.016642857,0.058,0.063,0.058035714,0.057857143,0.050707143,50.70714286
11/7/2019,0.018285714,0.057535714,0.062957143,0.058071429,0.057714286,0.050912857,50.91285714
11/8/2019,0.019928571,0.057071429,0.062914286,0.058107143,0.057571429,0.051118571,51.11857143
11/9/2019,0.021571429,0.056607143,0.062871429,0.058142857,0.057428571,0.051324286,51.32428571
11/10/2019,0.023214286,0.056142857,0.062828571,0.058178571,0.057285714,0.05153,51.53
11/11/2019,0.024857143,0.055678571,0.062785714,0.058214286,0.057142857,0.051735714,51.73571429
11/12/2019,0.0265,0.055214286,0.062742857,0.05825,0.057,0.051941429,51.94142857
11/13/2019,0.028142857,0.05475,0.0627,0.058285714,0.056857143,0.052147143,52.14714286
11/14/2019,0.029785714,0.054285714,0.062657143,0.058321429,0.056714286,0.052352857,52.35285714
11/15/2019,0.031428571,0.053821429,0.062614286,0.058357143,0.056571429,0.052558571,52.55857143
11/16/2019,0.033071429,0.053357143,0.062571429,0.058392857,0.056428571,0.052764286,52.76428571
11/17/2019,0.034714286,0.052892857,0.062528571,0.058428571,0.056285714,0.05297,52.97
11/18/2019,0.036357143,0.052428571,0.062485714,0.058464286,0.056142857,0.053175714,53.17571429
11/19/2019,0.038,0.051964286,0.062442857,0.0585,0.056,0.053381429,53.38142857
11/20/2019,0.039642857,0.0515,0.0624,0.058535714,0.055857143,0.053587143,53.58714286
11/21/2019,0.041285714,0.051035714,0.062357143,0.058571429,0.055714286,0.053792857,53.79285714
11/22/2019,0.042928571,0.050571429,0.062314286,0.058607143,0.055571429,0.053998571,53.99857143
11/23/2019,0.044571429,0.050107143,0.062271429,0.058642857,0.055428571,0.054204286,54.20428571
11/24/2019,0.046214286,0.049642857,0.062228571,0.058678571,0.055285714,0.05441,54.41
11/25/2019,0.047857143,0.049178571,0.062185714,0.058714286,0.055142857,0.054615714,54.61571429
11/26/2019,0.0495,0.048714286,0.062142857,0.05875,0.055,0.054821429,54.82142857
11/27/2019,0.051142857,0.04825,0.0621,0.058785714,0.054857143,0.055027143,55.02714286
11/28/2019,0.052785714,0.047785714,0.062057143,0.058821429,0.054714286,0.055232857,55.23285714
11/29/2019,0.054428571,0.047321429,0.062014286,0.058857143,0.054571429,0.055438571,55.43857143
11/30/2019,0.056071429,0.046857143,0.061971429,0.058892857,0.054428571,0.055644286,55.64428571
12/1/2019,0.057714286,0.046392857,0.061928571,0.058928571,0.054285714,0.05585,55.85
12/2/2019,0.059357143,0.045928571,0.061885714,0.058964286,0.054142857,0.056055714,56.05571429
12/3/2019,0.061,0.045464286,0.061842857,0.059,0.054,0.056261429,56.26142857
12/4/2019,0.05997619,0.045,0.0618,0.059833333,0.054166667,0.056155238,56.1552381
12/5/2019,0.058952381,0.045071429,0.061757143,0.060666667,0.054333333,0.05615619,56.15619048
12/6/2019,0.057928571,0.045142857,0.061714286,0.0615,0.0545,0.056157143,56.15714286
12/7/2019,0.056904762,0.045214286,0.061671429,0.062333333,0.054666667,0.056158095,56.15809524
12/8/2019,0.055880952,0.045285714,0.061628571,0.063166667,0.054833333,0.056159048,56.15904762
12/9/2019,0.054857143,0.045357143,0.061585714,0.064,0.055,0.05616,56.16
12/10/2019,0.053833333,0.045428571,0.061542857,0.064833333,0.055166667,0.056160952,56.16095238
12/11/2019,0.052809524,0.0455,0.0615,0.065666667,0.055333333,0.056161905,56.16190476
12/12/2019,0.051785714,0.045571429,0.061457143,0.0665,0.0555,0.056162857,56.16285714
12/13/2019,0.050761905,0.045642857,0.061414286,0.067333333,0.055666667,0.05616381,56.16380952
12/14/2019,0.049738095,0.045714286,0.061371429,0.068166667,0.055833333,0.056164762,56.1647619
12/15/2019,0.048714286,0.045785714,0.061328571,0.069,0.056,0.056165714,56.16571429
12/16/2019,0.047690476,0.045857143,0.061285714,0.069833333,0.056166667,0.056166667,56.16666667
12/17/2019,0.046666667,0.045928571,0.061242857,0.070666667,0.056333333,0.056167619,56.16761905
12/18/2019,0.045642857,0.046,0.0612,0.0715,0.0565,0.056168571,56.16857143
12/19/2019,0.044619048,0.046071429,0.061157143,0.072333333,0.056666667,0.056169524,56.16952381
12/20/2019,0.043595238,0.046142857,0.061114286,0.073166667,0.056833333,0.056170476,56.17047619
12/21/2019,0.042571429,0.046214286,0.061071429,0.074,0.057,0.056171429,56.17142857
12/22/2019,0.041547619,0.046285714,0.061028571,0.074833333,0.057166667,0.056172381,56.17238095
12/23/2019,0.04052381,0.046357143,0.060985714,0.075666667,0.057333333,0.056173333,56.17333333
12/24/2019,0.0395,0.046428571,0.060942857,0.0765,0.0575,0.056174286,56.17428571
12/25/2019,0.03847619,0.0465,0.0609,0.077333333,0.057666667,0.056175238,56.1752381
12/26/2019,0.037452381,0.046571429,0.060857143,0.078166667,0.057833333,0.05617619,56.17619048
12/27/2019,0.036428571,0.046642857,0.060814286,0.079,0.058,0.056177143,56.17714286
12/28/2019,0.035404762,0.046714286,0.060771429,0.079833333,0.058166667,0.056178095,56.17809524
12/29/2019,0.034380952,0.046785714,0.060728571,0.080666667,0.058333333,0.056179048,56.17904762
12/30/2019,0.033357143,0.046857143,0.060685714,0.0815,0.0585,0.05618,56.18
12/31/2019,0.032333333,0.046928571,0.060642857,0.082333333,0.058666667,0.056180952,56.18095238
1/1/2020,0.031309524,0.047,0.0606,0.083166667,0.058833333,0.056181905,56.18190476
1/2/2020,0.030285714,0.047071429,0.060557143,0.084,0.059,0.056182857,56.18285714
1/3/2020,0.029261905,0.047142857,0.060514286,0.084833333,0.059166667,0.05618381,56.18380952
1/4/2020,0.028238095,0.047214286,0.060471429,0.085666667,0.059333333,0.056184762,56.1847619
1/5/2020,0.027214286,0.047285714,0.060428571,0.0865,0.0595,0.056185714,56.18571429
1/6/2020,0.026190476,0.047357143,0.060385714,0.087333333,0.059666667,0.056186667,56.18666667
1/7/2020,0.025166667,0.047428571,0.060342857,0.088166667,0.059833333,0.056187619,56.18761905
1/8/2020,0.024142857,0.0475,0.0603,0.089,0.06,0.056188571,56.18857143
1/9/2020,0.023119048,0.047571429,0.060257143,0.089833333,0.060166667,0.056189524,56.18952381
1/10/2020,0.022095238,0.047642857,0.060214286,0.090666667,0.060333333,0.056190476,56.19047619
1/11/2020,0.021071429,0.047714286,0.060171429,0.0915,0.0605,0.056191429,56.19142857
1/12/2020,0.020047619,0.047785714,0.060128571,0.092333333,0.060666667,0.056192381,56.19238095
1/13/2020,0.01902381,0.047857143,0.060085714,0.093166667,0.060833333,0.056193333,56.19333333
1/14/2020,0.018,0.047928571,0.060042857,0.094,0.061,0.056194286,56.19428571
1/15/2020,0.019761905,0.048,0.06,0.09347619,0.062809524,0.056809524,56.80952381
1/16/2020,0.02152381,0.047904762,0.058619048,0.092952381,0.064619048,0.05712381,57.12380952
1/17/2020,0.023285714,0.047809524,0.057238095,0.092428571,0.066428571,0.057438095,57.43809524
1/18/2020,0.025047619,0.047714286,0.055857143,0.091904762,0.068238095,0.057752381,57.75238095
1/19/2020,0.026809524,0.047619048,0.05447619,0.091380952,0.070047619,0.058066667,58.06666667
1/20/2020,0.028571429,0.04752381,0.053095238,0.090857143,0.071857143,0.058380952,58.38095238
1/21/2020,0.030333333,0.047428571,0.051714286,0.090333333,0.073666667,0.058695238,58.6952381
1/22/2020,0.032095238,0.047333333,0.050333333,0.089809524,0.07547619,0.059009524,59.00952381
1/23/2020,0.033857143,0.047238095,0.048952381,0.089285714,0.077285714,0.05932381,59.32380952
1/24/2020,0.035619048,0.047142857,0.047571429,0.088761905,0.079095238,0.059638095,59.63809524
1/25/2020,0.037380952,0.047047619,0.046190476,0.088238095,0.080904762,0.059952381,59.95238095
1/26/2020,0.039142857,0.046952381,0.044809524,0.087714286,0.082714286,0.060266667,60.26666667
1/27/2020,0.040904762,0.046857143,0.043428571,0.087190476,0.08452381,0.060580952,60.58095238
1/28/2020,0.042666667,0.046761905,0.042047619,0.086666667,0.086333333,0.060895238,60.8952381
1/29/2020,0.044428571,0.046666667,0.040666667,0.086142857,0.088142857,0.061209524,61.20952381
1/30/2020,0.046190476,0.046571429,0.039285714,0.085619048,0.089952381,0.06152381,61.52380952
1/31/2020,0.047952381,0.04647619,0.037904762,0.085095238,0.091761905,0.061838095,61.83809524
2/1/2020,0.049714286,0.046380952,0.03652381,0.084571429,0.093571429,0.062152381,62.15238095
2/2/2020,0.05147619,0.046285714,0.035142857,0.084047619,0.095380952,0.062466667,62.46666667
2/3/2020,0.053238095,0.046190476,0.033761905,0.08352381,0.097190476,0.062780952,62.78095238
2/4/2020,0.055,0.046095238,0.032380952,0.083,0.099,0.063095238,63.0952381
2/5/2020,0.051375,0.046,0.031,0.08025,0.09375,0.060475,60.475
2/6/2020,0.04775,0.046828571,0.032142857,0.0775,0.0885,0.058544286,58.54428571
2/7/2020,0.044125,0.047657143,0.033285714,0.07475,0.08325,0.056613571,56.61357143
2/8/2020,0.0405,0.048485714,0.034428571,0.072,0.078,0.054682857,54.68285714
2/9/2020,0.036875,0.049314286,0.035571429,0.06925,0.07275,0.052752143,52.75214286
2/10/2020,0.03325,0.050142857,0.036714286,0.0665,0.0675,0.050821429,50.82142857
2/11/2020,0.029625,0.050971429,0.037857143,0.06375,0.06225,0.048890714,48.89071429
2/12/2020,0.026,0.0518,0.039,0.061,0.057,0.04696,46.96
2/13/2020,0.026074074,0.052628571,0.040142857,0.060851852,0.057357143,0.047410899,47.41089947
2/14/2020,0.026148148,0.053457143,0.041285714,0.060703704,0.057714286,0.047861799,47.86179894
2/15/2020,0.026222222,0.054285714,0.042428571,0.060555556,0.058071429,0.048312698,48.31269841
2/16/2020,0.026296296,0.055114286,0.043571429,0.060407407,0.058428571,0.048763598,48.76359788
2/17/2020,0.02637037,0.055942857,0.044714286,0.060259259,0.058785714,0.049214497,49.21449735
2/18/2020,0.026444444,0.056771429,0.045857143,0.060111111,0.059142857,0.049665397,49.66539683
2/19/2020,0.026518519,0.0576,0.047,0.059962963,0.0595,0.050116296,50.1162963
2/20/2020,0.026592593,0.058428571,0.048142857,0.059814815,0.059857143,0.050567196,50.56719577
2/21/2020,0.026666667,0.059257143,0.049285714,0.059666667,0.060214286,0.051018095,51.01809524
2/22/2020,0.026740741,0.060085714,0.050428571,0.059518519,0.060571429,0.051468995,51.46899471
2/23/2020,0.026814815,0.060914286,0.051571429,0.05937037,0.060928571,0.051919894,51.91989418
2/24/2020,0.026888889,0.061742857,0.052714286,0.059222222,0.061285714,0.052370794,52.37079365
2/25/2020,0.026962963,0.062571429,0.053857143,0.059074074,0.061642857,0.052821693,52.82169312
2/26/2020,0.027037037,0.0634,0.055,0.058925926,0.062,0.053272593,53.27259259
2/27/2020,0.027111111,0.064228571,0.056142857,0.058777778,0.062357143,0.053723492,53.72349206
2/28/2020,0.027185185,0.065057143,0.057285714,0.05862963,0.062714286,0.054174392,54.17439153
2/29/2020,0.027259259,0.065885714,0.058428571,0.058481481,0.063071429,0.054625291,54.62529101
3/1/2020,0.027333333,0.066714286,0.059571429,0.058333333,0.063428571,0.05507619,55.07619048
3/2/2020,0.027407407,0.067542857,0.060714286,0.058185185,0.063785714,0.05552709,55.52708995
3/3/2020,0.027481481,0.068371429,0.061857143,0.058037037,0.064142857,0.055977989,55.97798942
3/4/2020,0.027555556,0.0692,0.063,0.057888889,0.0645,0.056428889,56.42888889
3/5/2020,0.02762963,0.070028571,0.064142857,0.057740741,0.064857143,0.056879788,56.87978836
3/6/2020,0.027703704,0.070857143,0.065285714,0.057592593,0.065214286,0.057330688,57.33068783
3/7/2020,0.027777778,0.071685714,0.066428571,0.057444444,0.065571429,0.057781587,57.7815873
3/8/2020,0.027851852,0.072514286,0.067571429,0.057296296,0.065928571,0.058232487,58.23248677
3/9/2020,0.027925926,0.073342857,0.068714286,0.057148148,0.066285714,0.058683386,58.68338624
3/10/2020,0.028,0.074171429,0.069857143,0.057,0.066642857,0.059134286,59.13428571
3/11/2020,0.02925,0.075,0.071,0.056857143,0.067,0.059821429,59.82142857
3/12/2020,0.0305,0.075107143,0.071392857,0.056714286,0.067107143,0.060164286,60.16428571
3/13/2020,0.03175,0.075214286,0.071785714,0.056571429,0.067214286,0.060507143,60.50714286
3/14/2020,0.033,0.075321429,0.072178571,0.056428571,0.067321429,0.06085,60.85
3/15/2020,0.03425,0.075428571,0.072571429,0.056285714,0.067428571,0.061192857,61.19285714
3/16/2020,0.0355,0.075535714,0.072964286,0.056142857,0.067535714,0.061535714,61.53571429
3/17/2020,0.03675,0.075642857,0.073357143,0.056,0.067642857,0.061878571,61.87857143
3/18/2020,0.038,0.07575,0.07375,0.055857143,0.06775,0.062221429,62.22142857
3/19/2020,0.03925,0.075857143,0.074142857,0.055714286,0.067857143,0.062564286,62.56428571
3/20/2020,0.0405,0.075964286,0.074535714,0.055571429,0.067964286,0.062907143,62.90714286
3/21/2020,0.04175,0.076071429,0.074928571,0.055428571,0.068071429,0.06325,63.25
3/22/2020,0.043,0.076178571,0.075321429,0.055285714,0.068178571,0.063592857,63.59285714
3/23/2020,0.04425,0.076285714,0.075714286,0.055142857,0.068285714,0.063935714,63.93571429
3/24/2020,0.0455,0.076392857,0.076107143,0.055,0.068392857,0.064278571,64.27857143
3/25/2020,0.04675,0.0765,0.0765,0.054857143,0.0685,0.064621429,64.62142857
3/26/2020,0.048,0.076607143,0.076892857,0.054714286,0.068607143,0.064964286,64.96428571
3/27/2020,0.04925,0.076714286,0.077285714,0.054571429,0.068714286,0.065307143,65.30714286
3/28/2020,0.0505,0.076821429,0.077678571,0.054428571,0.068821429,0.06565,65.65
3/29/2020,0.05175,0.076928571,0.078071429,0.054285714,0.068928571,0.065992857,65.99285714
