Date,SLTRIB
5-Oct-00,2297.34
6-Oct-00,1273.63
7-Oct-00,1422.19
8-Oct-00,1319.75
9-Oct-00,969.4
10-Oct-00,551
11-Oct-00,23.31
12-Oct-00,147.51
13-Oct-00,275.47
14-Oct-00,202.19
15-Oct-00,29.53
16-Oct-00,270.92
17-Oct-00,101.11
18-Oct-00,41.12
19-Oct-00,35.26
20-Oct-00,38.48
21-Oct-00,36.53
22-Oct-00,38.5
23-Oct-00,40.11
24-Oct-00,43.28
25-Oct-00,43.83
26-Oct-00,41.98
27-Oct-00,35.43
28-Oct-00,31.74
29-Oct-00,31.23
30-Oct-00,29.17
31-Oct-00,31.05
1-Nov-00,19.65
2-Nov-00,22.57
3-Nov-00,23.35
4-Nov-00,22.84
5-Nov-00,20.13
6-Nov-00,19.82
7-Nov-00,18.27
8-Nov-00,16.93
9-Nov-00,16.15
10-Nov-00,14.84
11-Nov-00,11.37
12-Nov-00,10.09
13-Nov-00,9.39
14-Nov-00,9.37
15-Nov-00,7.58
16-Nov-00,6.46
17-Nov-00,6.36
18-Nov-00,4.65
19-Nov-00,4.71
20-Nov-00,7.57
21-Nov-00,5.65
22-Nov-00,5.76
23-Nov-00,6.07
24-Nov-00,7.31
25-Nov-00,10.9
26-Nov-00,11.41
27-Nov-00,9.94
28-Nov-00,7.76
29-Nov-00,7.26
30-Nov-00,6.39
1-Dec-00,5.62
2-Dec-00,3.82
3-Dec-00,4.74
4-Dec-00,4.78
5-Dec-00,4.03
6-Dec-00,4.65
7-Dec-00,5.84
8-Dec-00,3.32
9-Dec-00,4.06
10-Dec-00,6.41
11-Dec-00,6.3
12-Dec-00,5.01
13-Dec-00,4.11
14-Dec-00,6.03
15-Dec-00,4.71
16-Dec-00,4.05
17-Dec-00,5.17
18-Dec-00,2.35
19-Dec-00,0.81
20-Dec-00,0.28
21-Dec-00,1.04
22-Dec-00,0.36
23-Dec-00,0.06
24-Dec-00,0.1
25-Dec-00,0.23
26-Dec-00,0.46
27-Dec-00,1.22
28-Dec-00,2.52
29-Dec-00,0.49
30-Dec-00,0
31-Dec-00,0
1-Jan-01,0.1
2-Jan-01,0.32
3-Jan-01,1.07
4-Jan-01,0.24
5-Jan-01,0.27
6-Jan-01,0.69
7-Jan-01,0
8-Jan-01,0.01
9-Jan-01,0.01
10-Jan-01,0.07
11-Jan-01,0
12-Jan-01,0
13-Jan-01,0
14-Jan-01,0
15-Jan-01,0.01
16-Jan-01,0
17-Jan-01,0
18-Jan-01,0
19-Jan-01,0
20-Jan-01,0.25
21-Jan-01,0.06
22-Jan-01,2.45
23-Jan-01,1.07
24-Jan-01,0.92
25-Jan-01,1.15
26-Jan-01,1.45
27-Jan-01,1.15
28-Jan-01,0.43
29-Jan-01,0.67
30-Jan-01,0
31-Jan-01,0
1-Feb-01,0
2-Feb-01,0
3-Feb-01,0.28
4-Feb-01,0.23
5-Feb-01,0.58
6-Feb-01,0.93
7-Feb-01,0.6
8-Feb-01,0.73
9-Feb-01,0.25
10-Feb-01,0
11-Feb-01,0.02
12-Feb-01,0.18
13-Feb-01,0.05
14-Feb-01,0.2
15-Feb-01,0
16-Feb-01,0
17-Feb-01,0
18-Feb-01,0
19-Feb-01,0
20-Feb-01,0
21-Feb-01,0
22-Feb-01,0
23-Feb-01,0
24-Feb-01,0
25-Feb-01,0
26-Feb-01,0
27-Feb-01,0
28-Feb-01,0
1-Mar-01,0
2-Mar-01,0
3-Mar-01,0
4-Mar-01,0
5-Mar-01,0
6-Mar-01,0
7-Mar-01,0
8-Mar-01,0
9-Mar-01,0
10-Mar-01,0
11-Mar-01,0
12-Mar-01,0
13-Mar-01,0
14-Mar-01,0
15-Mar-01,0
16-Mar-01,0
17-Mar-01,0
18-Mar-01,0
19-Mar-01,0
20-Mar-01,0
21-Mar-01,0
22-Mar-01,0
23-Mar-01,0
24-Mar-01,0
25-Mar-01,0
26-Mar-01,0
27-Mar-01,0
28-Mar-01,0
29-Mar-01,0
30-Mar-01,0
31-Mar-01,0
