,Date,Total_Outflows_acft
6396,2008-07-06,0.0
6397,2008-07-07,0.0
6398,2008-07-08,0.0
6399,2008-07-09,0.0
6400,2008-07-10,0.0
6401,2008-07-11,0.0
6402,2008-07-12,0.0
6403,2008-07-13,0.0
6404,2008-07-14,0.0
6405,2008-07-15,0.0
6406,2008-07-16,0.0
6407,2008-07-17,0.0
6408,2008-07-18,0.0
6409,2008-07-19,0.0
6410,2008-07-20,0.0
6411,2008-07-21,0.0
6412,2008-07-22,0.0
6413,2008-07-23,0.0
6414,2008-07-24,0.0
6415,2008-07-25,0.0
6416,2008-07-26,0.0
6417,2008-07-27,0.0
6418,2008-07-28,0.0
6419,2008-07-29,0.0
6420,2008-07-30,0.0
6421,2008-07-31,0.0
6422,2008-08-01,0.0
6423,2008-08-02,0.0
6424,2008-08-03,0.0
6425,2008-08-04,0.0
6426,2008-08-05,0.0
6427,2008-08-06,0.0
6428,2008-08-07,0.0
6429,2008-08-08,0.0
6430,2008-08-09,0.0
6431,2008-08-10,0.0
6432,2008-08-11,0.0
6433,2008-08-12,0.0
6434,2008-08-13,0.0
6435,2008-08-14,0.0
6436,2008-08-15,0.0
6437,2008-08-16,0.0
6438,2008-08-17,0.0
6439,2008-08-18,0.0
6440,2008-08-19,0.0
6441,2008-08-20,0.0
6442,2008-08-21,0.0
6443,2008-08-22,0.0
6444,2008-08-23,0.0
6445,2008-08-24,59.50500002
6446,2008-08-25,0.0
6447,2008-08-26,0.0
6448,2008-08-27,0.0
6449,2008-08-28,39.67000001
6450,2008-08-29,0.0
6451,2008-08-30,0.0
6452,2008-08-31,351.0795002
6453,2008-09-01,73.38950008
6454,2008-09-02,8.925750024
6455,2008-09-03,0.0
6456,2008-09-04,1549.1135
6457,2008-09-05,5526.031000999999
6458,2008-09-06,10159.487
6459,2008-09-07,12517.8685
6460,2008-09-08,13368.79
6461,2008-09-09,13331.1035
6462,2008-09-10,8854.344002
6463,2008-09-11,2856.240002
6464,2008-09-12,2187.800501
6465,2008-09-13,1035.387
6466,2008-09-14,777.5320002999999
6467,2008-09-15,412.5680001
6468,2008-09-16,1543.1629999999998
6469,2008-09-17,4103.861500999999
6470,2008-09-18,8463.594502
6471,2008-09-19,10129.7345
6472,2008-09-20,12738.037
6473,2008-09-21,12763.8225
6474,2008-09-22,13555.239
6475,2008-09-23,13146.638
6476,2008-09-24,10542.3025
6477,2008-09-25,8368.3865
6478,2008-09-26,9197.4895
6479,2008-09-27,9439.476501000001
6480,2008-09-28,8657.9775
6481,2008-09-29,5149.166001
6482,2008-09-30,983.8160004000001
6483,2008-10-01,1366.6315
6484,2008-10-02,420.50199999999995
6485,2008-10-03,1279.357501
6486,2008-10-04,1912.0940010000002
6487,2008-10-05,3399.7190020000003
6488,2008-10-06,5855.292002
6489,2008-10-07,4907.179003
6490,2008-10-08,4700.895002
6491,2008-10-09,2971.2830010000002
6492,2008-10-10,2929.6295
6493,2008-10-11,2392.101
6494,2008-10-12,813.2350002000001
6495,2008-10-13,265.789
6496,2008-10-14,261.822
6497,2008-10-15,491.90800020000006
6498,2008-10-16,416.5350001
6499,2008-10-17,936.2120002999999
6500,2008-10-18,485.9575
6501,2008-10-19,614.8850002
6502,2008-10-20,983.8160004000001
6503,2008-10-21,1449.938501
6504,2008-10-22,1003.6510000000001
6505,2008-10-23,1319.027501
6506,2008-10-24,1297.209001
6507,2008-10-25,1202.001
6508,2008-10-26,1027.453
6509,2008-10-27,1461.8395
6510,2008-10-28,1251.588501
6511,2008-10-29,1599.177041
6512,2008-10-30,1696.6065600000002
6513,2008-10-31,1477.98519
6514,2008-11-01,2046.53563
6515,2008-11-02,1390.39383
6516,2008-11-03,2017.3781809999998
6517,2008-11-04,2514.383775
6518,2008-11-05,2571.84577
6519,2008-11-06,1764.16457
6520,2008-11-07,2015.553361
6521,2008-11-08,2075.4153899999997
6522,2008-11-09,2208.666921
6523,2008-11-10,2413.483131
6524,2008-11-11,2753.554205
