Date,C44RO
30-Dec-07,
31-Dec-07,
1-Jan-08,56.00000003
2-Jan-08,51.00000003
3-Jan-08,15
4-Jan-08,0
5-Jan-08,0
6-Jan-08,53.00000002
7-Jan-08,0
8-Jan-08,0
9-Jan-08,0
10-Jan-08,0
11-Jan-08,0
12-Jan-08,47.00000004
13-Jan-08,93.00000007
14-Jan-08,173.0000001
15-Jan-08,89.00000005
16-Jan-08,13.00000001
17-Jan-08,19.00000003
18-Jan-08,131.0000001
19-Jan-08,85.00000006
20-Jan-08,389.0000002
21-Jan-08,256.0000002
22-Jan-08,0
23-Jan-08,40.00000001
24-Jan-08,49.00000004
25-Jan-08,195.0000001
26-Jan-08,69.00000004
27-Jan-08,104.0000001
28-Jan-08,97.00000006
29-Jan-08,75.00000006
30-Jan-08,51.00000003
31-Jan-08,8.400000022
1-Feb-08,26.00000002
2-Feb-08,26.00000002
3-Feb-08,57.00000004
4-Feb-08,25.00000001
5-Feb-08,0
6-Feb-08,0
7-Feb-08,0
8-Feb-08,15
9-Feb-08,41.00000003
10-Feb-08,115.0000001
11-Feb-08,160.0000001
12-Feb-08,4.099999999
13-Feb-08,126.0000001
14-Feb-08,428.0000003
15-Feb-08,234.0000002
16-Feb-08,68.00000003
17-Feb-08,42.00000004
18-Feb-08,108.0000001
19-Feb-08,0
20-Feb-08,0
21-Feb-08,0
22-Feb-08,64.00000004
23-Feb-08,151.0000001
24-Feb-08,105.0000001
25-Feb-08,63.00000002
26-Feb-08,124.0000001
27-Feb-08,63.00000002
28-Feb-08,58.00000002
29-Feb-08,44.00000003
1-Mar-08,40.00000001
2-Mar-08,69.00000004
3-Mar-08,0
4-Mar-08,0
5-Mar-08,16.00000002
6-Mar-08,0
7-Mar-08,38.00000002
8-Mar-08,136.0000001
9-Mar-08,510.0000003
10-Mar-08,82.00000005
11-Mar-08,49.00000004
12-Mar-08,100.0000001
13-Mar-08,74.00000004
14-Mar-08,56.00000003
15-Mar-08,97.00000006
16-Mar-08,150.0000001
17-Mar-08,175.0000001
18-Mar-08,0
19-Mar-08,0
20-Mar-08,0
21-Mar-08,0
22-Mar-08,0
23-Mar-08,0
24-Mar-08,0
25-Mar-08,0
26-Mar-08,29.00000003
27-Mar-08,3.699999986
28-Mar-08,0
29-Mar-08,71.00000003
30-Mar-08,33.00000002
31-Mar-08,0
1-Apr-08,0
2-Apr-08,0
3-Apr-08,0
4-Apr-08,0
5-Apr-08,0
6-Apr-08,0
7-Apr-08,62.00000005
8-Apr-08,93.00000007
9-Apr-08,87.00000005
10-Apr-08,0
11-Apr-08,0
12-Apr-08,0
13-Apr-08,12
14-Apr-08,35.00000001
15-Apr-08,2.500000018
16-Apr-08,1.600000016
17-Apr-08,0
18-Apr-08,0
19-Apr-08,41.00000003
20-Apr-08,81.00000004
21-Apr-08,73.00000003
22-Apr-08,5.300000002
23-Apr-08,0
24-Apr-08,0
25-Apr-08,0
26-Apr-08,0
27-Apr-08,0
28-Apr-08,0
29-Apr-08,27
30-Apr-08,27
1-May-08,0
2-May-08,0
3-May-08,0
4-May-08,6.300000017
5-May-08,0
6-May-08,0
7-May-08,8.900000012
8-May-08,0
9-May-08,22
10-May-08,61.00000003
11-May-08,66.00000003
12-May-08,19.00000003
13-May-08,66.00000003
14-May-08,0
15-May-08,0
16-May-08,0
17-May-08,75.00000006
18-May-08,61.00000003
19-May-08,0
20-May-08,0
21-May-08,15
22-May-08,0
23-May-08,102.0000001
24-May-08,161.0000001
25-May-08,149.0000001
26-May-08,108.0000001
27-May-08,177.0000001
28-May-08,114.0000001
29-May-08,0
30-May-08,33.00000002
31-May-08,5.799999992
1-Jun-08,0
2-Jun-08,38.00000002
3-Jun-08,63.00000002
4-Jun-08,80.00000006
5-Jun-08,53.00000002
6-Jun-08,39.00000003
7-Jun-08,87.00000005
8-Jun-08,49.00000004
9-Jun-08,0
10-Jun-08,51.00000003
11-Jun-08,29.00000003
12-Jun-08,16.00000002
13-Jun-08,53.00000002
14-Jun-08,103.0000001
15-Jun-08,74.00000004
16-Jun-08,64.00000004
17-Jun-08,77.00000005
18-Jun-08,70.00000006
19-Jun-08,117.0000001
20-Jun-08,153.0000001
21-Jun-08,199.0000001
22-Jun-08,76.00000004
23-Jun-08,106.0000001
24-Jun-08,266.0000002
25-Jun-08,171.0000001
26-Jun-08,124.0000001
27-Jun-08,23.00000001
28-Jun-08,14.00000003
29-Jun-08,197.0000001
30-Jun-08,320.0000002
1-Jul-08,171.0000001
2-Jul-08,345.0000002
3-Jul-08,414.0000004
4-Jul-08,177.0000001
5-Jul-08,425.0000003
6-Jul-08,426.0000004
7-Jul-08,240.0000001
8-Jul-08,352.0000002
9-Jul-08,349.0000002
10-Jul-08,355.0000003
11-Jul-08,319.0000002
12-Jul-08,36.00000002
13-Jul-08,351.0000002
14-Jul-08,357.0000002
15-Jul-08,418.0000002
16-Jul-08,463.0000003
17-Jul-08,409.0000001
18-Jul-08,355.0000003
19-Jul-08,301.0000002
20-Jul-08,198.0000001
21-Jul-08,263.0000002
22-Jul-08,13.00000001
23-Jul-08,162.0000001
24-Jul-08,221.0000001
25-Jul-08,327.0000002
26-Jul-08,576.0000005
27-Jul-08,343.0000002
28-Jul-08,451.0000002
29-Jul-08,153.0000001
30-Jul-08,593.0000004
