Date,Cut_back,P_Load_Cal,P_Load_StL,P_Load_South
4/30/2016,0,10.80166644,4.140793234,8.175221586
5/31/2016,0,10.49690054,2.865102154,0.597622516
6/30/2016,0,10.4690511,3.04893328,0
7/31/2016,0,11.11575637,4.394645806,0
8/31/2016,0,11.40029566,4.23140429,0
9/30/2016,0,9.701632831,3.94681651,0
10/31/2016,0,11.36921377,4.532343991,0
11/30/2016,0,10.0420191,4.066626215,0
12/31/2016,0,10.4767905,4.382780917,0
1/31/2017,0,10.6261711,1.138986136,0
2/28/2017,0,7.529714716,3.487048346,0
3/31/2017,0,7.872588972,2.764781835,0
4/30/2017,0,9.231865017,3.538547835,0
5/31/2017,0,8.974476804,2.44959204,0
6/30/2017,0,8.428453588,2.454375129,0
7/31/2017,0,8.84419421,3.496837319,0
8/31/2017,0,9.607058286,3.564916687,0
9/30/2017,0,9.602997309,3.909967413,0
10/31/2017,0,14.72013077,5.867310045,0
11/30/2017,0,14.42083826,5.840126387,0
12/31/2017,0,15.4469072,6.462038296,0
1/31/2018,0,15.8621517,1.698787786,0
2/28/2018,0,11.40561026,5.284693444,0
3/31/2018,0,11.96137126,4.200915999,0
4/30/2018,0,13.95330402,5.34820449,0
5/31/2018,0,13.4493154,3.670729341,0
6/30/2018,0,12.83619602,3.737498465,0
7/31/2018,0,13.42542965,5.309078563,0
8/31/2018,0,14.34434461,5.323321416,0
9/30/2018,0,12.25370031,4.984261025,2.820463879
10/31/2018,0,13.26348278,5.287858565,4.385452059
11/30/2018,0,11.50755213,4.660099492,2.678459001
12/31/2018,0,11.17143831,4.672747229,3.992617127
