Date,SLTRIB
24-Sep-08,34.79
25-Sep-08,32.76
26-Sep-08,37.81
27-Sep-08,36.7
28-Sep-08,37.45
29-Sep-08,36.93
30-Sep-08,535.8
1-Oct-08,562.83
2-Oct-08,261.23
3-Oct-08,259.84
4-Oct-08,264.83
5-Oct-08,140.35
6-Oct-08,128.97
7-Oct-08,418.46
8-Oct-08,747.73
9-Oct-08,1147.41
10-Oct-08,1036.71
11-Oct-08,762.42
12-Oct-08,576.15
13-Oct-08,536.68
14-Oct-08,624.04
15-Oct-08,340.56
16-Oct-08,273.12
17-Oct-08,524.77
18-Oct-08,572.39
19-Oct-08,278.23
20-Oct-08,251.39
21-Oct-08,87.59
22-Oct-08,152.75
23-Oct-08,312.84
24-Oct-08,54.39
25-Oct-08,210.55
26-Oct-08,471.38
27-Oct-08,526.06
28-Oct-08,252.89
29-Oct-08,44.39
30-Oct-08,51.64
31-Oct-08,47.13
1-Nov-08,47.93
2-Nov-08,523.46
3-Nov-08,718.54
4-Nov-08,508.03
5-Nov-08,72.55
6-Nov-08,32.69
7-Nov-08,22.7
8-Nov-08,24.75
9-Nov-08,71.51
10-Nov-08,49.69
11-Nov-08,26.67
12-Nov-08,98.24
13-Nov-08,274.39
14-Nov-08,271.22
15-Nov-08,264.99
16-Nov-08,182.41
17-Nov-08,21.63
18-Nov-08,22.35
19-Nov-08,21.34
20-Nov-08,22.1
21-Nov-08,22.04
22-Nov-08,21.04
23-Nov-08,22.64
24-Nov-08,23.6
25-Nov-08,23.99
26-Nov-08,22.87
27-Nov-08,24.15
28-Nov-08,25.89
29-Nov-08,25.5
30-Nov-08,25.62
1-Dec-08,18.31
2-Dec-08,17.88
3-Dec-08,19.33
4-Dec-08,23.55
5-Dec-08,25
6-Dec-08,22.96
7-Dec-08,20.26
8-Dec-08,18.74
9-Dec-08,17.23
10-Dec-08,17.76
11-Dec-08,19.05
12-Dec-08,14.32
13-Dec-08,11.64
14-Dec-08,11.49
15-Dec-08,14.53
16-Dec-08,17.76
17-Dec-08,17.34
18-Dec-08,17.2
19-Dec-08,17.53
20-Dec-08,15.59
21-Dec-08,12.98
22-Dec-08,11.37
23-Dec-08,9.93
24-Dec-08,10.29
25-Dec-08,15.36
26-Dec-08,14.73
27-Dec-08,15.57
28-Dec-08,16.57
29-Dec-08,17.68
30-Dec-08,15.96
31-Dec-08,13.14
1-Jan-09,11.16
2-Jan-09,12.48
3-Jan-09,12.58
4-Jan-09,12.88
5-Jan-09,14.12
6-Jan-09,16.18
7-Jan-09,14.93
8-Jan-09,12.01
9-Jan-09,13.14
10-Jan-09,12.21
11-Jan-09,11.82
12-Jan-09,14.01
13-Jan-09,16.87
14-Jan-09,12.59
15-Jan-09,12.63
16-Jan-09,12.29
17-Jan-09,12.77
18-Jan-09,13.74
19-Jan-09,12.56
20-Jan-09,7.99
21-Jan-09,9.99
22-Jan-09,11.38
23-Jan-09,10.74
24-Jan-09,10.5
25-Jan-09,11.86
26-Jan-09,13.05
27-Jan-09,11.33
28-Jan-09,9.3
29-Jan-09,8.86
30-Jan-09,12.03
31-Jan-09,12.03
1-Feb-09,10.15
2-Feb-09,11.47
3-Feb-09,8.42
4-Feb-09,5.03
5-Feb-09,5.24
6-Feb-09,7.23
7-Feb-09,7.09
8-Feb-09,7.62
9-Feb-09,8.68
10-Feb-09,10.13
11-Feb-09,8.97
12-Feb-09,6.65
13-Feb-09,6.96
14-Feb-09,8.58
15-Feb-09,8.17
16-Feb-09,8.58
17-Feb-09,7.56
18-Feb-09,7.7
19-Feb-09,6.95
20-Feb-09,4.18
21-Feb-09,4.41
22-Feb-09,5.06
23-Feb-09,5.32
24-Feb-09,4.83
25-Feb-09,6.46
26-Feb-09,8.57
27-Feb-09,7.92
28-Feb-09,5.45
1-Mar-09,5.05
2-Mar-09,1.55
3-Mar-09,0.99
4-Mar-09,1.11
5-Mar-09,2.34
6-Mar-09,1.76
7-Mar-09,1.72
8-Mar-09,2.09
9-Mar-09,2.53
10-Mar-09,2.6
11-Mar-09,3.1
12-Mar-09,2.1
13-Mar-09,1.78
14-Mar-09,2.13
15-Mar-09,2.02
16-Mar-09,2.04
17-Mar-09,2.7
18-Mar-09,8.84
19-Mar-09,7.24
20-Mar-09,6.2
21-Mar-09,5.85
22-Mar-09,4.77
23-Mar-09,6.1
24-Mar-09,8.88
25-Mar-09,9.15
26-Mar-09,9.49
27-Mar-09,8.15
28-Mar-09,5.93
29-Mar-09,6.54
30-Mar-09,4.84
31-Mar-09,6.58
1-Apr-09,6.77
2-Apr-09,104.83
3-Apr-09,46.67
4-Apr-09,6.04
5-Apr-09,9.51
6-Apr-09,8.17
7-Apr-09,1.26
8-Apr-09,0
9-Apr-09,0
10-Apr-09,0
11-Apr-09,0
12-Apr-09,0
13-Apr-09,0
14-Apr-09,0.22
15-Apr-09,0
16-Apr-09,0
17-Apr-09,0
18-Apr-09,0
19-Apr-09,0
20-Apr-09,0
21-Apr-09,0
22-Apr-09,0
23-Apr-09,0
24-Apr-09,0
25-Apr-09,0
26-Apr-09,0
27-Apr-09,0
28-Apr-09,0
29-Apr-09,0
30-Apr-09,0
1-May-09,0
2-May-09,0
3-May-09,0
4-May-09,0
5-May-09,0
6-May-09,0
7-May-09,0
8-May-09,0
9-May-09,0
10-May-09,0
11-May-09,0
12-May-09,0
13-May-09,0
14-May-09,0
15-May-09,0
16-May-09,0
17-May-09,0
18-May-09,0
19-May-09,0.19
20-May-09,0
21-May-09,0.98
22-May-09,4.76
23-May-09,197.35
24-May-09,100.45
25-May-09,9.4
26-May-09,180.4
27-May-09,481.23
28-May-09,973.37
29-May-09,1040.9
30-May-09,1133.23
31-May-09,580.64
1-Jun-09,712.96
2-Jun-09,551.71
3-Jun-09,620.69
4-Jun-09,570.94
5-Jun-09,626.09
6-Jun-09,609.79
7-Jun-09,762.41
8-Jun-09,1294.28
9-Jun-09,1505.2
10-Jun-09,900.59
11-Jun-09,682.52
12-Jun-09,572.69
13-Jun-09,407.99
14-Jun-09,405.22
15-Jun-09,294.28
16-Jun-09,202.48
17-Jun-09,377.16
18-Jun-09,482.98
19-Jun-09,422.03
20-Jun-09,295.33
21-Jun-09,421.49
22-Jun-09,451.36
23-Jun-09,53.88
24-Jun-09,15.18
25-Jun-09,419.52
26-Jun-09,665.96
27-Jun-09,292.85
28-Jun-09,289.08
29-Jun-09,288.45
30-Jun-09,964.33
1-Jul-09,326.48
2-Jul-09,677.97
3-Jul-09,1290.12
4-Jul-09,1184.56
5-Jul-09,729.31
6-Jul-09,733.42
7-Jul-09,734.44
8-Jul-09,648.11
9-Jul-09,379.91
10-Jul-09,311.28
11-Jul-09,630.84
12-Jul-09,911.41
13-Jul-09,483.17
14-Jul-09,481.42
15-Jul-09,843.42
16-Jul-09,633.39
17-Jul-09,26.53
18-Jul-09,314.79
19-Jul-09,308.05
20-Jul-09,330.53
21-Jul-09,148.24
22-Jul-09,186.93
23-Jul-09,303.24
24-Jul-09,311.92
25-Jul-09,308.44
26-Jul-09,304.37
27-Jul-09,458.66
28-Jul-09,1754.97
29-Jul-09,1296.97
30-Jul-09,967.5
31-Jul-09,999.89
1-Aug-09,1003.97
2-Aug-09,1000.28
3-Aug-09,1274.51
4-Aug-09,772.05
5-Aug-09,639.66
6-Aug-09,951.58
7-Aug-09,1276.18
8-Aug-09,1223.33
9-Aug-09,865.09
10-Aug-09,628.39
11-Aug-09,626.75
12-Aug-09,443.55
13-Aug-09,330
14-Aug-09,314.96
15-Aug-09,845.56
16-Aug-09,1366.72
17-Aug-09,948.11
18-Aug-09,784.48
19-Aug-09,775.79
20-Aug-09,546.4
21-Aug-09,559.25
22-Aug-09,698.94
23-Aug-09,393.02
24-Aug-09,477.45
25-Aug-09,1140.11
26-Aug-09,1109.44
27-Aug-09,762.76
28-Aug-09,573.26
29-Aug-09,702.95
30-Aug-09,883.88
31-Aug-09,1175.12
1-Sep-09,1375.38
2-Sep-09,1711.03
3-Sep-09,2007.29
4-Sep-09,1618.97
5-Sep-09,1236.08
6-Sep-09,910.04
7-Sep-09,991.49
8-Sep-09,1133.5
9-Sep-09,1035.1
10-Sep-09,925.19
11-Sep-09,1178.91
12-Sep-09,1163.56
13-Sep-09,1369.51
14-Sep-09,850.47
15-Sep-09,1133.82
16-Sep-09,1208.38
17-Sep-09,358.33
18-Sep-09,125.08
19-Sep-09,122.9
20-Sep-09,665.35
21-Sep-09,534.73
22-Sep-09,421.55
23-Sep-09,425.11
24-Sep-09,423.96
25-Sep-09,113.94
26-Sep-09,15.36
27-Sep-09,15.99
28-Sep-09,184.34
29-Sep-09,238.35
30-Sep-09,198.15
1-Oct-09,197.41
2-Oct-09,195.11
3-Oct-09,97.98
4-Oct-09,12.62
5-Oct-09,12.86
6-Oct-09,13.51
7-Oct-09,14.59
8-Oct-09,14.48
9-Oct-09,15.7
10-Oct-09,15.44
11-Oct-09,15.65
12-Oct-09,16.22
13-Oct-09,16.19
14-Oct-09,15.22
15-Oct-09,12.73
16-Oct-09,11.91
17-Oct-09,14.91
18-Oct-09,10.07
19-Oct-09,8.49
20-Oct-09,10.14
21-Oct-09,10.21
22-Oct-09,11.92
23-Oct-09,11.25
24-Oct-09,11.88
25-Oct-09,12.12
26-Oct-09,11.65
27-Oct-09,10.39
28-Oct-09,9.13
29-Oct-09,9.57
30-Oct-09,8.21
31-Oct-09,7.54
1-Nov-09,8.22
2-Nov-09,9.67
3-Nov-09,10.96
4-Nov-09,9.51
5-Nov-09,53.1
6-Nov-09,8.01
7-Nov-09,7.37
8-Nov-09,7.29
9-Nov-09,7.22
10-Nov-09,8.82
11-Nov-09,9.34
12-Nov-09,8.4
13-Nov-09,6.23
14-Nov-09,6.53
15-Nov-09,7.43
16-Nov-09,8.21
17-Nov-09,8.64
18-Nov-09,11.03
19-Nov-09,15.14
20-Nov-09,13.07
21-Nov-09,9.14
22-Nov-09,9.62
23-Nov-09,9.83
24-Nov-09,10.13
25-Nov-09,11.38
26-Nov-09,10.53
27-Nov-09,9.49
28-Nov-09,10.04
29-Nov-09,10.62
30-Nov-09,12.02
1-Dec-09,12.31
2-Dec-09,10.69
3-Dec-09,10.12
4-Dec-09,10.34
5-Dec-09,15.31
6-Dec-09,12.37
7-Dec-09,12.96
8-Dec-09,13.65
9-Dec-09,13.5
10-Dec-09,13.92
11-Dec-09,13.84
12-Dec-09,13.45
13-Dec-09,15.1
14-Dec-09,13.66
15-Dec-09,12.52
16-Dec-09,9.34
17-Dec-09,355.26
18-Dec-09,3606.09
19-Dec-09,3493.22
20-Dec-09,2182.86
21-Dec-09,1126.68
22-Dec-09,1463.4
23-Dec-09,821.62
24-Dec-09,353.3
25-Dec-09,765.03
26-Dec-09,473.81
27-Dec-09,243.1
28-Dec-09,247.84
29-Dec-09,329.51
30-Dec-09,232.27
31-Dec-09,253.79
1-Jan-10,356.58
2-Jan-10,383.92
3-Jan-10,184.73
4-Jan-10,136.34
5-Jan-10,21.46
6-Jan-10,20.64
7-Jan-10,20.64
8-Jan-10,20.05
9-Jan-10,17.64
10-Jan-10,13.3
11-Jan-10,11.64
12-Jan-10,13.16
13-Jan-10,19.07
14-Jan-10,245.94
15-Jan-10,194.11
16-Jan-10,22.66
17-Jan-10,23.54
18-Jan-10,22.08
19-Jan-10,25.75
20-Jan-10,31.18
21-Jan-10,35.76
22-Jan-10,37.46
23-Jan-10,35.09
24-Jan-10,32.22
25-Jan-10,40.97
26-Jan-10,46.62
27-Jan-10,50.85
28-Jan-10,50.56
29-Jan-10,44.69
30-Jan-10,49
