Date,Stage_LO,Storage,Cut_back,P_Load_Cal,P_Load_StL,P_Load_South
2008-01-31,312.5354951503511,64041003.53197564,13300.45857142857,0.0,0.0,0.0
2008-02-29,289.4028248564682,58951321.871350825,13971.41142857143,0.0,0.0,0.0
2008-03-31,311.32286426368364,63648842.79430347,0.0,0.0,0.0,0.0
2008-04-30,306.01794981649317,63144560.54792821,20468.475714285712,0.0,0.0,0.0
2008-05-31,292.7861852575483,57872717.429839976,120152.83428571427,0.0,0.0,0.0
2008-06-30,260.52710608397484,49160745.44820192,42166.228571428575,0.0,0.0,0.0
2008-07-31,296.6822847659982,59089443.399420686,0.0,0.0,0.0,0.0
2008-08-31,356.71889569775954,79790791.96473895,0.0,0.0,0.0,0.0
2008-09-30,444.3895096801434,116870510.85082214,0.0,0.0,0.0,7.862836621911083
2008-10-31,464.9183897680489,123336225.3319993,0.0,0.0,0.0,8.053039368969092
2008-11-30,438.4334514567536,114190160.78677331,0.0,1.5979703609643265,0.3708307827664633,3.4434159438686645
2008-12-31,441.84238690078035,112913128.4267558,0.0,5.900351255773911,2.898519149732081,3.3870420392992555
2009-01-31,426.5634435775974,106218163.31801774,0.0,7.247887718374176,1.677575158701473,1.8440606192824498
2009-02-28,369.3520479157672,89271048.51196183,0.0,2.4368934640562534,3.4685361617376342,3.1282048400726903
2009-03-31,387.0163548506008,90178312.97233193,0.0,2.394576838922785,3.8534413402615573,0.0
2009-04-30,351.50480769413576,78660895.65459736,0.0,0.0,0.0,0.0
2009-05-31,338.1398091113652,72456987.96683297,0.0,0.0,0.0,0.0
2009-06-30,355.22090041830467,79989875.8414918,0.0,0.0,0.0,0.0
2009-07-31,407.5470371975183,98322462.93994685,0.0,0.0,0.0,0.0
2009-08-31,430.2662221083914,107784345.34329686,0.0,0.0,0.0,3.0369439553691975
2009-09-30,432.5649938618915,111538121.78989483,0.0,0.0,0.0,2.9463322050560152
2009-10-31,441.54754087448805,112779463.39377452,0.0,0.0,0.0,2.0322741818097887
2009-11-30,407.58037486728034,100595972.81118909,0.0,3.2817072000482796,0.761564844713293,2.4220970368516124
2009-12-31,413.17502385343454,100601159.97073564,0.0,4.789235052992271,2.3732042348373628,8.380786620826674
2010-01-31,401.9523276736352,95965681.02554122,0.0,9.142888968135814,2.0977311546834154,10.054067150951743
2010-02-28,360.16860118081934,85545080.05579622,0.0,2.8922315175824744,4.058965915149818,5.249066621576052
2010-03-31,412.16970392692946,100231332.88869764,0.0,3.016533490287036,4.848737180735611,3.443090665665886
2010-04-30,428.2149707802574,109551864.43716496,0.0,0.203190849127129,0.44135183319606747,3.067902782785544
2010-05-31,453.1556438717556,118049842.56360061,0.0,0.0013161028752988599,0.009348004904472866,1.9601960717277438
2010-06-30,439.4884260335536,114667147.56422749,0.0,0.0,0.0,1.9969801718275828
2010-07-31,457.7295522730428,120107487.56068188,0.0,0.0,0.0,1.6632149012129007
2010-08-31,458.76222554072876,120573001.49332799,0.0,0.0,0.0,1.6709012787718684
2010-09-30,451.1170719296121,119886588.40676136,0.0,0.0,0.0,0.29928945045092964
2010-10-31,455.7482215036923,119214885.6214629,0.0,0.0,0.0,1.6832286155660152
2010-11-30,424.20342876391805,107746148.35686228,0.0,3.6885738559085715,0.8559837927488463,2.7007808653737686
2010-12-31,393.5190254870621,97041519.863875,0.0,3.321584332005369,1.6083228106081933,0.0
