Date,TP_Loads_In_mg,Atm_Loading_mg
4/15/2008,622872318.1,95890410.96
4/16/2008,464285565.1,95890410.96
4/17/2008,458764414.9,95890410.96
4/18/2008,454905075.3,95890410.96
4/19/2008,433977657.8,95890410.96
4/20/2008,399083335.5,95890410.96
4/21/2008,349318330.8,95890410.96
4/22/2008,330861232,95890410.96
4/23/2008,329130468.6,95890410.96
4/24/2008,296238443.3,95890410.96
4/25/2008,275805069.1,95890410.96
4/26/2008,230750699.2,95890410.96
4/27/2008,223879096.7,95890410.96
4/28/2008,127204138.2,95890410.96
4/29/2008,191330489.5,95890410.96
4/30/2008,168884989.6,95890410.96
5/1/2008,134294036.6,95890410.96
5/2/2008,123305525.3,95890410.96
5/3/2008,109422425.5,95890410.96
5/4/2008,96730656.63,95890410.96
5/5/2008,72260066.99,95890410.96
5/6/2008,73573142.57,95890410.96
5/7/2008,152458734.5,95890410.96
5/8/2008,96933609.5,95890410.96
5/9/2008,81160620.87,95890410.96
5/10/2008,131820741,95890410.96
5/11/2008,167901704.2,95890410.96
5/12/2008,80620243.25,95890410.96
5/13/2008,109612556.1,95890410.96
5/14/2008,91600685.58,95890410.96
5/15/2008,52153760.22,95890410.96
5/16/2008,49931826.91,95890410.96
5/17/2008,65436570.38,95890410.96
5/18/2008,67971133.2,95890410.96
5/19/2008,52235293.15,95890410.96
5/20/2008,62832108.54,95890410.96
5/21/2008,66964566.88,95890410.96
5/22/2008,42094241.01,95890410.96
5/23/2008,56480046.91,95890410.96
5/24/2008,82840110,95890410.96
5/25/2008,78754148.57,95890410.96
5/26/2008,71365420.45,95890410.96
5/27/2008,78087002.28,95890410.96
5/28/2008,64455693.36,95890410.96
5/29/2008,25417302.1,95890410.96
5/30/2008,31219946.71,95890410.96
5/31/2008,18384337.6,95890410.96
6/1/2008,33046752.22,95890410.96
6/2/2008,46465661.59,95890410.96
6/3/2008,33609048.64,95890410.96
6/4/2008,38942142.98,95890410.96
6/5/2008,39560413.6,95890410.96
6/6/2008,60293075.98,95890410.96
6/7/2008,43697586.91,95890410.96
6/8/2008,31848297.13,95890410.96
6/9/2008,17666722.03,95890410.96
6/10/2008,35481313.32,95890410.96
6/11/2008,65670980.51,95890410.96
6/12/2008,39565016.66,95890410.96
6/13/2008,36710866.08,95890410.96
6/14/2008,69010955.25,95890410.96
6/15/2008,65121108.09,95890410.96
6/16/2008,35289273.59,95890410.96
6/17/2008,67458815.93,95890410.96
6/18/2008,43506229.67,95890410.96
6/19/2008,134539965.5,95890410.96
6/20/2008,108136617.7,95890410.96
6/21/2008,233076008.4,95890410.96
6/22/2008,96263075.95,95890410.96
6/23/2008,346631521.2,95890410.96
6/24/2008,244856330.2,95890410.96
6/25/2008,229552028.8,95890410.96
6/26/2008,442134056.7,95890410.96
6/27/2008,675518790.5,95890410.96
6/28/2008,657284673.5,95890410.96
6/29/2008,818953745.4,95890410.96
6/30/2008,1150294504,95890410.96
7/1/2008,912611508.1,95890410.96
7/2/2008,1330647668,95890410.96
7/3/2008,2501004568,95890410.96
7/4/2008,2267041935,95890410.96
7/5/2008,1489637228,95890410.96
7/6/2008,1376705398,95890410.96
7/7/2008,2293784202,95890410.96
7/8/2008,2574407185,95890410.96
7/9/2008,1851296445,95890410.96
7/10/2008,1603694212,95890410.96
7/11/2008,960541813.1,95890410.96
7/12/2008,850356196.5,95890410.96
7/13/2008,2539932929,95890410.96
7/14/2008,2464099329,95890410.96
7/15/2008,2806483349,95890410.96
7/16/2008,3593437365,95890410.96
7/17/2008,3688161178,95890410.96
7/18/2008,3536542728,95890410.96
7/19/2008,3017167154,95890410.96
7/20/2008,2745366921,95890410.96
7/21/2008,2776241142,95890410.96
7/22/2008,2843639474,95890410.96
7/23/2008,4001104534,95890410.96
7/24/2008,4349115966,95890410.96
7/25/2008,4416033696,95890410.96
7/26/2008,3991654580,95890410.96
7/27/2008,3460452617,95890410.96
7/28/2008,3526070520,95890410.96
7/29/2008,2943808585,95890410.96
7/30/2008,3142957713,95890410.96
7/31/2008,2575796701,95890410.96
8/1/2008,2611812742,95890410.96
8/2/2008,2785248208,95890410.96
8/3/2008,2933094850,95890410.96
8/4/2008,2841293940,95890410.96
8/5/2008,3070862017,95890410.96
8/6/2008,3177466005,95890410.96
8/7/2008,2283207660,95890410.96
8/8/2008,2683419801,95890410.96
8/9/2008,2234542458,95890410.96
8/10/2008,2329973638,95890410.96
8/11/2008,1701524821,95890410.96
8/12/2008,1315197974,95890410.96
8/13/2008,1251320363,95890410.96
8/14/2008,1147409777,95890410.96
8/15/2008,1313545806,95890410.96
8/16/2008,1273050560,95890410.96
8/17/2008,1126235636,95890410.96
8/18/2008,1624250940,95890410.96
8/19/2008,8856085561,95890410.96
8/20/2008,22513621652,95890410.96
8/21/2008,24928189368,95890410.96
8/22/2008,25595755290,95890410.96
8/23/2008,25044550689,95890410.96
8/24/2008,26270131389,95890410.96
8/25/2008,24736966214,95890410.96
8/26/2008,23332408271,95890410.96
8/27/2008,20061777264,95890410.96
8/28/2008,21911104968,95890410.96
8/29/2008,19803011464,95890410.96
8/30/2008,16977510084,95890410.96
8/31/2008,15995023802,95890410.96
9/1/2008,14043938961,95890410.96
9/2/2008,11790997308,95890410.96
9/3/2008,10042650651,95890410.96
9/4/2008,8142239652,95890410.96
9/5/2008,8408055758,95890410.96
9/6/2008,7587483100,95890410.96
9/7/2008,5540012290,95890410.96
9/8/2008,4678724444,95890410.96
9/9/2008,4319862928,95890410.96
9/10/2008,3794313114,95890410.96
9/11/2008,2988814191,95890410.96
9/12/2008,2420725809,95890410.96
9/13/2008,2617891413,95890410.96
9/14/2008,1869147516,95890410.96
9/15/2008,1470002521,95890410.96
9/16/2008,1459577853,95890410.96
9/17/2008,1632935666,95890410.96
9/18/2008,1505017775,95890410.96
9/19/2008,671030421.5,95890410.96
9/20/2008,701996603.3,95890410.96
9/21/2008,879884097.7,95890410.96
9/22/2008,1314587607,95890410.96
9/23/2008,1522333141,95890410.96
9/24/2008,970290845.9,95890410.96
9/25/2008,873009107.3,95890410.96
9/26/2008,285681738.2,95890410.96
9/27/2008,370836862.4,95890410.96
9/28/2008,392280183.9,95890410.96
9/29/2008,394356920.8,95890410.96
9/30/2008,1040240967,95890410.96
10/1/2008,1059600887,95890410.96
10/2/2008,905401964.1,95890410.96
10/3/2008,829656777.1,95890410.96
10/4/2008,864347853,95890410.96
10/5/2008,482911176,95890410.96
10/6/2008,916717143.4,95890410.96
10/7/2008,1454796400,95890410.96
10/8/2008,851028786.2,95890410.96
10/9/2008,1174276173,95890410.96
10/10/2008,2077280055,95890410.96
10/11/2008,2360581615,95890410.96
10/12/2008,1534605977,95890410.96
10/13/2008,1381011714,95890410.96
10/14/2008,1104902502,95890410.96
10/15/2008,991558156.3,95890410.96
10/16/2008,720735295.8,95890410.96
10/17/2008,543829346.5,95890410.96
10/18/2008,414851638.8,95890410.96
10/19/2008,320897822.6,95890410.96
10/20/2008,348897419.6,95890410.96
10/21/2008,317830288.5,95890410.96
10/22/2008,339447653.2,95890410.96
10/23/2008,149062012.1,95890410.96
10/24/2008,207766269,95890410.96
10/25/2008,128924615.5,95890410.96
10/26/2008,264555822.2,95890410.96
10/27/2008,183611915.5,95890410.96
10/28/2008,168305905.7,95890410.96
10/29/2008,73264111.55,95890410.96
10/30/2008,59113165.65,95890410.96
10/31/2008,160633188.8,95890410.96
11/1/2008,14963990.02,95890410.96
11/2/2008,157292707.2,95890410.96
11/3/2008,32438711.86,95890410.96
11/4/2008,115874455.9,95890410.96
11/5/2008,132296813.9,95890410.96
11/6/2008,35992068.36,95890410.96
11/7/2008,133957859.1,95890410.96
11/8/2008,32954454.87,95890410.96
11/9/2008,128608688.4,95890410.96
11/10/2008,43064832.51,95890410.96
11/11/2008,30113407.24,95890410.96
11/12/2008,69501779.65,95890410.96
11/13/2008,99751854.22,95890410.96
11/14/2008,159715049.5,95890410.96
11/15/2008,49849200.46,95890410.96
11/16/2008,46082552.7,95890410.96
11/17/2008,46880055.95,95890410.96
11/18/2008,23609834.12,95890410.96
11/19/2008,31266550.45,95890410.96
11/20/2008,18810286.39,95890410.96
11/21/2008,91784707.62,95890410.96
11/22/2008,25397813.37,95890410.96
11/23/2008,22633508.06,95890410.96
11/24/2008,18264280.63,95890410.96
11/25/2008,14457246.12,95890410.96
11/26/2008,15764705.26,95890410.96
11/27/2008,16415056.16,95890410.96
11/28/2008,31046040.6,95890410.96
11/29/2008,12661125.01,95890410.96
11/30/2008,112210717.8,95890410.96
12/1/2008,18975293.05,95890410.96
12/2/2008,41864137.1,95890410.96
12/3/2008,24192252.79,95890410.96
12/4/2008,68767276.77,95890410.96
12/5/2008,98719993.57,95890410.96
12/6/2008,16112975.29,95890410.96
12/7/2008,22406826.71,95890410.96
12/8/2008,30601808.01,95890410.96
12/9/2008,30959136.05,95890410.96
12/10/2008,17782677.47,95890410.96
12/11/2008,108285983.9,95890410.96
12/12/2008,101677235.4,95890410.96
12/13/2008,178421157.3,95890410.96
12/14/2008,140319440,95890410.96
12/15/2008,43762270.78,95890410.96
12/16/2008,32451622.71,95890410.96
12/17/2008,85648493.47,95890410.96
12/18/2008,39467150.13,95890410.96
12/19/2008,40723582.02,95890410.96
12/20/2008,89082695.61,95890410.96
12/21/2008,50903793.3,95890410.96
12/22/2008,50320851.27,95890410.96
12/23/2008,33816350.51,95890410.96
12/24/2008,62848316.74,95890410.96
12/25/2008,57485233.72,95890410.96
12/26/2008,92876715.82,95890410.96
12/27/2008,57091462.56,95890410.96
12/28/2008,53312447.67,95890410.96
12/29/2008,50428279.4,95890410.96
12/30/2008,30117856.14,95890410.96
12/31/2008,56985064.62,95890410.96
1/1/2009,54018793.62,95890410.96
1/2/2009,32918008.65,95890410.96
1/3/2009,31857668.44,95890410.96
1/4/2009,20681974.4,95890410.96
1/5/2009,36402008.66,95890410.96
1/6/2009,42330955.32,95890410.96
1/7/2009,66341347.05,95890410.96
1/8/2009,44838013.43,95890410.96
1/9/2009,23686124.55,95890410.96
1/10/2009,40466822.88,95890410.96
1/11/2009,47198632.61,95890410.96
1/12/2009,53747628.56,95890410.96
1/13/2009,41828440.31,95890410.96
1/14/2009,55117163.43,95890410.96
1/15/2009,8421917.159,95890410.96
1/16/2009,57249098.71,95890410.96
1/17/2009,23073247.02,95890410.96
1/18/2009,30204402.9,95890410.96
1/19/2009,52967817.95,95890410.96
1/20/2009,24055196.58,95890410.96
1/21/2009,25005225.52,95890410.96
1/22/2009,23474076.72,95890410.96
1/23/2009,22114882.41,95890410.96
1/24/2009,88298989.57,95890410.96
1/25/2009,120424758.2,95890410.96
1/26/2009,54599931.59,95890410.96
1/27/2009,25369782.61,95890410.96
1/28/2009,61559004.83,95890410.96
1/29/2009,22933236.99,95890410.96
1/30/2009,37884264.68,95890410.96
1/31/2009,135024203.4,95890410.96
2/1/2009,20099126.15,95890410.96
2/2/2009,28236948.96,95890410.96
2/3/2009,67666837.22,95890410.96
2/4/2009,7617559.734,95890410.96
2/5/2009,1027339.792,95890410.96
2/6/2009,4405933.047,95890410.96
2/7/2009,51858458.51,95890410.96
2/8/2009,42300200.83,95890410.96
2/9/2009,24412971.3,95890410.96
2/10/2009,26521577.82,95890410.96
2/11/2009,16315343.79,95890410.96
2/12/2009,16058946.85,95890410.96
2/13/2009,31409688.91,95890410.96
2/14/2009,23496617.96,95890410.96
2/15/2009,57967594.18,95890410.96
2/16/2009,11059230.92,95890410.96
2/17/2009,18228490.72,95890410.96
2/18/2009,53246291.58,95890410.96
2/19/2009,25025923.41,95890410.96
2/20/2009,20151042.99,95890410.96
2/21/2009,33071986.89,95890410.96
2/22/2009,18968927.59,95890410.96
2/23/2009,24960411.1,95890410.96
2/24/2009,19083013.15,95890410.96
2/25/2009,23345346.19,95890410.96
2/26/2009,24847060.56,95890410.96
2/27/2009,22129853.78,95890410.96
2/28/2009,21721955.94,95890410.96
3/1/2009,23571830.25,95890410.96
3/2/2009,18088957.39,95890410.96
3/3/2009,10054322.91,95890410.96
3/4/2009,18124016.62,95890410.96
3/5/2009,20153571.83,95890410.96
3/6/2009,9969734.209,95890410.96
3/7/2009,18092461.07,95890410.96
3/8/2009,18692586.76,95890410.96
3/9/2009,12663251.39,95890410.96
3/10/2009,19648928.79,95890410.96
3/11/2009,20385678.24,95890410.96
3/12/2009,20360183.4,95890410.96
3/13/2009,19028440.58,95890410.96
3/14/2009,17656818.59,95890410.96
3/15/2009,17132830.16,95890410.96
3/16/2009,11304176.93,95890410.96
3/17/2009,16373444.72,95890410.96
3/18/2009,27192911.33,95890410.96
3/19/2009,39159849.88,95890410.96
3/20/2009,80408603.31,95890410.96
3/21/2009,52649442.37,95890410.96
3/22/2009,26190940.66,95890410.96
3/23/2009,21391545.85,95890410.96
3/24/2009,11810277.24,95890410.96
3/25/2009,28138565.22,95890410.96
3/26/2009,22746057.6,95890410.96
3/27/2009,8889352.684,95890410.96
3/28/2009,14441142.72,95890410.96
3/29/2009,70668782.05,95890410.96
3/30/2009,95464308.1,95890410.96
3/31/2009,34403843.21,95890410.96
4/1/2009,74228612.8,95890410.96
4/2/2009,24667206.45,95890410.96
4/3/2009,28564014.04,95890410.96
4/4/2009,29788825.62,95890410.96
4/5/2009,27415539.35,95890410.96
4/6/2009,38921969.38,95890410.96
4/7/2009,20253367.55,95890410.96
4/8/2009,34242613.87,95890410.96
4/9/2009,35446172.79,95890410.96
4/10/2009,8937200.697,95890410.96
4/11/2009,28258950.66,95890410.96
4/12/2009,28037250,95890410.96
4/13/2009,27008784.43,95890410.96
4/14/2009,25756904.26,95890410.96
4/15/2009,118938954.7,95890410.96
4/16/2009,57048442.1,95890410.96
4/17/2009,46914568.38,95890410.96
4/18/2009,61559769.13,95890410.96
4/19/2009,39807666.28,95890410.96
4/20/2009,9079036.342,95890410.96
4/21/2009,29798917.08,95890410.96
4/22/2009,63096253.8,95890410.96
4/23/2009,48098995.45,95890410.96
4/24/2009,18391074.95,95890410.96
4/25/2009,35064932.06,95890410.96
4/26/2009,17879574.1,95890410.96
4/27/2009,28756697.38,95890410.96
4/28/2009,37179315.99,95890410.96
4/29/2009,15162896.61,95890410.96
4/30/2009,20152488.16,95890410.96
5/1/2009,47401151.82,95890410.96
5/2/2009,66341635.83,95890410.96
5/3/2009,65035159.79,95890410.96
5/4/2009,52695357.61,95890410.96
5/5/2009,63112761.42,95890410.96
5/6/2009,70458929.2,95890410.96
5/7/2009,56019376.95,95890410.96
5/8/2009,62076629.17,95890410.96
5/9/2009,57967177.81,95890410.96
5/10/2009,40738432.6,95890410.96
5/11/2009,26003122.43,95890410.96
5/12/2009,29258208.82,95890410.96
5/13/2009,38759530.58,95890410.96
5/14/2009,63548593.99,95890410.96
5/15/2009,56132590.13,95890410.96
5/16/2009,70473131.58,95890410.96
5/17/2009,24834707.8,95890410.96
5/18/2009,123151181.2,95890410.96
5/19/2009,352886079.9,95890410.96
5/20/2009,436532590.7,95890410.96
5/21/2009,533167200.9,95890410.96
5/22/2009,438430550.8,95890410.96
5/23/2009,433790182.7,95890410.96
5/24/2009,482781172.4,95890410.96
5/25/2009,410013004.3,95890410.96
5/26/2009,716687207.7,95890410.96
5/27/2009,934616590.7,95890410.96
5/28/2009,1516554724,95890410.96
5/29/2009,2854622790,95890410.96
5/30/2009,3142460434,95890410.96
5/31/2009,2976365132,95890410.96
6/1/2009,3108557821,95890410.96
6/2/2009,3251274177,95890410.96
6/3/2009,1159038522,95890410.96
6/4/2009,2632390797,95890410.96
6/5/2009,2743721095,95890410.96
6/6/2009,3185791761,95890410.96
6/7/2009,2433973752,95890410.96
6/8/2009,2593653210,95890410.96
6/9/2009,2974450516,95890410.96
6/10/2009,2990759149,95890410.96
6/11/2009,2059380923,95890410.96
6/12/2009,1941328302,95890410.96
6/13/2009,2116910190,95890410.96
6/14/2009,1961573136,95890410.96
6/15/2009,1643295715,95890410.96
6/16/2009,1861623305,95890410.96
6/17/2009,2702803973,95890410.96
6/18/2009,2886350273,95890410.96
6/19/2009,2961421645,95890410.96
6/20/2009,2694216560,95890410.96
6/21/2009,2338222558,95890410.96
6/22/2009,2245387806,95890410.96
6/23/2009,2226006749,95890410.96
6/24/2009,2436869360,95890410.96
6/25/2009,2474003412,95890410.96
6/26/2009,2222295523,95890410.96
6/27/2009,2040778141,95890410.96
6/28/2009,1460629937,95890410.96
6/29/2009,1682104511,95890410.96
6/30/2009,2825808044,95890410.96
7/1/2009,3555609046,95890410.96
7/2/2009,4407352963,95890410.96
7/3/2009,5781424881,95890410.96
7/4/2009,5286167980,95890410.96
7/5/2009,6075825332,95890410.96
7/6/2009,6719029842,95890410.96
7/7/2009,5552454328,95890410.96
7/8/2009,4615809429,95890410.96
7/9/2009,3823456849,95890410.96
7/10/2009,3610949015,95890410.96
7/11/2009,3022786489,95890410.96
7/12/2009,4510031824,95890410.96
7/13/2009,4307281220,95890410.96
7/14/2009,3608017709,95890410.96
7/15/2009,3198554130,95890410.96
7/16/2009,2800844090,95890410.96
7/17/2009,2297829017,95890410.96
7/18/2009,2181511632,95890410.96
7/19/2009,1678793277,95890410.96
7/20/2009,1975808005,95890410.96
7/21/2009,1833476506,95890410.96
7/22/2009,1607397516,95890410.96
7/23/2009,1402834298,95890410.96
7/24/2009,1357729827,95890410.96
7/25/2009,1422085107,95890410.96
7/26/2009,1240721260,95890410.96
7/27/2009,2451742462,95890410.96
7/28/2009,2077676557,95890410.96
7/29/2009,1941994288,95890410.96
7/30/2009,1708502593,95890410.96
7/31/2009,1824998245,95890410.96
8/1/2009,1625152412,95890410.96
8/2/2009,1222486902,95890410.96
8/3/2009,1243577424,95890410.96
8/4/2009,2115076203,95890410.96
8/5/2009,1957800518,95890410.96
8/6/2009,1624061538,95890410.96
8/7/2009,2066283463,95890410.96
8/8/2009,2429317155,95890410.96
8/9/2009,2252535367,95890410.96
8/10/2009,2024842620,95890410.96
8/11/2009,1728453655,95890410.96
8/12/2009,1776616040,95890410.96
8/13/2009,1446501487,95890410.96
8/14/2009,1345462241,95890410.96
8/15/2009,1396664572,95890410.96
8/16/2009,1150874154,95890410.96
8/17/2009,929919992.2,95890410.96
8/18/2009,676887004.4,95890410.96
8/19/2009,707686497.5,95890410.96
8/20/2009,572244259,95890410.96
8/21/2009,489812263.1,95890410.96
8/22/2009,442654042.7,95890410.96
8/23/2009,466243851.8,95890410.96
8/24/2009,603852923.3,95890410.96
8/25/2009,667941476.7,95890410.96
8/26/2009,857438414,95890410.96
8/27/2009,936098326.8,95890410.96
8/28/2009,627845407.7,95890410.96
8/29/2009,535326101.3,95890410.96
8/30/2009,550400947.1,95890410.96
8/31/2009,661421192,95890410.96
9/1/2009,1094261799,95890410.96
9/2/2009,1135011394,95890410.96
9/3/2009,2345207542,95890410.96
9/4/2009,2310472334,95890410.96
9/5/2009,1839561323,95890410.96
9/6/2009,1675006614,95890410.96
9/7/2009,1819528564,95890410.96
9/8/2009,1945288288,95890410.96
9/9/2009,1465951326,95890410.96
9/10/2009,1399809580,95890410.96
9/11/2009,1903297841,95890410.96
9/12/2009,1715300632,95890410.96
9/13/2009,1397171241,95890410.96
