Date,TP_Loads_In_mg,Atm_Loading_mg
8/10/2016,1208102720,95890410.96
8/11/2016,1102132397,95890410.96
8/12/2016,1035282234,95890410.96
8/13/2016,833267755.2,95890410.96
8/14/2016,769397822.5,95890410.96
8/15/2016,847874600,95890410.96
8/16/2016,671681904.3,95890410.96
8/17/2016,504915679.2,95890410.96
8/18/2016,599652170.2,95890410.96
8/19/2016,523657886,95890410.96
8/20/2016,506101777.6,95890410.96
8/21/2016,472461885.1,95890410.96
8/22/2016,590294062.7,95890410.96
8/23/2016,572629100.9,95890410.96
8/24/2016,561782823.8,95890410.96
8/25/2016,886205567.8,95890410.96
8/26/2016,902336324.1,95890410.96
8/27/2016,1017163690,95890410.96
8/28/2016,1075868520,95890410.96
8/29/2016,1097118509,95890410.96
8/30/2016,1237303318,95890410.96
8/31/2016,1499401744,95890410.96
9/1/2016,3885442285,95890410.96
9/2/2016,4165725637,95890410.96
9/3/2016,3944607936,95890410.96
9/4/2016,4951970753,95890410.96
9/5/2016,5042803798,95890410.96
9/6/2016,5572843954,95890410.96
9/7/2016,4723217768,95890410.96
9/8/2016,4159004505,95890410.96
9/9/2016,3668463359,95890410.96
9/10/2016,3412556412,95890410.96
9/11/2016,3325957367,95890410.96
9/12/2016,3084358290,95890410.96
9/13/2016,2769154439,95890410.96
9/14/2016,2898081044,95890410.96
9/15/2016,2849031610,95890410.96
9/16/2016,2682427227,95890410.96
9/17/2016,2912723508,95890410.96
9/18/2016,3732007599,95890410.96
9/19/2016,3996548433,95890410.96
9/20/2016,4838423434,95890410.96
9/21/2016,3984697598,95890410.96
9/22/2016,4034201690,95890410.96
9/23/2016,3356013958,95890410.96
9/24/2016,3100886590,95890410.96
9/25/2016,2844819369,95890410.96
9/26/2016,2807339063,95890410.96
9/27/2016,3809580934,95890410.96
9/28/2016,3318864071,95890410.96
9/29/2016,3636147671,95890410.96
9/30/2016,4049491850,95890410.96
10/1/2016,3588330485,95890410.96
10/2/2016,2989147868,95890410.96
10/3/2016,3300294037,95890410.96
10/4/2016,4089436656,95890410.96
10/5/2016,5801310714,95890410.96
10/6/2016,5367556870,95890410.96
10/7/2016,6248416786,95890410.96
10/8/2016,5510950618,95890410.96
10/9/2016,4006089096,95890410.96
10/10/2016,3423181493,95890410.96
10/11/2016,2753771308,95890410.96
10/12/2016,2614514342,95890410.96
10/13/2016,2146472639,95890410.96
10/14/2016,2041731714,95890410.96
10/15/2016,1529451105,95890410.96
10/16/2016,1475838230,95890410.96
10/17/2016,1401426193,95890410.96
10/18/2016,1099288099,95890410.96
10/19/2016,1163249798,95890410.96
10/20/2016,846377325.3,95890410.96
10/21/2016,869129314.7,95890410.96
10/22/2016,808599214.5,95890410.96
10/23/2016,678036031.7,95890410.96
10/24/2016,601519027.5,95890410.96
10/25/2016,443119934.9,95890410.96
10/26/2016,447221874.7,95890410.96
10/27/2016,412839849.8,95890410.96
10/28/2016,338980730.3,95890410.96
10/29/2016,397456563.1,95890410.96
10/30/2016,345304376.7,95890410.96
10/31/2016,326041365.3,95890410.96
11/1/2016,288321343.6,95890410.96
11/2/2016,244850356.3,95890410.96
11/3/2016,313175601.5,95890410.96
11/4/2016,229321100.7,95890410.96
11/5/2016,332050451.7,95890410.96
11/6/2016,286456980.4,95890410.96
11/7/2016,234125172.8,95890410.96
11/8/2016,204931347.9,95890410.96
11/9/2016,251126852,95890410.96
11/10/2016,191164125.8,95890410.96
11/11/2016,229901083.5,95890410.96
11/12/2016,190782590,95890410.96
11/13/2016,167155256.9,95890410.96
11/14/2016,188564067,95890410.96
11/15/2016,160085784.6,95890410.96
11/16/2016,152779398.1,95890410.96
11/17/2016,151579492.8,95890410.96
11/18/2016,144518484.4,95890410.96
11/19/2016,144092457.9,95890410.96
11/20/2016,128634106.7,95890410.96
11/21/2016,127119563.7,95890410.96
11/22/2016,131752753.9,95890410.96
11/23/2016,165427439,95890410.96
11/24/2016,134182333.4,95890410.96
11/25/2016,131880156.3,95890410.96
11/26/2016,130931311.8,95890410.96
11/27/2016,124117982.5,95890410.96
11/28/2016,127652807.1,95890410.96
11/29/2016,123922709.1,95890410.96
11/30/2016,134369774.8,95890410.96
12/1/2016,189736631.3,95890410.96
12/2/2016,134954880.9,95890410.96
12/3/2016,123228126.3,95890410.96
12/4/2016,121007125,95890410.96
12/5/2016,141654791.4,95890410.96
12/6/2016,118288404.6,95890410.96
12/7/2016,155813392.7,95890410.96
12/8/2016,157279339.4,95890410.96
12/9/2016,145943254.5,95890410.96
12/10/2016,146791067.4,95890410.96
12/11/2016,140075563.6,95890410.96
12/12/2016,152476217.9,95890410.96
12/13/2016,161794964,95890410.96
12/14/2016,141920615.3,95890410.96
12/15/2016,159309256.1,95890410.96
12/16/2016,120149049.8,95890410.96
12/17/2016,112358370.4,95890410.96
12/18/2016,102470951.2,95890410.96
12/19/2016,145990245.6,95890410.96
12/20/2016,122733352.3,95890410.96
12/21/2016,131156358.3,95890410.96
12/22/2016,182726338.4,95890410.96
12/23/2016,128102520.4,95890410.96
12/24/2016,130591006.6,95890410.96
12/25/2016,121362317.3,95890410.96
12/26/2016,115770063.8,95890410.96
12/27/2016,101322587.4,95890410.96
12/28/2016,87462968.22,95890410.96
12/29/2016,161286908.8,95890410.96
12/30/2016,80151229.98,95890410.96
12/31/2016,81167429.89,95890410.96
1/1/2017,79902641.38,95890410.96
1/2/2017,80208899.75,95890410.96
1/3/2017,70724864.8,95890410.96
1/4/2017,150847992.7,95890410.96
1/5/2017,114185578.4,95890410.96
1/6/2017,69779882.88,95890410.96
1/7/2017,75181032.34,95890410.96
1/8/2017,106815923.3,95890410.96
1/9/2017,62592558.33,95890410.96
1/10/2017,46009672.61,95890410.96
1/11/2017,71764355.04,95890410.96
1/12/2017,94738990.87,95890410.96
1/13/2017,70604564.76,95890410.96
1/14/2017,62641716.02,95890410.96
1/15/2017,60199419.76,95890410.96
1/16/2017,63771103.6,95890410.96
1/17/2017,65421266.69,95890410.96
1/18/2017,55195528.78,95890410.96
1/19/2017,64679178.59,95890410.96
1/20/2017,101790171.8,95890410.96
1/21/2017,92023571.79,95890410.96
1/22/2017,95086623.07,95890410.96
1/23/2017,154800375,95890410.96
1/24/2017,134290129,95890410.96
1/25/2017,94414368.52,95890410.96
1/26/2017,81528920.5,95890410.96
1/27/2017,134290258.1,95890410.96
1/28/2017,45412976.18,95890410.96
1/29/2017,121102124.7,95890410.96
1/30/2017,158462599.5,95890410.96
1/31/2017,89014611.06,95890410.96
2/1/2017,98212593.96,95890410.96
2/2/2017,107122757.2,95890410.96
2/3/2017,87158074.06,95890410.96
2/4/2017,122625873.2,95890410.96
2/5/2017,130818602.9,95890410.96
2/6/2017,130566539.5,95890410.96
2/7/2017,119314515.3,95890410.96
2/8/2017,187622087.1,95890410.96
2/9/2017,236686562.4,95890410.96
2/10/2017,163249528.4,95890410.96
2/11/2017,98229610.07,95890410.96
2/12/2017,114272590.3,95890410.96
2/13/2017,96170627.73,95890410.96
2/14/2017,123064055.8,95890410.96
2/15/2017,188757706.7,95890410.96
2/16/2017,210064114.8,95890410.96
2/17/2017,167969972.9,95890410.96
2/18/2017,251059635.5,95890410.96
2/19/2017,240478394.2,95890410.96
2/20/2017,264362616.7,95890410.96
2/21/2017,278967718,95890410.96
2/22/2017,286773592,95890410.96
2/23/2017,447667337.4,95890410.96
2/24/2017,346211043.2,95890410.96
2/25/2017,332627319.8,95890410.96
2/26/2017,332882213.9,95890410.96
2/27/2017,281504597.2,95890410.96
2/28/2017,287211701.6,95890410.96
3/1/2017,303717173.8,95890410.96
3/2/2017,313500652.7,95890410.96
3/3/2017,326518714.1,95890410.96
3/4/2017,339841030.3,95890410.96
3/5/2017,343257080.3,95890410.96
3/6/2017,350080005.7,95890410.96
3/7/2017,223106789.3,95890410.96
3/8/2017,254406949,95890410.96
3/9/2017,266189141.5,95890410.96
3/10/2017,301745327.3,95890410.96
3/11/2017,275467839.3,95890410.96
3/12/2017,277375825.9,95890410.96
3/13/2017,272716106.3,95890410.96
3/14/2017,256644141,95890410.96
3/15/2017,326192130.8,95890410.96
3/16/2017,253288349,95890410.96
3/17/2017,221045481.5,95890410.96
3/18/2017,190417953.4,95890410.96
3/19/2017,169814543.9,95890410.96
3/20/2017,157489199.6,95890410.96
3/21/2017,157240419.7,95890410.96
3/22/2017,155500876.6,95890410.96
3/23/2017,153876260.7,95890410.96
3/24/2017,159013273.3,95890410.96
3/25/2017,155756669.1,95890410.96
3/26/2017,155222816.7,95890410.96
3/27/2017,131997833.5,95890410.96
3/28/2017,121719845.2,95890410.96
3/29/2017,119676257.9,95890410.96
3/30/2017,98876269.17,95890410.96
3/31/2017,91548338.08,95890410.96
4/1/2017,106507367.3,95890410.96
4/2/2017,94882849.4,95890410.96
4/3/2017,102359216.1,95890410.96
4/4/2017,101563537.8,95890410.96
4/5/2017,139277772,95890410.96
4/6/2017,109214900.6,95890410.96
4/7/2017,111947527.6,95890410.96
4/8/2017,106495864.1,95890410.96
4/9/2017,116419032.4,95890410.96
4/10/2017,111274782,95890410.96
4/11/2017,109772360.7,95890410.96
4/12/2017,104653644.4,95890410.96
4/13/2017,120059934.8,95890410.96
4/14/2017,164862033,95890410.96
4/15/2017,191192850.2,95890410.96
4/16/2017,178380754.8,95890410.96
4/17/2017,191590058.9,95890410.96
4/18/2017,176587304.4,95890410.96
4/19/2017,176232810.1,95890410.96
4/20/2017,147802666.5,95890410.96
4/21/2017,107285346.9,95890410.96
4/22/2017,114433726.7,95890410.96
4/23/2017,187270881.6,95890410.96
4/24/2017,197737618.2,95890410.96
4/25/2017,114400243.6,95890410.96
4/26/2017,82886295.73,95890410.96
4/27/2017,122531699.7,95890410.96
4/28/2017,122535128.7,95890410.96
4/29/2017,126968620.4,95890410.96
4/30/2017,132237401.6,95890410.96
5/1/2017,94482356.02,95890410.96
5/2/2017,111153365.8,95890410.96
5/3/2017,359331152.4,95890410.96
5/4/2017,282022215.7,95890410.96
5/5/2017,270464349.9,95890410.96
5/6/2017,223108725.6,95890410.96
5/7/2017,106044289.9,95890410.96
5/8/2017,66113199.36,95890410.96
5/9/2017,56739028.94,95890410.96
5/10/2017,91084833.26,95890410.96
5/11/2017,141365948.7,95890410.96
5/12/2017,114496520.1,95890410.96
5/13/2017,187176341.3,95890410.96
5/14/2017,130846252.3,95890410.96
5/15/2017,125238618.1,95890410.96
5/16/2017,77909230.54,95890410.96
5/17/2017,98788633.93,95890410.96
5/18/2017,149532275.3,95890410.96
5/19/2017,130779980.7,95890410.96
5/20/2017,128984114.7,95890410.96
5/21/2017,180798152.9,95890410.96
5/22/2017,109369766.2,95890410.96
5/23/2017,102885697.3,95890410.96
5/24/2017,96932985.25,95890410.96
5/25/2017,192170275.2,95890410.96
5/26/2017,132113026.1,95890410.96
5/27/2017,141622925.7,95890410.96
5/28/2017,110856207.9,95890410.96
5/29/2017,128374877.2,95890410.96
5/30/2017,81953662.85,95890410.96
5/31/2017,82974638.02,95890410.96
6/1/2017,88363758.92,95890410.96
6/2/2017,201072042.9,95890410.96
6/3/2017,316295057,95890410.96
6/4/2017,463478479.1,95890410.96
6/5/2017,965721890.3,95890410.96
6/6/2017,1247806900,95890410.96
6/7/2017,1950537107,95890410.96
6/8/2017,2487633519,95890410.96
6/9/2017,2183454228,95890410.96
6/10/2017,1386371055,95890410.96
6/11/2017,1123322361,95890410.96
6/12/2017,605771897.6,95890410.96
6/13/2017,739869351.5,95890410.96
6/14/2017,576519531.2,95890410.96
6/15/2017,1019268006,95890410.96
6/16/2017,2199448457,95890410.96
6/17/2017,2912600410,95890410.96
6/18/2017,3068097291,95890410.96
6/19/2017,3930615820,95890410.96
6/20/2017,4417690554,95890410.96
6/21/2017,3590786787,95890410.96
6/22/2017,3187258509,95890410.96
6/23/2017,2967166249,95890410.96
6/24/2017,3089904995,95890410.96
6/25/2017,3116393710,95890410.96
6/26/2017,3555531559,95890410.96
6/27/2017,3295139192,95890410.96
6/28/2017,3297008416,95890410.96
6/29/2017,3050833592,95890410.96
6/30/2017,3186037125,95890410.96
7/1/2017,3178438701,95890410.96
7/2/2017,3127804291,95890410.96
7/3/2017,2505427015,95890410.96
7/4/2017,2476369273,95890410.96
7/5/2017,1750530015,95890410.96
7/6/2017,1755837780,95890410.96
7/7/2017,1420568035,95890410.96
7/8/2017,1306677325,95890410.96
7/9/2017,1235897041,95890410.96
7/10/2017,1379837865,95890410.96
7/11/2017,1297834074,95890410.96
7/12/2017,1628096961,95890410.96
7/13/2017,1549145017,95890410.96
7/14/2017,1767104916,95890410.96
7/15/2017,1338920256,95890410.96
