,Date,Netflows_acft
177,2008-06-24,1472.570236
178,2008-06-25,1618.238476
179,2008-06-26,2529.5575510000003
180,2008-06-27,3214.3212559999997
181,2008-06-28,3429.471501
182,2008-06-29,2794.354801
183,2008-06-30,3781.364236
184,2008-07-01,3546.874867
185,2008-07-02,4929.810736
186,2008-07-03,7214.148183
187,2008-07-04,7218.055678
188,2008-07-05,5844.2439079999995
189,2008-07-06,5079.207957
190,2008-07-07,8066.2597829999995
191,2008-07-08,6859.1215170000005
192,2008-07-09,6295.986032
193,2008-07-10,4752.644517000001
194,2008-07-11,3959.760227
195,2008-07-12,4112.192202
196,2008-07-13,7248.482567
197,2008-07-14,7643.575933
198,2008-07-15,9045.156703
199,2008-07-16,10543.373590000001
200,2008-07-17,11712.19064
201,2008-07-18,11807.25979
202,2008-07-19,10188.68412
203,2008-07-20,9725.834399
204,2008-07-21,9826.020984
205,2008-07-22,10583.91633
206,2008-07-23,14313.590559999999
207,2008-07-24,15866.076009999999
208,2008-07-25,15758.74883
209,2008-07-26,15179.2098
210,2008-07-27,14353.61759
211,2008-07-28,14119.187730000001
212,2008-07-29,12610.200429999999
213,2008-07-30,13631.88145
214,2008-07-31,10927.042
215,2008-08-01,10959.273879999999
216,2008-08-02,11457.96545
217,2008-08-03,11751.106909999999
218,2008-08-04,11558.88593
219,2008-08-05,12447.95013
220,2008-08-06,11314.6774
221,2008-08-07,9689.457009
222,2008-08-08,11454.930690000001
223,2008-08-09,9839.984825
224,2008-08-10,10026.413990000001
225,2008-08-11,7845.615243000001
226,2008-08-12,6570.323918
227,2008-08-13,5843.688528
228,2008-08-14,4871.872703
229,2008-08-15,5894.9223329999995
230,2008-08-16,5068.794583
231,2008-08-17,5215.910778
232,2008-08-18,7125.188208
233,2008-08-19,38466.80822
234,2008-08-20,82253.36325
235,2008-08-21,88183.17535
236,2008-08-22,91336.38525
237,2008-08-23,85087.62656
238,2008-08-24,83087.24659
239,2008-08-25,72698.36929
240,2008-08-26,67261.95246
241,2008-08-27,56120.23624
242,2008-08-28,59226.29818
243,2008-08-29,57109.96305
244,2008-08-30,50674.5568
245,2008-08-31,48156.305210000006
246,2008-09-01,42762.752210000006
247,2008-09-02,36765.22347
248,2008-09-03,31788.70137
249,2008-09-04,28327.93026
250,2008-09-05,30690.139610000002
251,2008-09-06,34267.93749
252,2008-09-07,25977.02648
253,2008-09-08,22173.74455
254,2008-09-09,21101.86117
255,2008-09-10,16306.09542
256,2008-09-11,13589.98972
257,2008-09-12,12324.51673
258,2008-09-13,12257.65296
259,2008-09-14,8964.229905
260,2008-09-15,8752.034856999999
261,2008-09-16,8801.40439
262,2008-09-17,8185.229891
263,2008-09-18,7282.281409
264,2008-09-19,4567.722557
265,2008-09-20,4781.226753
266,2008-09-21,4982.43274
267,2008-09-22,4474.399138000001
268,2008-09-23,4926.8549969999995
269,2008-09-24,4261.986123
270,2008-09-25,3427.845032
271,2008-09-26,2173.1619739999996
272,2008-09-27,1856.635341
273,2008-09-28,1729.235136
274,2008-09-29,1844.0198879999998
275,2008-09-30,4775.751670000001
276,2008-10-01,4864.731868
277,2008-10-02,3722.592861
278,2008-10-03,4230.726161
279,2008-10-04,4137.441788
280,2008-10-05,2572.857356
281,2008-10-06,4414.7552909999995
282,2008-10-07,7154.365137000001
283,2008-10-08,4282.257490999999
284,2008-10-09,5205.080618
285,2008-10-10,9022.961337
286,2008-10-11,9903.317976999999
287,2008-10-12,6730.173820999999
288,2008-10-13,5370.544437
289,2008-10-14,4728.445493
290,2008-10-15,3824.287176
291,2008-10-16,3757.7802070000002
292,2008-10-17,2813.277391
293,2008-10-18,2348.206147
294,2008-10-19,1859.6896359999998
295,2008-10-20,2266.366936
296,2008-10-21,2215.906696
297,2008-10-22,1876.8868760000003
298,2008-10-23,1310.101751
299,2008-10-24,1530.309661
300,2008-10-25,1225.267456
301,2008-10-26,2197.598867
302,2008-10-27,1359.471065
303,2008-10-28,1295.404015
304,2008-10-29,897.2163905
305,2008-10-30,808.2564155
306,2008-10-31,740.1231902000001
307,2008-11-01,170.5016601
308,2008-11-02,854.9876752
309,2008-11-03,331.34367510000004
310,2008-11-04,514.1232001
311,2008-11-05,922.3076653999999
312,2008-11-06,339.4165202
313,2008-11-07,857.4670502999999
314,2008-11-08,352.38861010000005
315,2008-11-09,792.6264352999999
316,2008-11-10,419.3515702
317,2008-11-11,203.1302351
318,2008-11-12,638.9051853999999
319,2008-11-13,662.1914753
320,2008-11-14,947.7361355
321,2008-11-15,460.76705030000005
322,2008-11-16,470.8432303
323,2008-11-17,328.2890852
324,2008-11-18,23.48464003
325,2008-11-19,189.7416101
326,2008-11-20,-0.793400002
327,2008-11-21,378.4716278
328,2008-11-22,309.02930019999997
329,2008-11-23,257.4979702
330,2008-11-24,108.0015751
331,2008-11-25,-504.4429164
332,2008-11-26,-496.7074496999999
333,2008-11-27,-260.7707452
334,2008-11-28,21.14411004
335,2008-11-29,-103.0031551
336,2008-11-30,635.5927401
337,2008-12-01,226.6347102
338,2008-12-02,437.9369653
339,2008-12-03,260.9888036
340,2008-12-04,440.1584853
341,2008-12-05,449.2627501
342,2008-12-06,-87.71037006
343,2008-12-07,43.39898001
344,2008-12-08,237.84148509999997
345,2008-12-09,319.72021110000003
346,2008-12-10,206.2046601
347,2008-12-11,991.7697093
348,2008-12-12,1276.878126
349,2008-12-13,2041.9339109999999
350,2008-12-14,1498.5739210000002
351,2008-12-15,636.5646554
352,2008-12-16,428.3368252
353,2008-12-17,770.2327205
354,2008-12-18,500.0601853
355,2008-12-19,656.9548622000001
356,2008-12-20,482.42687010000003
357,2008-12-21,17.41513004
358,2008-12-22,144.299625
359,2008-12-23,394.2007902
360,2008-12-24,451.8610516
361,2008-12-25,349.77039019999995
362,2008-12-26,617.0271801
363,2008-12-27,418.95487010000005
364,2008-12-28,517.6736651000001
365,2008-12-29,197.5169301
366,2008-12-30,191.6259351
367,2008-12-31,411.8737751
368,2009-01-01,215.1700801
369,2009-01-02,366.33261519999996
370,2009-01-03,317.8558751
371,2009-01-04,154.59399009999998
372,2009-01-05,211.3419511
373,2009-01-06,479.3525044
374,2009-01-07,512.3777763
375,2009-01-08,117.9587922
376,2009-01-09,44.47011302
377,2009-01-10,398.40585289999996
378,2009-01-11,202.47572130000003
379,2009-01-12,377.9361023
380,2009-01-13,429.4079152
381,2009-01-14,499.5045614
382,2009-01-15,-47.742845
383,2009-01-16,114.36860970000001
384,2009-01-17,201.46409509999998
385,2009-01-18,231.3356051
386,2009-01-19,383.96593019999995
387,2009-01-20,98.10390841
388,2009-01-21,46.47339691
389,2009-01-22,74.4209452
390,2009-01-23,150.98405659999997
391,2009-01-24,152.15431850000002
392,2009-01-25,162.84537959999997
393,2009-01-26,611.3742317000001
394,2009-01-27,193.8276457
395,2009-01-28,203.03108459999999
396,2009-01-29,125.8927649
397,2009-01-30,378.49147680000004
398,2009-01-31,302.3845753
399,2009-02-01,235.4811202
400,2009-02-02,357.5457102
401,2009-02-03,613.8932502
402,2009-02-04,-90.78479505
403,2009-02-05,-181.4109101
404,2009-02-06,-65.45550007
405,2009-02-07,691.0315657000001
406,2009-02-08,552.1270602000001
407,2009-02-09,236.71089019999997
408,2009-02-10,282.7479252
409,2009-02-11,134.75899009999998
410,2009-02-12,124.2266051
411,2009-02-13,405.1497102
412,2009-02-14,320.71211519999997
413,2009-02-15,383.0733552
414,2009-02-16,117.681055
415,2009-02-17,283.54132519999996
416,2009-02-18,665.2460652000001
417,2009-02-19,239.3291102
418,2009-02-20,154.45514509999998
419,2009-02-21,407.58941519999996
420,2009-02-22,249.18710519999996
421,2009-02-23,281.18096010000005
422,2009-02-24,315.8128702
423,2009-02-25,375.9327552
424,2009-02-26,275.6866652
425,2009-02-27,300.02421019999997
426,2009-02-28,278.72142010000005
427,2009-03-01,300.5795901
428,2009-03-02,172.4653251
429,2009-03-03,-31.35913501
430,2009-03-04,154.851845
431,2009-03-05,150.92451499999999
432,2009-03-06,-5.0579250039999994
433,2009-03-07,182.6208451
434,2009-03-08,230.1455051
435,2009-03-09,166.9710301
436,2009-03-10,215.70562510000002
437,2009-03-11,177.8604451
438,2009-03-12,-30.28804498
439,2009-03-13,12.55555498
440,2009-03-14,281.9148552
441,2009-03-15,281.31980510000005
442,2009-03-16,127.9952551
443,2009-03-17,206.9782252
444,2009-03-18,251.4681301
445,2009-03-19,382.3592952
446,2009-03-20,302.7019352
447,2009-03-21,244.3076951
448,2009-03-22,222.7867201
449,2009-03-23,236.53237510000002
450,2009-03-24,-86.79796008
451,2009-03-25,106.13708500000001
452,2009-03-26,58.11655
453,2009-03-27,-147.0963601
454,2009-03-28,122.60013500000001
455,2009-03-29,1150.9457109999998
456,2009-03-30,1379.583756
457,2009-03-31,219.8114702
458,2009-04-01,1041.039976
