Date,RF_acft
9-Oct-00,0
10-Oct-00,0
11-Oct-00,0
12-Oct-00,0
13-Oct-00,0
14-Oct-00,0
15-Oct-00,0
16-Oct-00,0
17-Oct-00,0
18-Oct-00,0
19-Oct-00,0
20-Oct-00,0
21-Oct-00,546.1131667
22-Oct-00,0
23-Oct-00,0
24-Oct-00,3809.415167
25-Oct-00,77.63816667
26-Oct-00,775.6466667
27-Oct-00,0
28-Oct-00,0
29-Oct-00,0
30-Oct-00,0
31-Oct-00,0
1-Nov-00,0
2-Nov-00,0
3-Nov-00,0
4-Nov-00,0
5-Nov-00,0
6-Nov-00,0
7-Nov-00,0
8-Nov-00,0
9-Nov-00,0
10-Nov-00,304.6333333
11-Nov-00,0
12-Nov-00,0
13-Nov-00,0
14-Nov-00,0
15-Nov-00,0
16-Nov-00,0
17-Nov-00,0
18-Nov-00,0
19-Nov-00,0
20-Nov-00,6790.875
21-Nov-00,0
22-Nov-00,0
23-Nov-00,0
24-Nov-00,0
25-Nov-00,369.525
26-Nov-00,1921.183333
27-Nov-00,147.6233333
28-Nov-00,73.705
29-Nov-00,147.25
30-Nov-00,0
1-Dec-00,0
2-Dec-00,0
3-Dec-00,0
4-Dec-00,0
5-Dec-00,0
6-Dec-00,72.91833333
7-Dec-00,0
8-Dec-00,0
9-Dec-00,218.715
10-Dec-00,364.525
11-Dec-00,947.4183333
12-Dec-00,437.03
13-Dec-00,0
14-Dec-00,0
15-Dec-00,436.71
16-Dec-00,0
17-Dec-00,72.45166667
18-Dec-00,0
19-Dec-00,0
20-Dec-00,0
21-Dec-00,0
22-Dec-00,0
23-Dec-00,0
24-Dec-00,0
25-Dec-00,0
26-Dec-00,71.55833333
27-Dec-00,0
28-Dec-00,8425.003333
29-Dec-00,71.385
30-Dec-00,0
31-Dec-00,0
1-Jan-01,0
2-Jan-01,0
3-Jan-01,0
4-Jan-01,70.51666667
5-Jan-01,0
6-Jan-01,0
7-Jan-01,0
8-Jan-01,421.93
9-Jan-01,2807.233333
