b.o.m,e.o.m.,SLTRIB,C44RO,C43RO,Note,"SLTRIB units are (af), C44RO and C43RO units are (cfsd)"
1-Dec-72,31-Dec-72,16324.6,162.1930943,11760.16126,,
1-Jan-73,31-Jan-73,23502.2,708.076632,25026.90676,,
1-Feb-73,28-Feb-73,21303.6,2164.113924,30989.69446,,
1-Mar-73,31-Mar-73,15879.3,329.8361473,19411.37894,,
1-Apr-73,30-Apr-73,11850.1,396.4356027,9665.82785,,
1-May-73,31-May-73,20705.5,0,4103.039993,,
1-Jun-73,30-Jun-73,64817.2,10618.23536,39558.02382,,
1-Jul-73,31-Jul-73,110732.5,22472.72504,101947.5415,,
1-Aug-73,31-Aug-73,83927.8,16339.37976,105350.1685,,
1-Sep-73,30-Sep-73,120024.3,7759.949524,79555.80493,,
1-Oct-73,31-Oct-73,89806.6,13833.87956,31317.86539,,
1-Nov-73,30-Nov-73,20825.8,1123.478734,0,,
1-Dec-73,31-Dec-73,14224.3,0,1886.813675,,
1-Jan-74,31-Jan-74,12822.1,1028.217785,0,,
1-Feb-74,28-Feb-74,6676.1,0,0,,
1-Mar-74,31-Mar-74,6451.5,0,0,,
1-Apr-74,30-Apr-74,15280.8,0,0,,
1-May-74,31-May-74,10737.9,0,6683.629929,,
1-Jun-74,30-Jun-74,56674.8,6827.174145,133459.7029,,
1-Jul-74,31-Jul-74,184839.5,27938.01862,256662.4165,,
1-Aug-74,31-Aug-74,158469.6,20033.26929,132816.0227,,
1-Sep-74,30-Sep-74,34578.9,8298.416794,61078.2417,,
1-Oct-74,31-Oct-74,20942.9,7383.584457,12617.00763,,
1-Nov-74,30-Nov-74,11576.9,15.32140112,3545.45639,,
1-Dec-74,31-Dec-74,12035.1,96.05243436,9402.731354,,
1-Jan-75,31-Jan-75,9479.5,0,0,,
1-Feb-75,28-Feb-75,15493,25.54575253,31.70172119,,
1-Mar-75,31-Mar-75,4616.3,66.91706634,0,,
1-Apr-75,30-Apr-75,4538.6,0,54.42904663,,
1-May-75,31-May-75,37321.5,898.4623046,4970.763788,,
1-Jun-75,30-Jun-75,32046,3631.50493,52621.78406,,
1-Jul-75,31-Jul-75,116036.9,9585.419582,86828.78687,,
1-Aug-75,31-Aug-75,74860.5,15064.40135,13470.81419,,
1-Sep-75,30-Sep-75,78584,3503.982856,63244.58258,,
1-Oct-75,31-Oct-75,46395.5,11096.45571,68953.71671,,
1-Nov-75,30-Nov-75,14910.1,342.646831,674.7479324,,
1-Dec-75,31-Dec-75,9764.2,0,0,,
1-Jan-76,31-Jan-76,6637.5,0,0,,
1-Feb-76,29-Feb-76,6869.2,0,26.72548389,,
1-Mar-76,31-Mar-76,9847.6,354.484499,6253.440849,,
1-Apr-76,30-Apr-76,9663.1,0,489.2815552,,
1-May-76,31-May-76,71780.3,9346.236427,33226.31696,,
1-Jun-76,30-Jun-76,100792.7,27617.04074,89052.22723,,
1-Jul-76,31-Jul-76,30546.3,5990.980583,63629.60339,,
1-Aug-76,31-Aug-76,54200.4,1567.022931,59764.52411,,
1-Sep-76,30-Sep-76,95517.8,10540.44875,44291.30095,,
1-Oct-76,31-Oct-76,13619,4724.5475,14691.10087,,
1-Nov-76,30-Nov-76,15553.2,1568.772375,10769.18147,,
1-Dec-76,31-Dec-76,25941.6,0,92.23216629,,
1-Jan-77,31-Jan-77,18333,7649.251366,31012.3705,,
1-Feb-77,28-Feb-77,11505.9,1042.05697,3461.173355,,
1-Mar-77,31-Mar-77,6695.7,0,0,,
1-Apr-77,30-Apr-77,3808.2,0,0,,
1-May-77,31-May-77,9785.3,0,5981.572899,,
1-Jun-77,30-Jun-77,12143.8,116.8792522,10575.21526,,
1-Jul-77,31-Jul-77,18227,0,17761.24012,,
1-Aug-77,31-Aug-77,31955.4,5574.272736,25474.80234,,
1-Sep-77,30-Sep-77,70048.8,24406.28174,69266.68512,,
1-Oct-77,31-Oct-77,25667.4,9644.537489,6119.732756,,
1-Nov-77,30-Nov-77,55819.7,13160.21175,1277.862377,,
1-Dec-77,31-Dec-77,54197.2,23609.92172,51225.43145,,
1-Jan-78,31-Jan-78,29007.6,9261.900589,14049.07882,,
1-Feb-78,28-Feb-78,24022.1,3348.495119,7104.534595,,
1-Mar-78,31-Mar-78,36494.2,1115.734818,29699.6717,,
1-Apr-78,30-Apr-78,11040.8,0,335.04916,,
1-May-78,31-May-78,17151.1,350.0226784,19527.63912,,
1-Jun-78,30-Jun-78,29770.2,12638.60842,51491.67956,,
1-Jul-78,31-Jul-78,38074.4,14838.47742,95588.26135,,
1-Aug-78,31-Aug-78,35973.4,13334.22253,81109.20508,,
1-Sep-78,30-Sep-78,29884.4,15719.92947,35768.00345,,
1-Oct-78,31-Oct-78,42158,15635.09969,26177.47757,,
1-Nov-78,30-Nov-78,36740.4,11007.72367,4429.013916,,
1-Dec-78,31-Dec-78,32382.6,1765.122201,11574.10608,,
1-Jan-79,31-Jan-79,71254.3,21953.18372,94230.57849,,
1-Feb-79,28-Feb-79,12585.4,4260.801487,17821.34091,,
1-Mar-79,31-Mar-79,10388.5,218.280817,2989.314697,,
1-Apr-79,30-Apr-79,11859.8,0,117.9580078,,
1-May-79,31-May-79,71587.2,4378.018539,72886.92828,,
1-Jun-79,30-Jun-79,27403.8,2074.635559,21426.32495,,
1-Jul-79,31-Jul-79,46840.9,70.22434902,23620.36289,,
1-Aug-79,31-Aug-79,77566,4394.323128,5184.980991,,
1-Sep-79,30-Sep-79,155289,10268.34373,142206.0966,,
1-Oct-79,31-Oct-79,76061.1,4765.998802,71138.42242,,
1-Nov-79,30-Nov-79,30352,8997.463982,4863.836884,,
1-Dec-79,31-Dec-79,31044,4262.682072,21192.40549,,
1-Jan-80,31-Jan-80,29967.8,251.5301208,6582.70285,,
1-Feb-80,29-Feb-80,34016.8,3183.337317,4911.802917,,
1-Mar-80,31-Mar-80,27983.1,959.914299,10278.16394,,
1-Apr-80,30-Apr-80,36691.1,0,12476.26822,,
1-May-80,31-May-80,24687,1185.449997,217.4374695,,
1-Jun-80,30-Jun-80,25682,1085.560829,0,,
1-Jul-80,31-Jul-80,33302.1,12003.61978,40993.562,,
1-Aug-80,31-Aug-80,39695.3,4025.893686,42437.45099,,
1-Sep-80,30-Sep-80,44141.6,8931.590542,52258.48718,,
1-Oct-80,31-Oct-80,23912.6,393.9047141,249.8273468,,
1-Nov-80,30-Nov-80,31497.5,800.7663078,11688.77972,,
1-Dec-80,31-Dec-80,28062.3,1306.851516,633.1182098,,
1-Jan-81,31-Jan-81,26432.7,469.7100983,0,,
1-Feb-81,28-Feb-81,33468.4,0,438.5833015,,
1-Mar-81,31-Mar-81,25374.8,0,0,,
1-Apr-81,30-Apr-81,20829.8,0,0,,
1-May-81,31-May-81,30378.4,0.020166373,0,,
1-Jun-81,30-Jun-81,24820.3,959.7327827,20735.15452,,
1-Jul-81,31-Jul-81,44141,1462.193104,7140.226772,,
1-Aug-81,31-Aug-81,107522.9,17752.47279,73604.31026,,
1-Sep-81,30-Sep-81,111599.2,21685.90369,61249.36274,,
1-Oct-81,31-Oct-81,16652.4,4355.56846,42.72750092,,
1-Nov-81,30-Nov-81,7459,0,5538.628632,,
1-Dec-81,31-Dec-81,3616.7,0,0,,
1-Jan-82,31-Jan-82,7010.6,0,0,,
1-Feb-82,28-Feb-82,19392.7,4217.867393,0,,
1-Mar-82,31-Mar-82,45881.9,12104.99617,4443.357635,,
1-Apr-82,30-Apr-82,87631.9,13295.86587,1378.865623,,
1-May-82,31-May-82,60558,5862.863722,34121.3218,,
1-Jun-82,30-Jun-82,103587.6,38158.36176,256068.6101,,
1-Jul-82,31-Jul-82,127260.3,15384.11426,119783.3832,,
