Date,ETVol_acft
20-Oct-00,3895
21-Oct-00,4035
22-Oct-00,5317
23-Oct-00,4371
24-Oct-00,5261
25-Oct-00,4073
26-Oct-00,3653
27-Oct-00,5010
28-Oct-00,5020
29-Oct-00,4293
30-Oct-00,4642
31-Oct-00,4788
1-Nov-00,4332
2-Nov-00,4212
3-Nov-00,4325
4-Nov-00,4144
5-Nov-00,3961
6-Nov-00,4006
7-Nov-00,4389
8-Nov-00,4532
9-Nov-00,4385
10-Nov-00,3626
11-Nov-00,4279
12-Nov-00,3724
13-Nov-00,3783
14-Nov-00,3788
15-Nov-00,4075
16-Nov-00,3616
17-Nov-00,4248
18-Nov-00,3371
19-Nov-00,3899
20-Nov-00,1848
21-Nov-00,4337
22-Nov-00,3431
23-Nov-00,3542
24-Nov-00,3332
25-Nov-00,3040
26-Nov-00,2659
27-Nov-00,3840
28-Nov-00,3636
29-Nov-00,2832
30-Nov-00,3755
1-Dec-00,3088
2-Dec-00,3439
3-Dec-00,3366
4-Dec-00,2264
5-Dec-00,3397
6-Dec-00,3054
7-Dec-00,2470
8-Dec-00,3100
9-Dec-00,2885
10-Dec-00,2338
11-Dec-00,2090
12-Dec-00,2581
13-Dec-00,3099
14-Dec-00,3609
15-Dec-00,2845
16-Dec-00,3798
17-Dec-00,3371
18-Dec-00,3022
19-Dec-00,3055
20-Dec-00,2720
21-Dec-00,2781
22-Dec-00,3135
23-Dec-00,2694
24-Dec-00,1854
25-Dec-00,3332
26-Dec-00,3646
27-Dec-00,2671
28-Dec-00,2320
29-Dec-00,2970
30-Dec-00,2544
31-Dec-00,2602
1-Jan-01,3039
2-Jan-01,2356
3-Jan-01,3129
4-Jan-01,3437
5-Jan-01,3192
6-Jan-01,3224
7-Jan-01,3017
8-Jan-01,3150
9-Jan-01,3835
10-Jan-01,2790
11-Jan-01,3129
12-Jan-01,3305
13-Jan-01,3237
14-Jan-01,2803
15-Jan-01,2847
16-Jan-01,2969
17-Jan-01,2725
18-Jan-01,3399
19-Jan-01,3879
20-Jan-01,2460
21-Jan-01,3530
22-Jan-01,1873
23-Jan-01,3529
24-Jan-01,4015
25-Jan-01,3466
26-Jan-01,3384
27-Jan-01,2902
28-Jan-01,3578
29-Jan-01,4159
30-Jan-01,4584
31-Jan-01,4092
1-Feb-01,3602
2-Feb-01,3372
3-Feb-01,2632
4-Feb-01,2485
5-Feb-01,3892
6-Feb-01,3820
