Date,Netflows_acft
15-Aug-00,480.4433703
16-Aug-00,347.6678802
17-Aug-00,313.8690399
18-Aug-00,-94.07740493
19-Aug-00,-25.78549998
20-Aug-00,11.90099998
21-Aug-00,130.4944651
22-Aug-00,224.0164901
23-Aug-00,700.8498903
24-Aug-00,205.8873001
25-Aug-00,13.68614998
26-Aug-00,83.60452497
27-Aug-00,593.8599
28-Aug-00,383.8865902
29-Aug-00,342.1537502
30-Aug-00,523.9018553
31-Aug-00,925.7391202
1-Sep-00,420.7003503
2-Sep-00,655.9037802
3-Sep-00,28.32437995
4-Sep-00,39.17412503
5-Sep-00,1786.06241
6-Sep-00,1891.782961
7-Sep-00,1689.26761
8-Sep-00,2480.763451
9-Sep-00,2881.926326
10-Sep-00,1916.596546
11-Sep-00,2423.837001
12-Sep-00,1848.622
13-Sep-00,806.1340701
14-Sep-00,1094.892001
15-Sep-00,634.7200004
16-Sep-00,1161.775621
17-Sep-00,4472.633822
18-Sep-00,6873.700242
19-Sep-00,6646.529987
20-Sep-00,6242.312522
21-Sep-00,4977.236222
22-Sep-00,3605.764981
23-Sep-00,4157.475507
24-Sep-00,4218.011927
25-Sep-00,3630.281042
26-Sep-00,2621.472941
27-Sep-00,1157.76895
28-Sep-00,2176.018511
29-Sep-00,2232.806116
30-Sep-00,886.2476355
1-Oct-00,1794.253475
2-Oct-00,1316.428443
3-Oct-00,3337.27784
4-Oct-00,10959.88817
5-Oct-00,17155.5884
6-Oct-00,14005.94901
7-Oct-00,12463.7382
8-Oct-00,6714.226372
9-Oct-00,2996.968967
10-Oct-00,3365.523181
11-Oct-00,2553.637006
12-Oct-00,1970.230177
13-Oct-00,2136.824359
14-Oct-00,2037.62954
15-Oct-00,2773.349379
16-Oct-00,1079.956108
17-Oct-00,1147.851333
18-Oct-00,1252.203288
19-Oct-00,1901.938396
20-Oct-00,983.9547705
21-Oct-00,767.6144319
22-Oct-00,878.6904385
23-Oct-00,841.5196517
24-Oct-00,718.0269449
25-Oct-00,816.5870623
26-Oct-00,917.4678733
27-Oct-00,990.3019966
28-Oct-00,981.8324516
29-Oct-00,795.3834548
30-Oct-00,1163.957428
31-Oct-00,602.9839579
1-Nov-00,974.6521914
2-Nov-00,1019.5388
3-Nov-00,955.8486183
4-Nov-00,775.9451704
5-Nov-00,758.2920234
6-Nov-00,749.5249553
7-Nov-00,-283.4421734
8-Nov-00,-358.2201211
9-Nov-00,-242.3837191
10-Nov-00,-147.9691177
11-Nov-00,-186.6473661
12-Nov-00,-283.0454642
13-Nov-00,15.66963728
14-Nov-00,-199.1434119
15-Nov-00,-134.2829609
16-Nov-00,249.4251153
17-Nov-00,-369.3277094
18-Nov-00,-92.03440854
19-Nov-00,185.2588926
20-Nov-00,-33.52115688
21-Nov-00,-166.8123563
22-Nov-00,-235.6398054
23-Nov-00,-136.0681047
24-Nov-00,-7.338954249
25-Nov-00,184.8621962
26-Nov-00,240.4001962
27-Nov-00,127.3406962
28-Nov-00,85.48884646
29-Nov-00,23.68298695
30-Nov-00,182.0852973
1-Dec-00,29.15744773
2-Dec-00,76.62260299
3-Dec-00,-48.6354216
4-Dec-00,-110.3024363
5-Dec-00,32.45005884
6-Dec-00,-207.6724511
7-Dec-00,80.49042917
8-Dec-00,-310.8144512
9-Dec-00,134.8780001
10-Dec-00,170.9975351
11-Dec-00,-170.5810001
12-Dec-00,188.8292001
13-Dec-00,57.52150001
14-Dec-00,279.2768001
15-Dec-00,-5.950500002
16-Dec-00,362.9805002
17-Dec-00,196.3665001
18-Dec-00,35.70300004
19-Dec-00,-122.9770001
20-Dec-00,-404.6340003
21-Dec-00,-11.90100001
22-Dec-00,-113.0595001
23-Dec-00,160.6635001
24-Dec-00,38.87660003
25-Dec-00,-3.967000026
26-Dec-00,182.4820001
27-Dec-00,-115.0430001
28-Dec-00,105.1255001
29-Dec-00,-160.6635001
30-Dec-00,-180.4985001
31-Dec-00,-327.2775002
1-Jan-01,-144.3988001
2-Jan-01,-22.61190004
3-Jan-01,39.86835005
4-Jan-01,-57.52150001
5-Jan-01,-67.24065002
6-Jan-01,27.76900002
7-Jan-01,-29.75250001
8-Jan-01,-8.330700016
9-Jan-01,9.917500041
10-Jan-01,-61.48850002
11-Jan-01,202.3170001
12-Jan-01,-36.29805004
13-Jan-01,51.76935004
14-Jan-01,85.29050005
15-Jan-01,-55.538
16-Jan-01,153.9196001
17-Jan-01,-5.950499996
18-Jan-01,102.1502501
19-Jan-01,47.604
20-Jan-01,83.10865003
21-Jan-01,-31.93435004
22-Jan-01,99.17500008
23-Jan-01,311.7665304
24-Jan-01,105.1255
25-Jan-01,85.09215005
26-Jan-01,60.85378006
27-Jan-01,109.8859001
28-Jan-01,81.12515006
29-Jan-01,119.0100001
30-Jan-01,254.3640401
31-Jan-01,61.48850001
1-Feb-01,84.89380004
2-Feb-01,-144.7955001
3-Feb-01,11.54397001
4-Feb-01,51.17430002
5-Feb-01,41.65349999
6-Feb-01,108.57679
7-Feb-01,-39.67000004
8-Feb-01,68.62910006
9-Feb-01,-70.49359008
10-Feb-01,81.52185003
11-Feb-01,97.38985006
12-Feb-01,-73.38950005
13-Feb-01,130.9110001
14-Feb-01,-15.66965004
15-Feb-01,144.2004501
16-Feb-01,-94.9898151
17-Feb-01,84.69545002
18-Feb-01,-121.7869001
19-Feb-01,105.7602201
20-Feb-01,180.14147
21-Feb-01,-37.48815004
22-Feb-01,45.75934502
23-Feb-01,-319.3435002
24-Feb-01,15.88783494
25-Feb-01,128.5308001
26-Feb-01,47.60400001
27-Feb-01,97.76671506
28-Feb-01,-115.0033301
1-Mar-01,47.60400003
2-Mar-01,-212.2345001
3-Mar-01,33.52115005
4-Mar-01,81.32350007
5-Mar-01,111.076
6-Mar-01,162.2503001
7-Mar-01,-124.9605001
8-Mar-01,45.22380005
9-Mar-01,-105.1255001
10-Mar-01,17.85149998
11-Mar-01,87.27400008
12-Mar-01,-7.933999988
13-Mar-01,24.99210003
14-Mar-01,-174.5480001
15-Mar-01,35.70300004
16-Mar-01,-159.4734001
17-Mar-01,57.12480003
18-Mar-01,30.14920001
19-Mar-01,35.70300001
20-Mar-01,108.65613
21-Mar-01,385.6320702
22-Mar-01,117.2843551
23-Mar-01,-12.35720501
24-Mar-01,92.76829502
25-Mar-01,102.9833201
26-Mar-01,-63.45216505
27-Mar-01,92.39143048
28-Mar-01,-61.4091621
29-Mar-01,106.335435
30-Mar-01,3676.992465
31-Mar-01,5580.041705
1-Apr-01,1813.732235
2-Apr-01,361.8300699
3-Apr-01,239.5274601
4-Apr-01,-116.0149151
5-Apr-01,167.4272351
6-Apr-01,-162.6470001
7-Apr-01,138.6466501
8-Apr-01,148.3658001
9-Apr-01,-58.15622002
10-Apr-01,138.3491251
11-Apr-01,-67.43900002
12-Apr-01,135.8697501
13-Apr-01,-115.0430001
14-Apr-01,94.41460006
15-Apr-01,55.002455
16-Apr-01,-49.38915001
17-Apr-01,100.7618001
18-Apr-01,-231.5934613
19-Apr-01,63.47200001
20-Apr-01,-154.7130001
21-Apr-01,233.6563
22-Apr-01,42.308055
23-Apr-01,-62.46041503
24-Apr-01,-49.58750003
25-Apr-01,-146.7790001
26-Apr-01,-265.6104852
27-Apr-01,-220.1685001
28-Apr-01,-29.75250001
29-Apr-01,-1.983499981
30-Apr-01,-164.6305001
1-May-01,-142.8120001
2-May-01,-25.78550004
3-May-01,-47.2073
4-May-01,-33.7195
5-May-01,-30.34755001
6-May-01,5.950499994
7-May-01,-31.736
8-May-01,-25.38880001
9-May-01,39.33280198
10-May-01,20.09285133
11-May-01,4.562049026
12-May-01,56.29173001
13-May-01,34.05669501
14-May-01,31.73600001
15-May-01,52.56275006
16-May-01,49.58750006
17-May-01,9.917500017
18-May-01,27.76900003
19-May-01,45.22380006
20-May-01,28.76075003
21-May-01,27.76900003
22-May-01,69.42250006
23-May-01,30.54590002
24-May-01,45.62049999
25-May-01,30.28804504
26-May-01,41.25680002
27-May-01,37.68650001
28-May-01,33.71950003
29-May-01,20.03335002
30-May-01,49.1908
31-May-01,30.54589999
1-Jun-01,786.834615
2-Jun-01,2218.90178
3-Jun-01,2246.31375
4-Jun-01,630.15795
5-Jun-01,952.694885
6-Jun-01,1238.477565
7-Jun-01,246.4895451
8-Jun-01,3053.59825
9-Jun-01,3773.707925
10-Jun-01,3663.40549
11-Jun-01,107.565205
12-Jun-01,1887.53827
13-Jun-01,36.69475005
14-Jun-01,87.03598005
15-Jun-01,89.25750005
16-Jun-01,88.66245003
17-Jun-01,76.95980002
18-Jun-01,266.800585
19-Jun-01,425.81778
20-Jun-01,197.23924
21-Jun-01,693.11424
22-Jun-01,1329.401205
23-Jun-01,1556.61113
24-Jun-01,507.69666
25-Jun-01,2317.00569
26-Jun-01,3232.78764
27-Jun-01,1896.74171
28-Jun-01,3066.391825
29-Jun-01,1219.396294
30-Jun-01,689.1075704
1-Jul-01,610.5213004
2-Jul-01,566.8843004
3-Jul-01,288.4009001
4-Jul-01,376.1906102
5-Jul-01,911.1603953
6-Jul-01,912.2909904
7-Jul-01,1346.578315
8-Jul-01,1506.587261
9-Jul-01,2286.915995
10-Jul-01,3004.96283
11-Jul-01,7870.32965
12-Jul-01,8075.879756
13-Jul-01,8023.039316
14-Jul-01,8395.322431
15-Jul-01,14412.19034
16-Jul-01,14287.76539
17-Jul-01,14386.34534
18-Jul-01,13472.20969
19-Jul-01,13567.35819
20-Jul-01,12187.63559
21-Jul-01,13132.51548
22-Jul-01,14783.22385
23-Jul-01,18870.74131
24-Jul-01,20271.50885
25-Jul-01,18433.33989
26-Jul-01,15882.24153
27-Jul-01,17081.28712
28-Jul-01,14640.61021
29-Jul-01,14446.12803
30-Jul-01,16212.99016
31-Jul-01,14599.51209
1-Aug-01,16224.03826
2-Aug-01,22941.65688
3-Aug-01,25612.06277
4-Aug-01,22653.0973
5-Aug-01,21397.79966
6-Aug-01,19594.42129
7-Aug-01,21293.82459
8-Aug-01,22919.93756
9-Aug-01,22739.14153
10-Aug-01,22268.55616
11-Aug-01,21508.26077
12-Aug-01,17812.60357
13-Aug-01,17056.37436
14-Aug-01,16146.60242
15-Aug-01,14140.72854
16-Aug-01,12072.25539
17-Aug-01,12450.29066
18-Aug-01,11392.50994
19-Aug-01,10347.10627
20-Aug-01,8107.496748
21-Aug-01,8550.213949
22-Aug-01,11242.91437
23-Aug-01,11026.65337
24-Aug-01,9290.138788
25-Aug-01,8166.803398
26-Aug-01,8127.867293
27-Aug-01,9224.722959
28-Aug-01,6729.380783
29-Aug-01,5464.165638
30-Aug-01,5645.358362
31-Aug-01,5290.093677
1-Sep-01,4634.884122
2-Sep-01,3814.111822
3-Sep-01,2586.206312
4-Sep-01,3155.867511
5-Sep-01,3946.450942
6-Sep-01,7745.845192
7-Sep-01,9948.759963
8-Sep-01,13088.79914
9-Sep-01,20143.69211
10-Sep-01,27116.11081
11-Sep-01,27528.71809
12-Sep-01,28394.63475
13-Sep-01,35651.8243
14-Sep-01,51048.54441
15-Sep-01,46171.41562
16-Sep-01,39356.94259
17-Sep-01,38557.09676
18-Sep-01,35352.55466
19-Sep-01,32337.09913
20-Sep-01,30237.42578
21-Sep-01,27590.08801
22-Sep-01,24688.74325
23-Sep-01,23302.73304
24-Sep-01,20518.05791
25-Sep-01,16070.21762
26-Sep-01,16998.79337
27-Sep-01,22556.46097
28-Sep-01,21388.15971
29-Sep-01,26540.87617
30-Sep-01,28507.97259
1-Oct-01,18446.72852
2-Oct-01,16518.50836
3-Oct-01,14035.34518
4-Oct-01,12804.12723
5-Oct-01,12353.47586
6-Oct-01,11850.75795
7-Oct-01,11839.9082
8-Oct-01,13866.50966
9-Oct-01,14220.58425
10-Oct-01,11288.11834
11-Oct-01,8091.926274
12-Oct-01,7438.224039
13-Oct-01,7269.348989
14-Oct-01,6763.516819
15-Oct-01,6780.158383
16-Oct-01,6599.957409
17-Oct-01,7867.830443
18-Oct-01,8603.054388
19-Oct-01,7316.893483
20-Oct-01,4616.953283
21-Oct-01,4966.227798
22-Oct-01,6983.387793
23-Oct-01,10344.11118
24-Oct-01,9909.010624
25-Oct-01,16107.92388
26-Oct-01,19363.77918
27-Oct-01,18296.2995
28-Oct-01,14167.24752
29-Oct-01,14077.23642
30-Oct-01,12813.78687
31-Oct-01,11959.07654
1-Nov-01,11488.25349
2-Nov-01,11674.86091
3-Nov-01,11151.65354
4-Nov-01,10306.50402
5-Nov-01,12296.66828
6-Nov-01,13387.95038
7-Nov-01,10287.24424
8-Nov-01,9105.355668
9-Nov-01,8024.784798
10-Nov-01,7203.675303
11-Nov-01,6563.480843
12-Nov-01,5842.776118
13-Nov-01,6281.843381
14-Nov-01,6282.994108
15-Nov-01,5435.385052
16-Nov-01,5027.934483
17-Nov-01,4577.402292
18-Nov-01,2986.893147
19-Nov-01,3578.967897
20-Nov-01,2457.001125
21-Nov-01,3663.444989
22-Nov-01,3096.580703
23-Nov-01,2580.255818
24-Nov-01,2193.790678
25-Nov-01,2190.339388
26-Nov-01,2920.009533
27-Nov-01,1731.119467
28-Nov-01,1387.458257
29-Nov-01,2439.268638
30-Nov-01,2542.113113
1-Dec-01,1410.209002
2-Dec-01,1384.760697
3-Dec-01,1741.493172
4-Dec-01,1761.169492
5-Dec-01,2242.584778
6-Dec-01,2024.736972
7-Dec-01,2524.261613
8-Dec-01,2184.468227
9-Dec-01,2077.577412
