,Date,ETVol_acft
177,2008-06-24,3514.4896229999995
178,2008-06-25,3458.485367
179,2008-06-26,1892.4637010000001
180,2008-06-27,5113.103478
181,2008-06-28,5027.002218
182,2008-06-29,4150.416063000001
183,2008-06-30,4348.479142
184,2008-07-01,4754.157696
185,2008-07-02,3587.7180240000002
186,2008-07-03,3461.1572520000004
187,2008-07-04,4682.444459
188,2008-07-05,5575.996732
189,2008-07-06,3690.550525
190,2008-07-07,4930.1748689999995
191,2008-07-08,4867.926509000001
192,2008-07-09,5655.689239
193,2008-07-10,5467.537533
194,2008-07-11,5430.365747999999
195,2008-07-12,2933.625197
196,2008-07-13,4081.6929130000003
197,2008-07-14,4260.7720469999995
198,2008-07-15,4115.475
199,2008-07-16,1803.28622
200,2008-07-17,4767.798425
201,2008-07-18,5391.510958
202,2008-07-19,4772.7743439999995
203,2008-07-20,6008.681562
204,2008-07-21,5750.08294
205,2008-07-22,3858.964829
206,2008-07-23,4387.062368999999
207,2008-07-24,4478.980269
208,2008-07-25,4753.217887
209,2008-07-26,5815.707533
210,2008-07-27,4249.40935
211,2008-07-28,4900.886299
212,2008-07-29,5352.10063
213,2008-07-30,4846.627461
214,2008-07-31,5256.702067
215,2008-08-01,5706.3252299999995
216,2008-08-02,5488.358261
217,2008-08-03,4523.732264
218,2008-08-04,2619.2072510000003
219,2008-08-05,3362.9080710000003
220,2008-08-06,4533.633136
221,2008-08-07,6035.116995
222,2008-08-08,3261.3202100000003
223,2008-08-09,4095.728543
224,2008-08-10,4710.721129
225,2008-08-11,4569.102546
226,2008-08-12,3712.2328869999997
227,2008-08-13,4752.618450999999
228,2008-08-14,4094.043425
229,2008-08-15,4572.586429999999
230,2008-08-16,4966.649318
231,2008-08-17,4801.939003
232,2008-08-18,861.9790813999999
233,2008-08-19,412.5742782
234,2008-08-20,2598.270013
235,2008-08-21,4128.538547
236,2008-08-22,2458.3703100000002
237,2008-08-23,5391.172409000001
238,2008-08-24,6734.767
239,2008-08-25,5740.075276
240,2008-08-26,4318.884567
241,2008-08-27,6298.566782
242,2008-08-28,6428.883204
243,2008-08-29,5904.571237
244,2008-08-30,3905.034533
245,2008-08-31,2904.482861
246,2008-09-01,5607.282609000001
247,2008-09-02,5348.644071
248,2008-09-03,5639.155625
249,2008-09-04,4141.5414869999995
250,2008-09-05,2383.028073
251,2008-09-06,6233.499125
252,2008-09-07,6126.988346
253,2008-09-08,5519.589431
254,2008-09-09,4549.0314960000005
255,2008-09-10,3086.9426949999997
256,2008-09-11,6070.383202
257,2008-09-12,5637.887524
258,2008-09-13,6346.369904
259,2008-09-14,6451.767682
260,2008-09-15,5211.074697999999
261,2008-09-16,4865.206299
262,2008-09-17,6687.265092000001
263,2008-09-18,5803.071916
264,2008-09-19,7096.406298999999
265,2008-09-20,7404.265617
266,2008-09-21,6829.081365000001
267,2008-09-22,6107.144357
268,2008-09-23,4017.1842520000005
269,2008-09-24,4177.781627
270,2008-09-25,6545.704724
271,2008-09-26,4588.692913
272,2008-09-27,3190.435381
273,2008-09-28,2087.02916
274,2008-09-29,6612.301181
275,2008-09-30,1676.787402
276,2008-10-01,5722.894488
277,2008-10-02,6016.91601
278,2008-10-03,6383.900787
279,2008-10-04,2911.63937
280,2008-10-05,4455.360511999999
281,2008-10-06,3572.97378
282,2008-10-07,5351.081837
283,2008-10-08,5807.920341
284,2008-10-09,2999.0730710000003
285,2008-10-10,5528.764199
286,2008-10-11,6545.471129
287,2008-10-12,5265.606824
288,2008-10-13,2941.312336
289,2008-10-14,5691.134646
290,2008-10-15,6014.001483
291,2008-10-16,6101.289698
292,2008-10-17,6204.6792909999995
293,2008-10-18,6130.222874
294,2008-10-19,5875.3438320000005
295,2008-10-20,3040.14
296,2008-10-21,5651.976837
297,2008-10-22,3919.079961
298,2008-10-23,3067.27248
299,2008-10-24,1981.5572829999999
300,2008-10-25,4390.807152
301,2008-10-26,5023.032992
302,2008-10-27,6033.66878
303,2008-10-28,6275.024829
304,2008-10-29,5642.200261999999
305,2008-10-30,5142.145394
306,2008-10-31,5067.528714
307,2008-11-01,3309.111575
308,2008-11-02,3996.82748
309,2008-11-03,5475.296194
310,2008-11-04,2678.2626379999997
311,2008-11-05,5545.928885
312,2008-11-06,5471.919396
313,2008-11-07,5353.8403149999995
314,2008-11-08,4914.242520000001
315,2008-11-09,4940.6329399999995
316,2008-11-10,5273.366719
317,2008-11-11,5111.2998689999995
318,2008-11-12,3637.027323
319,2008-11-13,4863.788386
320,2008-11-14,4541.930525
321,2008-11-15,5081.110551
322,2008-11-16,5673.161706
323,2008-11-17,5727.283898
324,2008-11-18,5548.965
325,2008-11-19,5494.869921
326,2008-11-20,5510.192467
327,2008-11-21,5245.126286
328,2008-11-22,5308.666693
329,2008-11-23,4336.551601
330,2008-11-24,5045.780787
331,2008-11-25,4900.436667
332,2008-11-26,3619.917979
333,2008-11-27,4949.565827
334,2008-11-28,5076.906378
335,2008-11-29,5104.004764
336,2008-11-30,2618.5688059999998
337,2008-12-01,2649.210787
338,2008-12-02,4540.757297
339,2008-12-03,4623.210499
340,2008-12-04,4433.482887
341,2008-12-05,4835.061154999999
342,2008-12-06,4775.613268
343,2008-12-07,4251.929462
344,2008-12-08,4737.548189
345,2008-12-09,4608.281365
346,2008-12-10,4466.187953000001
347,2008-12-11,407.2699913
348,2008-12-12,3783.016111
349,2008-12-13,3515.682024
350,2008-12-14,2708.729659
351,2008-12-15,2320.503531
352,2008-12-16,3327.562694
353,2008-12-17,2727.513365
354,2008-12-18,3576.4665990000003
355,2008-12-19,4334.783216
356,2008-12-20,3900.6989009999998
357,2008-12-21,3831.699024
358,2008-12-22,2627.777008
359,2008-12-23,3304.2458269999997
360,2008-12-24,3058.509732
361,2008-12-25,3029.534591
362,2008-12-26,3945.404586
363,2008-12-27,4149.443118
364,2008-12-28,4378.0028409999995
365,2008-12-29,4048.656136
366,2008-12-30,3635.4250369999995
367,2008-12-31,3845.798585
368,2009-01-01,3917.417761
369,2009-01-02,3863.5399899999998
370,2009-01-03,3913.0649009999997
371,2009-01-04,3817.8181229999996
372,2009-01-05,4226.199786
373,2009-01-06,4425.834979
374,2009-01-07,2984.381339
375,2009-01-08,4628.90379
376,2009-01-09,4747.239276
377,2009-01-10,4406.988898
378,2009-01-11,4400.064354
379,2009-01-12,3114.394646
380,2009-01-13,1546.874566
381,2009-01-14,3665.187899
382,2009-01-15,1337.5777130000001
383,2009-01-16,2735.003465
384,2009-01-17,3857.2974280000003
385,2009-01-18,4104.798942
