Date,Stage_LO,Storage,Cut_back,P_Load_Cal,P_Load_StL,P_Load_South
2008-01-31,309.7897976475466,63163478.32854256,13300.45857142857,8.452454265792182,3.2869872078491866,0.0
2008-02-29,285.8387196827403,57841003.10164951,13971.41142857143,0.0,0.0,0.0
2008-03-31,307.588891071664,62461950.316346884,0.0,0.0,0.0,0.0
2008-04-30,302.4967010323677,61995954.92409926,20468.475714285712,0.0,0.0,0.0
2008-05-31,288.9372448811088,56685824.95188339,120152.83428571427,0.0,0.0,0.0
2008-06-30,256.58178118545436,48029946.967230104,43056.58571428572,0.0,0.0,0.0
2008-07-31,292.957123690896,57930151.99289266,0.0,0.0,0.0,0.0
2008-08-31,353.43829466185684,78631500.55821088,0.0,0.0,0.0,0.0
2008-09-30,441.9005517883348,115748615.94127887,0.0,0.0,0.0,7.343415740884891
2008-10-31,462.32651983438046,122176933.92547125,0.0,0.0,0.0,7.499845458741137
2008-11-30,433.531224245794,111967959.57479796,0.0,13.59041066859329,5.283701800434564,3.182812890386563
2008-12-31,433.5986403623295,109214550.02200766,0.0,10.400809665100795,4.044702265846637,3.089066416791279
2009-01-31,415.7116193141979,101664623.66451901,0.0,8.452191913507965,3.286891928005422,1.6982780516020606
2009-02-28,356.81449626862985,84254896.99871133,0.0,9.388815478708608,3.651158676791884,2.92217791766414
2009-03-31,368.66219822925495,83241654.35955688,2563.6457142857153,14.967194743739524,5.8201179375141265,0.0
2009-04-30,329.45661060945093,70913123.1105834,30247.81428571429,12.620710542561534,4.908067485669775,0.0
2009-05-31,319.3049979729238,66259480.57430568,63251.46,0.0,0.0,0.0
2009-06-30,340.2032026507784,74626180.74604656,0.0,0.0,0.0,0.0
2009-07-31,393.9152564655267,92856996.59891921,0.0,0.0,0.0,0.0
2009-08-31,418.07559159729357,102653550.79173107,0.0,0.0,0.0,2.8965557114701204
2009-09-30,421.6511759567542,106601835.43961202,0.0,0.0,0.0,2.786703011159864
2009-10-31,430.1791233733747,107764390.39758918,0.0,0.0,0.0,1.9026616074990073
2009-11-30,394.2653836021089,95051925.27472585,0.0,7.106066819020439,2.762708130110754,2.2757177841579597
2009-12-31,396.02964799892374,93657444.12758459,0.0,8.720554964098648,3.3912969407337417,7.925820179158377
2010-01-31,381.8997460716052,88203301.98363964,0.0,10.957112173204616,4.261005067195669,9.540051790025668
2010-02-28,339.8912869499948,77718036.76269804,0.0,11.145170522291188,4.334176521481603,4.961588226987647
2010-03-31,387.254000138349,90281018.36393161,0.0,12.766640708190694,4.964418024244246,3.2354038189207546
2010-04-30,401.70815113377637,98136133.47868638,0.0,9.940342396639505,3.8657103160140136,2.854036941261023
2010-05-31,423.9496957426205,105115872.21190056,0.0,1.196580285946246,0.4652069777321857,1.7905355024858498
2010-06-30,407.7363403007939,100662179.46759665,0.0,5.572762184352979,2.1675689708385253,1.798778967720791
2010-07-31,419.60011237919315,103292327.74662343,0.0,5.7471342719423015,2.2326619708834863,1.519904171760149
2010-08-31,415.02822053961313,101375834.81748454,0.0,5.535431766125688,2.1512531901161025,1.5370930257409932
2010-09-30,403.8734560201489,99040819.95758194,0.0,5.659287542669169,2.200285088064404,0.2793575413740714
2010-10-31,402.07030994994625,96064962.6396685,6739.327142857145,2.8238264247634963,1.0975067336925397,1.589225852815737
2010-11-30,367.83764226284484,84690835.32076345,17837.82,8.297072549988194,3.225749260985835,2.6346640637410395
2010-12-31,356.61656887416234,78905498.51920183,8356.22142857143,15.446242312736501,6.0068415422758425,0.0
2011-01-31,343.7108175808793,74315339.99487087,9781.731428571431,19.628781148991568,7.633247342520785,0.0
2011-02-28,299.46160026237646,63464207.45018017,55040.73142857143,20.06987913451207,7.804851381140658,0.0
2011-03-31,314.955042364656,64836476.78222847,56999.30571428569,5.78519817709742,2.2496548970718995,0.0
2011-04-30,296.03044291706095,59955420.61441076,63356.62142857144,0.0,0.0,0.0
2011-05-31,283.4630295504059,55006098.85430185,83752.87142857142,0.0,0.0,0.0
2011-06-30,250.5717002201382,46303087.81349384,36406.614285714284,0.0,0.0,0.0
2011-07-31,266.71688679562044,50083916.04881292,15148.494285714285,0.0,0.0,0.0
2011-08-31,278.79379117020125,53598138.3471833,46378.51571428572,0.0,0.0,0.0
2011-09-30,287.43080558398344,57273549.73103488,5837.424285714285,0.0,0.0,0.0
2011-10-31,337.470300660782,72605244.02758633,985.2057142857141,0.0,0.0,0.0
2011-11-30,382.1313366060091,90202695.92991953,0.0,0.0,0.0,0.5855608770120106
2011-12-31,389.6517795593789,91195586.90992026,0.0,14.059387132806744,5.467578563077627,11.556921426683804
2012-01-31,375.1205558614682,85600361.12151286,1819.56,15.755751463916218,6.127105353152676,5.576102557405748
2012-02-29,337.14693359709014,75074308.36056408,4616.127142857144,13.169381396455567,5.121359312286771,6.025559470478741
2012-03-31,344.3959604726687,74597533.78208834,18186.194285714286,17.424564551697415,6.775686942680187,1.4877973193385938
2012-04-30,311.3060634723728,64876047.2574472,40356.65714285713,12.63937520551071,4.915326718937603,0.0
2012-05-31,311.7280959069963,63779868.77457208,84216.52285714282,0.0,0.0,0.0
2012-06-30,303.5989436606635,62354151.883007735,32230.465714285707,0.0,0.0,0.0
2012-07-31,322.79008032446524,67403953.88727555,8441.312857142859,0.0,0.0,2.2345134540404894
2012-08-31,336.48639576934625,72103511.57302187,5810.057142857142,0.0,0.0,8.70553880531654
2012-09-30,412.6856396163953,102843879.9968432,0.0,0.0,0.0,5.800554151737132
2012-10-31,461.534654818631,121818405.62533827,0.0,0.0,0.0,8.24836570763764
2012-11-30,438.2556341937987,114109118.42638376,0.0,7.90858798479069,3.0747136045491503,7.337912181805668
