Year,CEturn,CE_hiQ,Turn,SLEturn,SLE_hiQ
1991,1,1,CE,1,1
1992,1,0,CE,1,1
1993,1,1,CE,1,1
1994,1,1,CE,1,1
1995,1,1,CE,1,1
1996,1,1,CE,1,1
1997,1,0,CE,1,0
1998,1,1,CE,1,1
1999,1,0,CE,1,1
