Year,CEturn,CE_hiQ,Turn,SLEturn,SLE_hiQ
2000,1,0,CE,1,0
2001,1,0,CE,1,0
2002,1,0,CE,1,0
2003,1,1,CE,1,1
2004,1,1,CE,1,1
2005,1,1,CE,1,1
2006,1,1,CE,1,0
2007,1,0,CE,1,0
