Date,INDUST_cms,INDUST_cmd
7/8/2008,0,0
7/9/2008,0,0
7/10/2008,0,0
7/11/2008,0,0
7/12/2008,0,0
7/13/2008,0,0
7/14/2008,0,0
7/15/2008,0,0
7/16/2008,0,0
7/17/2008,0,0
7/18/2008,0,0
7/19/2008,0,0
7/20/2008,0,0
7/21/2008,0,0
7/22/2008,0,0
7/23/2008,0,0
7/24/2008,0,0
7/25/2008,0,0
7/26/2008,0,0
7/27/2008,0,0
7/28/2008,0,0
7/29/2008,0,0
7/30/2008,0,0
7/31/2008,0,0
8/1/2008,0,0
8/2/2008,0,0
8/3/2008,0,0
8/4/2008,0,0
8/5/2008,0,0
8/6/2008,0.070792117,6116.438909
8/7/2008,0,0
8/8/2008,0,0
8/9/2008,0,0
8/10/2008,0,0
8/11/2008,0,0
8/12/2008,0,0
8/13/2008,0,0
8/14/2008,0,0
8/15/2008,0,0
8/16/2008,0,0
8/17/2008,0,0
8/18/2008,0,0
8/19/2008,0,0
8/20/2008,0,0
8/21/2008,0,0
8/22/2008,0,0
8/23/2008,0,0
8/24/2008,0,0
8/25/2008,0,0
8/26/2008,0,0
8/27/2008,0,0
8/28/2008,0,0
8/29/2008,0,0
8/30/2008,0,0
8/31/2008,0,0
9/1/2008,0,0
9/2/2008,0,0
9/3/2008,0,0
9/4/2008,0,0
9/5/2008,0,0
9/6/2008,0,0
9/7/2008,0,0
9/8/2008,0,0
9/9/2008,0,0
9/10/2008,0,0
9/11/2008,0,0
9/12/2008,0,0
9/13/2008,0.093445594,8073.699322
9/14/2008,0,0
9/15/2008,0.036811901,3180.548246
9/16/2008,0.962772785,83183.56862
9/17/2008,0.453069546,39145.20877
9/18/2008,0.821188552,70950.69089
9/19/2008,0.906139091,78290.41746
9/20/2008,1.132673864,97863.02185
9/21/2008,0.877822245,75843.84197
9/22/2008,1.359208637,117435.6262
9/23/2008,0,0
9/24/2008,0,0
9/25/2008,0,0
9/26/2008,0.821188552,70950.69089
9/27/2008,0.283168466,24465.75546
9/28/2008,0,0
9/29/2008,0,0
9/30/2008,0,0
10/1/2008,0,0
10/2/2008,0,0
10/3/2008,0.158574341,13700.82306
10/4/2008,0.424752699,36698.63319
10/5/2008,0.396435853,34252.0577
10/6/2008,0,0
10/7/2008,0,0
10/8/2008,0,0
10/9/2008,0.396435853,34252.0577
10/10/2008,0.240693196,20795.89213
10/11/2008,0,0
10/12/2008,0.271841727,23487.12521
10/13/2008,0,0
10/14/2008,0,0
10/15/2008,0,0
10/16/2008,0,0
10/17/2008,0.220871404,19083.28931
10/18/2008,0.368119006,31805.48212
10/19/2008,0.20671298,17860.00147
10/20/2008,0.538020086,46484.93543
10/21/2008,0.067960432,5871.781325
10/22/2008,0.538020086,46484.93543
10/23/2008,0.24918825,21529.8648
10/24/2008,0,0
10/25/2008,0,0
10/26/2008,0.481386392,41591.78427
10/27/2008,0.12176244,10520.27482
10/28/2008,0.481386392,41591.78427
10/29/2008,0.053802009,4648.493578
10/30/2008,0.368119006,31805.48212
10/31/2008,0.311485313,26912.33104
11/1/2008,0.039643585,3425.205744
11/2/2008,0.509703239,44038.35985
11/3/2008,0.167069395,14434.79573
11/4/2008,0.218039719,18838.63172
11/5/2008,0.280336781,24221.09788
11/6/2008,0.203881296,17615.34397
11/7/2008,0,0
11/8/2008,0,0
11/9/2008,0.481386392,41591.78427
11/10/2008,0.203881296,17615.34397
11/11/2008,1.472476024,127221.9285
11/12/2008,1.104357018,95416.44636
11/13/2008,1.104357018,95416.44636
11/14/2008,1.444159177,124775.3529
11/15/2008,1.274258097,110095.8996
11/16/2008,0.651287472,56271.23758
11/17/2008,2.860001508,247104.1303
11/18/2008,3.482972133,300928.7923
11/19/2008,2.831684661,244657.5547
11/20/2008,3.284754207,283802.7635
11/21/2008,2.435248808,210405.497
11/22/2008,0.079287171,6850.411574
11/23/2008,0.311485313,26912.33104
11/24/2008,1.699010797,146794.5329
11/25/2008,2.888318354,249550.7058
11/26/2008,4.587329151,396345.2386
11/27/2008,6.6827758,577391.8291
11/28/2008,5.380200856,464849.354
11/29/2008,3.851091139,332734.2744
11/30/2008,1.727327643,149241.1084
12/1/2008,0.283168466,24465.75546
12/2/2008,0.651287472,56271.23758
12/3/2008,1.783961336,154134.2594
12/4/2008,2.690100428,232424.677
12/5/2008,4.75723023,411024.6919
12/6/2008,4.190893298,362093.1809
12/7/2008,3.737823752,322947.9722
12/8/2008,2.095446649,181046.5905
12/9/2008,2.406931962,207958.9215
12/10/2008,0.566336932,48931.51092
12/11/2008,0,0
12/12/2008,0,0
12/13/2008,0,0
12/14/2008,0,0
12/15/2008,0,0
12/16/2008,0,0
12/17/2008,0.509703239,44038.35985
12/18/2008,0.277505097,23976.44038
12/19/2008,0.110435702,9541.644653
12/20/2008,0.679604319,58717.81316
12/21/2008,0.481386392,41591.78427
12/22/2008,0.481386392,41591.78427
12/23/2008,0.232198142,20061.91947
12/24/2008,0.792871705,68504.11531
12/25/2008,0.509703239,44038.35985
12/26/2008,1.58574341,137008.2306
12/27/2008,1.58574341,137008.2306
12/28/2008,0.481386392,41591.78427
12/29/2008,2.123763496,183493.1661
12/30/2008,1.58574341,137008.2306
12/31/2008,0.622970625,53824.662
1/1/2009,0.283168466,24465.75546
1/2/2009,0.509703239,44038.35985
1/3/2009,1.189307558,102756.173
1/4/2009,1.41584233,122328.7773
1/5/2009,1.189307558,102756.173
1/6/2009,0.257683304,22263.83747
1/7/2009,0.594653779,51378.08651
1/8/2009,2.180397189,188386.3171
1/9/2009,3.17148682,274016.4612
1/10/2009,0.962772785,83183.56862
1/11/2009,0.240693196,20795.89213
1/12/2009,1.160990711,100309.5974
1/13/2009,1.104357018,95416.44636
