,Date,RF_acft
229,2008-08-15,362.8583333
230,2008-08-16,5293.838333
231,2008-08-17,20381.39833
232,2008-08-18,16881.095
233,2008-08-19,165568.2167
234,2008-08-20,5030.666667
235,2008-08-21,2965.0011670000004
236,2008-08-22,18615.212
237,2008-08-23,51953.274000000005
238,2008-08-24,11440.469579999999
239,2008-08-25,7053.6
240,2008-08-26,10480.86
241,2008-08-27,3998.9840000000004
242,2008-08-28,0.0
243,2008-08-29,0.0
244,2008-08-30,13445.2495
245,2008-08-31,12861.07925
246,2008-09-01,0.0
247,2008-09-02,1392.72375
248,2008-09-03,185.9545
249,2008-09-04,93.03816667
250,2008-09-05,62252.444
251,2008-09-06,0.0
252,2008-09-07,0.0
253,2008-09-08,1308.7433330000001
254,2008-09-09,2711.0166670000003
255,2008-09-10,0.0
256,2008-09-11,0.0
257,2008-09-12,0.0
258,2008-09-13,0.0
259,2008-09-14,1402.825
260,2008-09-15,0.0
261,2008-09-16,0.0
262,2008-09-17,1028.866667
263,2008-09-18,888.5033332999999
264,2008-09-19,701.175
265,2008-09-20,0.0
266,2008-09-21,467.29166669999995
267,2008-09-22,6821.606667
268,2008-09-23,12988.16
269,2008-09-24,2989.1733329999997
270,2008-09-25,0.0
271,2008-09-26,0.0
272,2008-09-27,2427.377333
273,2008-09-28,4386.4355829999995
274,2008-09-29,16515.32425
275,2008-09-30,18866.8
276,2008-10-01,280.26
277,2008-10-02,0.0
278,2008-10-03,0.0
279,2008-10-04,280.135
280,2008-10-05,840.34275
281,2008-10-06,5041.863
282,2008-10-07,186.69983330000002
283,2008-10-08,606.8909167
284,2008-10-09,653.4745
285,2008-10-10,29692.1105
286,2008-10-11,1681.23
287,2008-10-12,1681.17
288,2008-10-13,2708.2133329999997
289,2008-10-14,747.0533333
290,2008-10-15,0.0
291,2008-10-16,0.0
292,2008-10-17,0.0
293,2008-10-18,0.0
294,2008-10-19,0.0
295,2008-10-20,466.30166669999994
296,2008-10-21,93.22091667
297,2008-10-22,0.0
298,2008-10-23,1724.056625
299,2008-10-24,792.2559583
300,2008-10-25,17064.67375
301,2008-10-26,1305.694833
302,2008-10-27,93.22091667
303,2008-10-28,93.09908333
304,2008-10-29,325.70883330000004
305,2008-10-30,0.0
306,2008-10-31,93.00233333
307,2008-11-01,278.93175
308,2008-11-02,557.799
309,2008-11-03,278.88875
310,2008-11-04,0.0
311,2008-11-05,0.0
312,2008-11-06,185.8111667
313,2008-11-07,0.0
314,2008-11-08,0.0
315,2008-11-09,0.0
316,2008-11-10,0.0
317,2008-11-11,185.46716669999998
318,2008-11-12,1391.2725
319,2008-11-13,0.0
320,2008-11-14,0.0
321,2008-11-15,185.4313333
322,2008-11-16,92.60816667
323,2008-11-17,0.0
324,2008-11-18,0.0
325,2008-11-19,184.61599999999999
326,2008-11-20,0.0
327,2008-11-21,0.0
328,2008-11-22,0.0
329,2008-11-23,0.0
330,2008-11-24,276.21299999999997
331,2008-11-25,184.1288333
332,2008-11-26,91.94591667
333,2008-11-27,0.0
334,2008-11-28,0.0
335,2008-11-29,91.81425
336,2008-11-30,20578.18933
337,2008-12-01,1700.634083
338,2008-12-02,505.05079169999993
339,2008-12-03,0.0
340,2008-12-04,0.0
341,2008-12-05,0.0
342,2008-12-06,45.808375
343,2008-12-07,0.0
344,2008-12-08,0.0
345,2008-12-09,274.33675
346,2008-12-10,0.0
347,2008-12-11,23787.83333
348,2008-12-12,91.52458333
349,2008-12-13,0.0
350,2008-12-14,640.4416667
351,2008-12-15,182.9701667
352,2008-12-16,91.45216667
353,2008-12-17,91.42583333
354,2008-12-18,91.41266667
355,2008-12-19,0.0
356,2008-12-20,0.0
357,2008-12-21,182.66733330000002
358,2008-12-22,0.0
359,2008-12-23,0.0
360,2008-12-24,4556.479167
361,2008-12-25,2370.053833
362,2008-12-26,91.14275
363,2008-12-27,0.0
364,2008-12-28,91.07691667
365,2008-12-29,91.03741667
366,2008-12-30,90.97158333
367,2008-12-31,90.91891667
368,2009-01-01,181.6798333
369,2009-01-02,90.67666667
370,2009-01-03,0.0
371,2009-01-04,271.41900000000004
372,2009-01-05,90.39466667
373,2009-01-06,0.0
374,2009-01-07,1579.9875
375,2009-01-08,90.08133333
376,2009-01-09,44.93883333
